model,lens,layer,site,condition,condition_kind,condition_order,cosine_to_clean
starcoder2-3b,clens,-1,last_token,clean_heldout,clean,-1,
starcoder2-3b,clens,-1,last_token,normalize,baseline,0,
starcoder2-3b,clens,-1,last_token,rename_only,atomic,11,
starcoder2-3b,clens,-1,last_token,opaque_only,atomic,12,
starcoder2-3b,clens,-1,last_token,encode_only,atomic,13,
starcoder2-3b,clens,-1,last_token,flatten_only,atomic,14,
starcoder2-3b,clens,-1,last_token,rename_cumulative,cumulative,21,
starcoder2-3b,clens,-1,last_token,rename_opaque,cumulative,22,
starcoder2-3b,clens,-1,last_token,rename_opaque_encode,cumulative,23,
starcoder2-3b,clens,-1,last_token,rename_opaque_encode_flatten,cumulative,24,
starcoder2-3b,clens,0,last_token,clean_heldout,clean,-1,0.9999999999999999
starcoder2-3b,clens,0,last_token,normalize,baseline,0,0.3051176097727598
starcoder2-3b,clens,0,last_token,rename_only,atomic,11,-0.25183926545665847
starcoder2-3b,clens,0,last_token,opaque_only,atomic,12,-0.0020744831515625718
starcoder2-3b,clens,0,last_token,encode_only,atomic,13,0.3484523470705264
starcoder2-3b,clens,0,last_token,flatten_only,atomic,14,0.04249490568722076
starcoder2-3b,clens,0,last_token,rename_cumulative,cumulative,21,-0.15705252431029848
starcoder2-3b,clens,0,last_token,rename_opaque,cumulative,22,-0.3528952953563604
starcoder2-3b,clens,0,last_token,rename_opaque_encode,cumulative,23,0.1886028053707814
starcoder2-3b,clens,0,last_token,rename_opaque_encode_flatten,cumulative,24,0.15959234561179936
starcoder2-3b,clens,3,last_token,clean_heldout,clean,-1,1.0
starcoder2-3b,clens,3,last_token,normalize,baseline,0,0.2074492966891124
starcoder2-3b,clens,3,last_token,rename_only,atomic,11,-0.04556853391020889
starcoder2-3b,clens,3,last_token,opaque_only,atomic,12,0.17749994087974486
starcoder2-3b,clens,3,last_token,encode_only,atomic,13,0.1505617681562311
starcoder2-3b,clens,3,last_token,flatten_only,atomic,14,0.23938645813148468
starcoder2-3b,clens,3,last_token,rename_cumulative,cumulative,21,-0.06366486557130699
starcoder2-3b,clens,3,last_token,rename_opaque,cumulative,22,-0.06082231965337427
starcoder2-3b,clens,3,last_token,rename_opaque_encode,cumulative,23,-0.12373709186424839
starcoder2-3b,clens,3,last_token,rename_opaque_encode_flatten,cumulative,24,0.062099049769827094
starcoder2-3b,clens,7,last_token,clean_heldout,clean,-1,0.9999999999999999
starcoder2-3b,clens,7,last_token,normalize,baseline,0,-0.04529337583766681
starcoder2-3b,clens,7,last_token,rename_only,atomic,11,-0.3449542663562931
starcoder2-3b,clens,7,last_token,opaque_only,atomic,12,-0.1283929071967143
starcoder2-3b,clens,7,last_token,encode_only,atomic,13,-0.014830772735415661
starcoder2-3b,clens,7,last_token,flatten_only,atomic,14,0.06264020255314236
starcoder2-3b,clens,7,last_token,rename_cumulative,cumulative,21,-0.007230868826407878
starcoder2-3b,clens,7,last_token,rename_opaque,cumulative,22,-0.2261007429055123
starcoder2-3b,clens,7,last_token,rename_opaque_encode,cumulative,23,-0.11270046554719712
starcoder2-3b,clens,7,last_token,rename_opaque_encode_flatten,cumulative,24,0.04708439998781904
starcoder2-3b,clens,11,last_token,clean_heldout,clean,-1,1.0000000000000002
starcoder2-3b,clens,11,last_token,normalize,baseline,0,0.35041213016812495
starcoder2-3b,clens,11,last_token,rename_only,atomic,11,0.2368691261690954
starcoder2-3b,clens,11,last_token,opaque_only,atomic,12,0.37783399139622503
starcoder2-3b,clens,11,last_token,encode_only,atomic,13,0.33334499545904545
starcoder2-3b,clens,11,last_token,flatten_only,atomic,14,0.09370475553848395
starcoder2-3b,clens,11,last_token,rename_cumulative,cumulative,21,0.3383657203069611
starcoder2-3b,clens,11,last_token,rename_opaque,cumulative,22,0.2032386433480654
starcoder2-3b,clens,11,last_token,rename_opaque_encode,cumulative,23,0.2785608525688891
starcoder2-3b,clens,11,last_token,rename_opaque_encode_flatten,cumulative,24,0.00840711056072537
starcoder2-3b,clens,15,last_token,clean_heldout,clean,-1,1.0
starcoder2-3b,clens,15,last_token,normalize,baseline,0,0.22180655139817887
starcoder2-3b,clens,15,last_token,rename_only,atomic,11,0.25841736215739747
starcoder2-3b,clens,15,last_token,opaque_only,atomic,12,0.23260388798853893
starcoder2-3b,clens,15,last_token,encode_only,atomic,13,0.22778658122648876
starcoder2-3b,clens,15,last_token,flatten_only,atomic,14,-0.0018429313657568503
starcoder2-3b,clens,15,last_token,rename_cumulative,cumulative,21,0.2404103661450555
starcoder2-3b,clens,15,last_token,rename_opaque,cumulative,22,0.2794091570319629
starcoder2-3b,clens,15,last_token,rename_opaque_encode,cumulative,23,0.3049830730500412
starcoder2-3b,clens,15,last_token,rename_opaque_encode_flatten,cumulative,24,0.11763059379424998
starcoder2-3b,clens,19,last_token,clean_heldout,clean,-1,1.0000000000000004
starcoder2-3b,clens,19,last_token,normalize,baseline,0,0.3696186488614221
starcoder2-3b,clens,19,last_token,rename_only,atomic,11,0.2752763702956401
starcoder2-3b,clens,19,last_token,opaque_only,atomic,12,0.31221841075036894
starcoder2-3b,clens,19,last_token,encode_only,atomic,13,0.303681908531935
starcoder2-3b,clens,19,last_token,flatten_only,atomic,14,0.023949107073645143
starcoder2-3b,clens,19,last_token,rename_cumulative,cumulative,21,0.24587958922425557
starcoder2-3b,clens,19,last_token,rename_opaque,cumulative,22,0.30707181782702286
starcoder2-3b,clens,19,last_token,rename_opaque_encode,cumulative,23,0.2910698495942113
starcoder2-3b,clens,19,last_token,rename_opaque_encode_flatten,cumulative,24,0.18225106261882085
starcoder2-3b,clens,23,last_token,clean_heldout,clean,-1,1.0
starcoder2-3b,clens,23,last_token,normalize,baseline,0,0.20839612059828175
starcoder2-3b,clens,23,last_token,rename_only,atomic,11,0.21309561105713354
starcoder2-3b,clens,23,last_token,opaque_only,atomic,12,0.26300065934539396
starcoder2-3b,clens,23,last_token,encode_only,atomic,13,0.18615625557372067
starcoder2-3b,clens,23,last_token,flatten_only,atomic,14,-0.08403820429540415
starcoder2-3b,clens,23,last_token,rename_cumulative,cumulative,21,0.24447085480765665
starcoder2-3b,clens,23,last_token,rename_opaque,cumulative,22,0.3187987818531077
starcoder2-3b,clens,23,last_token,rename_opaque_encode,cumulative,23,0.27787214329811344
starcoder2-3b,clens,23,last_token,rename_opaque_encode_flatten,cumulative,24,0.20548656779394428
starcoder2-3b,clens,27,last_token,clean_heldout,clean,-1,1.0000000000000002
starcoder2-3b,clens,27,last_token,normalize,baseline,0,0.21753931712957483
starcoder2-3b,clens,27,last_token,rename_only,atomic,11,0.17278926299260045
starcoder2-3b,clens,27,last_token,opaque_only,atomic,12,0.26483828714498364
starcoder2-3b,clens,27,last_token,encode_only,atomic,13,0.21569298089581024
starcoder2-3b,clens,27,last_token,flatten_only,atomic,14,0.028562185872375436
starcoder2-3b,clens,27,last_token,rename_cumulative,cumulative,21,0.17478668164301292
starcoder2-3b,clens,27,last_token,rename_opaque,cumulative,22,0.2199874481515223
starcoder2-3b,clens,27,last_token,rename_opaque_encode,cumulative,23,0.2874990399953006
starcoder2-3b,clens,27,last_token,rename_opaque_encode_flatten,cumulative,24,0.20072754537342674
starcoder2-3b,clens,29,last_token,clean_heldout,clean,-1,1.0000000000000004
starcoder2-3b,clens,29,last_token,normalize,baseline,0,0.19912859809611386
starcoder2-3b,clens,29,last_token,rename_only,atomic,11,0.199676478864924
starcoder2-3b,clens,29,last_token,opaque_only,atomic,12,0.22227133550008463
starcoder2-3b,clens,29,last_token,encode_only,atomic,13,0.20936536215388055
starcoder2-3b,clens,29,last_token,flatten_only,atomic,14,-0.06974643112457043
starcoder2-3b,clens,29,last_token,rename_cumulative,cumulative,21,0.21308272844292425
starcoder2-3b,clens,29,last_token,rename_opaque,cumulative,22,0.2041796806773323
starcoder2-3b,clens,29,last_token,rename_opaque_encode,cumulative,23,0.29609609750263005
starcoder2-3b,clens,29,last_token,rename_opaque_encode_flatten,cumulative,24,0.24641984540673018
starcoder2-3b,clens,-1,sink_arg,clean_heldout,clean,-1,0.9999999999999999
starcoder2-3b,clens,-1,sink_arg,normalize,baseline,0,0.9999999999999999
starcoder2-3b,clens,-1,sink_arg,rename_only,atomic,11,0.252048310471614
starcoder2-3b,clens,-1,sink_arg,opaque_only,atomic,12,0.9999999999999999
starcoder2-3b,clens,-1,sink_arg,encode_only,atomic,13,0.9999999999999999
starcoder2-3b,clens,-1,sink_arg,flatten_only,atomic,14,0.9999999999999999
starcoder2-3b,clens,-1,sink_arg,rename_cumulative,cumulative,21,-0.24202107555848024
starcoder2-3b,clens,-1,sink_arg,rename_opaque,cumulative,22,-0.08973641035967969
starcoder2-3b,clens,-1,sink_arg,rename_opaque_encode,cumulative,23,0.3501574981786627
starcoder2-3b,clens,-1,sink_arg,rename_opaque_encode_flatten,cumulative,24,-0.04397573675382127
starcoder2-3b,clens,0,sink_arg,clean_heldout,clean,-1,1.0
starcoder2-3b,clens,0,sink_arg,normalize,baseline,0,0.999655938365469
starcoder2-3b,clens,0,sink_arg,rename_only,atomic,11,0.23252542642116356
starcoder2-3b,clens,0,sink_arg,opaque_only,atomic,12,0.965869409052248
starcoder2-3b,clens,0,sink_arg,encode_only,atomic,13,0.9959044353385906
starcoder2-3b,clens,0,sink_arg,flatten_only,atomic,14,0.970764687515348
starcoder2-3b,clens,0,sink_arg,rename_cumulative,cumulative,21,-0.10998067305251415
