model,arm,lens,layer,site,condition,condition_kind,condition_order,relative_depth,n_pairs,mean_delta_contrast_z,mean_delta_contrast_prob,sign_consistency_z,sign_consistency_prob,mean_contrast_prob_unsafe,mean_contrast_prob_safe,permutation_effect_size,permutation_p,permutation_null_sd,anchor_token_same_frac,topk_enrichment_positive,topk_enrichment_negative,topk_enrichment_random,concept_rank_best
starcoder2-3b,mismatched_pairs,jlens,-1,last_token,clean_heldout,clean,-1,,72,0.0,0.0,0.0,0.0,-0.010624441160622236,-0.010624441160622236,,1.0,0.0,1.0,0.0,0.0,0.0,0.0
starcoder2-3b,mismatched_pairs,jlens,-1,last_token,normalize,baseline,0,,72,0.0,0.0,0.0,0.0,-0.010337246297739945,-0.010337246297739945,,1.0,0.0,1.0,0.0,0.0,0.0,0.0
starcoder2-3b,mismatched_pairs,jlens,-1,last_token,rename_only,atomic,11,,72,0.0,0.0,0.0,0.0,-0.010337246297739945,-0.010337246297739945,,1.0,0.0,1.0,0.0,0.0,0.0,0.0
starcoder2-3b,mismatched_pairs,jlens,-1,last_token,opaque_only,atomic,12,,72,0.09293437798361459,4.924924330825323e-06,0.2222222222222222,0.2222222222222222,-0.010348737787845202,-0.01035366271217603,1.1962377924641978,0.3,0.0790354903773534,0.6388888888888888,0.125,0.0,0.03125,65.0
starcoder2-3b,mismatched_pairs,jlens,-1,last_token,encode_only,atomic,13,,72,0.0,0.0,0.0,0.0,-0.010337246297739945,-0.010337246297739945,,1.0,0.0,1.0,0.0,0.0,0.0,0.0
starcoder2-3b,mismatched_pairs,jlens,-1,last_token,flatten_only,atomic,14,,72,0.022841901039922216,6.281998526001857e-06,0.4583333333333333,0.4722222222222222,-0.010161281440355961,-0.010167563438881961,0.1414375470881261,0.884,0.12563744741923558,0.041666666666666664,0.0,0.0,0.0,47.0
starcoder2-3b,mismatched_pairs,jlens,-1,last_token,rename_cumulative,cumulative,21,,72,0.0,0.0,0.0,0.0,-0.010337246297739945,-0.010337246297739945,,1.0,0.0,1.0,0.0,0.0,0.0,0.0
starcoder2-3b,mismatched_pairs,jlens,-1,last_token,rename_opaque,cumulative,22,,72,0.02028358646275707,4.8094048626968795e-06,0.2638888888888889,0.2777777777777778,-0.0102843109884117,-0.010289120393274395,0.23003664676338242,0.83,0.08946704660801683,0.5,0.0,0.125,0.03125,46.0
starcoder2-3b,mismatched_pairs,jlens,-1,last_token,rename_opaque_encode,cumulative,23,,72,-0.0422756814746936,-6.720968177736347e-06,0.19444444444444445,0.20833333333333334,-0.010293354195276981,-0.010286633227099246,-0.4379869468466163,0.622,0.09372912046906993,0.5694444444444444,0.125,0.125,0.0625,182.0
starcoder2-3b,mismatched_pairs,jlens,-1,last_token,rename_opaque_encode_flatten,cumulative,24,,72,-0.10118003630266975,-1.2677754629901127e-05,0.3472222222222222,0.375,-0.010179783177648673,-0.010167105423018772,-0.8848026231344216,0.408,0.11658415144222244,0.125,0.0,0.25,0.0,195.0
starcoder2-3b,mismatched_pairs,jlens,0,last_token,clean_heldout,clean,-1,0.0,72,-0.0028219048022826276,-9.81496170734697e-07,0.625,0.4861111111111111,-0.010273359497834283,-0.01027237800166355,-0.21325522653755488,0.896,0.01798872375565314,1.0,0.0,0.0,0.03125,55.0
starcoder2-3b,mismatched_pairs,jlens,0,last_token,normalize,baseline,0,0.0,72,-0.004156498725178075,-1.615677144512046e-07,0.5,0.4444444444444444,-0.010419101347190006,-0.010418939779475556,-0.3322881156945248,0.752,0.011366977132603245,1.0,0.0,0.125,0.0,128.0
starcoder2-3b,mismatched_pairs,jlens,0,last_token,rename_only,atomic,11,0.0,72,-0.012858785417458251,-3.5585913663172476e-06,0.4027777777777778,0.4722222222222222,-0.0104303748374589,-0.010426816246092582,-1.3081710962365705,0.16,0.009066161414618589,1.0,0.125,0.125,0.0,101.0
starcoder2-3b,mismatched_pairs,jlens,0,last_token,opaque_only,atomic,12,0.0,72,-0.011006427736071876,-8.019803802749452e-06,0.4583333333333333,0.5,-0.010393408106189907,-0.01038538830238716,-0.5035180021747634,0.59,0.02015710641694243,0.6388888888888888,0.0,0.125,0.0,95.0
starcoder2-3b,mismatched_pairs,jlens,0,last_token,encode_only,atomic,13,0.0,72,0.0009910031493268667,2.7784915185489146e-07,0.5,0.5138888888888888,-0.010424169097075584,-0.01042444694622744,0.10944756302642879,0.93,0.011743256832545427,1.0,0.125,0.375,0.03125,116.0
starcoder2-3b,mismatched_pairs,jlens,0,last_token,flatten_only,atomic,14,0.0,72,-0.051166298748717226,-8.658288216410977e-06,0.4722222222222222,0.4722222222222222,-0.01027814459799823,-0.01026948630978182,-0.8243561407223478,0.39,0.05742888403394175,0.041666666666666664,0.125,0.25,0.03125,116.0
starcoder2-3b,mismatched_pairs,jlens,0,last_token,rename_cumulative,cumulative,21,0.0,72,-0.002898934702757938,-1.6045750038432767e-06,0.5,0.4722222222222222,-0.010428750301619404,-0.01042714572661556,-0.1358599292418121,0.79,0.00957788012886066,1.0,0.0,0.125,0.0625,35.0
starcoder2-3b,mismatched_pairs,jlens,0,last_token,rename_opaque,cumulative,22,0.0,72,-0.02904205058815287,8.62849724836853e-06,0.3333333333333333,0.4861111111111111,-0.010373117026320284,-0.010381745523568651,-0.9733970960250448,0.312,0.029679161292559566,0.5,0.0,0.0,0.03125,172.0
starcoder2-3b,mismatched_pairs,jlens,0,last_token,rename_opaque_encode,cumulative,23,0.0,72,-0.0054115175217341605,4.120476838486363e-06,0.5277777777777778,0.5694444444444444,-0.010397039880488408,-0.010401160357326895,-0.11189277188552725,0.886,0.03771430394049597,0.5694444444444444,0.0,0.0,0.03125,155.0
starcoder2-3b,mismatched_pairs,jlens,0,last_token,rename_opaque_encode_flatten,cumulative,24,0.0,72,-0.030557883758817413,1.3350604095838007e-06,0.4305555555555556,0.5416666666666666,-0.010272443728575383,-0.010273778788984965,-0.49752488841810233,0.634,0.06268595537873324,0.125,0.125,0.0,0.0625,162.0
starcoder2-3b,mismatched_pairs,jlens,3,last_token,clean_heldout,clean,-1,0.1034,72,0.0009298912457804437,-6.036223334548448e-07,0.4861111111111111,0.4861111111111111,-0.010064975619244002,-0.01006437199691055,0.175265096637931,0.928,0.007636223179949734,1.0,0.0,0.0,0.0625,46.0
starcoder2-3b,mismatched_pairs,jlens,3,last_token,normalize,baseline,0,0.1034,72,0.02787618731185561,3.2371211231252715e-06,0.5138888888888888,0.5277777777777778,-0.010212017451947976,-0.010215254573071101,1.8399775003341443,0.056,0.014993486440658227,1.0,0.25,0.125,0.0,24.0
starcoder2-3b,mismatched_pairs,jlens,3,last_token,rename_only,atomic,11,0.1034,72,0.019431768537994318,2.131925351918237e-06,0.5555555555555556,0.5277777777777778,-0.010218148133292807,-0.010220280058644724,0.7555511201338919,0.374,0.02302685445050738,1.0,0.25,0.125,0.0,50.0
starcoder2-3b,mismatched_pairs,jlens,3,last_token,opaque_only,atomic,12,0.1034,72,-0.04138196553746129,6.141667944097137e-06,0.5,0.5555555555555556,-0.01022009497931203,-0.01022623664725613,-0.7249291019193904,0.482,0.058191572781402176,0.6388888888888888,0.0,0.25,0.0,171.0
starcoder2-3b,mismatched_pairs,jlens,3,last_token,encode_only,atomic,13,0.1034,72,0.05271541176864855,6.264670747469854e-06,0.625,0.5833333333333334,-0.010201936560330534,-0.010208201231078006,2.645758200537432,0.004,0.02046148977061698,1.0,0.25,0.125,0.0,5.0
starcoder2-3b,mismatched_pairs,jlens,3,last_token,flatten_only,atomic,14,0.1034,72,-0.03251804740443112,-7.648833971297065e-06,0.4861111111111111,0.4583333333333333,-0.010316794458212332,-0.010309145624241034,-0.47053266937759736,0.704,0.08034368307485172,0.041666666666666664,0.0,0.0,0.0,100.0
starcoder2-3b,mismatched_pairs,jlens,3,last_token,rename_cumulative,cumulative,21,0.1034,72,0.025541876740204313,-1.7726262989513585e-06,0.5,0.4722222222222222,-0.010219150465618162,-0.010217377839319213,1.037732660584535,0.318,0.025072296661073176,1.0,0.25,0.25,0.0,9.0
starcoder2-3b,mismatched_pairs,jlens,3,last_token,rename_opaque,cumulative,22,0.1034,72,0.046774704533039384,-5.824573599965534e-06,0.5555555555555556,0.4583333333333333,-0.01024487938765235,-0.010239054814052385,0.9427549779535854,0.344,0.0485585706455971,0.5,0.0,0.25,0.09375,10.0
starcoder2-3b,mismatched_pairs,jlens,3,last_token,rename_opaque_encode,cumulative,23,0.1034,72,0.015121981209623032,-4.398694802946493e-06,0.625,0.5416666666666666,-0.010232544783971478,-0.010228146089168532,0.33819202214742716,0.72,0.04153182486719661,0.5694444444444444,0.25,0.25,0.0,20.0
starcoder2-3b,mismatched_pairs,jlens,3,last_token,rename_opaque_encode_flatten,cumulative,24,0.1034,72,-0.0065671828674818316,1.0506128494172208e-06,0.4583333333333333,0.5,-0.010315927700081313,-0.01031697831293073,-0.10549325745506039,0.944,0.08632159351558025,0.125,0.0,0.0,0.0,116.0
