model,split,lens,layer,site,token_id,token,mean_delta_z,rank,sign_consistency,is_concept_unsafe,is_concept_safe,is_random_control,n_pairs
starcoder2-3b,train,clens,-1,sink_arg,11135, unsafe,0.008445073838314629,76,0.14285714285714285,1,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,10065, safe,-0.024329253799846833,153,0.10119047619047619,0,1,0,168
starcoder2-3b,train,clens,-1,sink_arg,32856, trusted,-0.0017027570587140398,105,0.10714285714285714,0,1,0,168
starcoder2-3b,train,clens,-1,sink_arg,5084, clean,-0.043144837281253054,176,0.10119047619047619,0,1,0,168
starcoder2-3b,train,clens,-1,sink_arg,44483,obacz,-0.08199054354631902,195,0.1130952380952381,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,3054,entry,0.021593313397569504,44,0.14285714285714285,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,42485,igsaw,0.014980532040343877,65,0.125,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,48574,ásá,0.007083569386268776,80,0.125,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,23376, sigu,0.0868229664001254,0,0.125,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,36416,*)(*,-0.009457988804487293,126,0.125,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,3429, entry,-0.00745921897491282,122,0.10714285714285714,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,40346,perfilusuario,-0.07644631551721962,193,0.08928571428571429,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,41060,AUTHORS,0.02344096334898536,40,0.1130952380952381,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,2717,Entry,0.011578886577657033,72,0.125,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,37913,streetmap,0.03351237529656187,26,0.14285714285714285,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,19599,tribs,-0.012587790141277543,134,0.10119047619047619,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,48700, namemap,-0.0571195159157318,183,0.10714285714285714,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,46511,putc,0.010110600710793186,75,0.13095238095238096,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,8040,fol,0.052824031188953825,7,0.15476190476190477,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,17015,selves,-0.005322472440796916,115,0.13095238095238096,0,0,0,168
starcoder2-3b,train,clens,-1,sink_arg,47229, Ros,0.0025169850761591955,95,0.10714285714285714,0,0,0,168
