model,lens,basis,arm,layer,site,condition,n_candidates,n,sv1_share,sv1_floor,mean_pairwise_cosine,resultant_length,mean_norm,dropped_zero_norm
starcoder2-3b,jlens,frozen_pool,main,-1,sink_arg,clean_heldout,196,18,0.338491879957046,0.05555555555555555,-0.023477062109411414,0.18270953635331885,13.009058644459987,54
starcoder2-3b,jlens,frozen_pool,same_label_unsafe,-1,sink_arg,clean_heldout,196,43,0.5672092440481001,0.023255813953488372,-0.0225702543156708,0.03479151150878222,17.060895283257057,29
starcoder2-3b,jlens,frozen_pool,same_label_safe,-1,sink_arg,clean_heldout,196,43,0.5690535732204859,0.023255813953488372,-0.02338104769928084,0.020457554827975982,17.558956104963677,29
starcoder2-3b,jlens,frozen_pool,main,-1,last_token,clean_heldout,196,0,,,,,,72
starcoder2-3b,jlens,frozen_pool,same_label_unsafe,-1,last_token,clean_heldout,196,0,,,,,,72
starcoder2-3b,jlens,frozen_pool,same_label_safe,-1,last_token,clean_heldout,196,0,,,,,,72
starcoder2-3b,jlens,frozen_pool,main,0,sink_arg,clean_heldout,196,72,0.18327633773885615,0.013888888888888888,-6.003013181133962e-05,0.11759971304772925,4.235693734071343,0
starcoder2-3b,jlens,frozen_pool,same_label_unsafe,0,sink_arg,clean_heldout,196,72,0.3450610293701888,0.013888888888888888,-0.01105762039778675,0.054633749204887165,10.828841744397483,0
starcoder2-3b,jlens,frozen_pool,same_label_safe,0,sink_arg,clean_heldout,196,72,0.336513196364236,0.013888888888888888,-0.011782558012938192,0.04764428103161265,10.84916921936782,0
starcoder2-3b,jlens,frozen_pool,main,0,last_token,clean_heldout,196,72,0.2296203864917964,0.013888888888888888,0.006410717547924153,0.14216387970610495,0.4604289869988847,0
starcoder2-3b,jlens,frozen_pool,same_label_unsafe,0,last_token,clean_heldout,196,72,0.4023281000864871,0.013888888888888888,-0.01331806935029799,0.027491684633934414,3.26954366528858,0
starcoder2-3b,jlens,frozen_pool,same_label_safe,0,last_token,clean_heldout,196,72,0.3828163369873804,0.013888888888888888,-0.013425216922514168,0.025497711907556623,3.3020562643593445,0
starcoder2-3b,jlens,frozen_pool,main,3,sink_arg,clean_heldout,196,72,0.18090144019833734,0.013888888888888888,0.007136813867116092,0.1446602237699912,5.735581066287428,0
starcoder2-3b,jlens,frozen_pool,same_label_unsafe,3,sink_arg,clean_heldout,196,72,0.25627054435370183,0.013888888888888888,-0.012280125399275353,0.04218199600333883,9.13553079325803,0
starcoder2-3b,jlens,frozen_pool,same_label_safe,3,sink_arg,clean_heldout,196,72,0.24149522126379117,0.013888888888888888,-0.012999058033453671,0.032716560456779,9.32072747165696,0
starcoder2-3b,jlens,frozen_pool,main,3,last_token,clean_heldout,196,72,0.15939719690418036,0.013888888888888888,-0.0021872572990112825,0.10831440422896203,0.5094543980617087,0
starcoder2-3b,jlens,frozen_pool,same_label_unsafe,3,last_token,clean_heldout,196,72,0.3482715540743857,0.013888888888888888,-0.013179333901750027,0.02987643371170382,3.1369917915310257,0
starcoder2-3b,jlens,frozen_pool,same_label_safe,3,last_token,clean_heldout,196,72,0.34304476134953893,0.013888888888888888,-0.01338809961462471,0.026205631117091524,3.172485342685509,0
starcoder2-3b,jlens,frozen_pool,main,7,sink_arg,clean_heldout,196,72,0.17416845756709437,0.013888888888888888,0.04043218513604813,0.23186098399266628,4.440693186586782,0
starcoder2-3b,jlens,frozen_pool,same_label_unsafe,7,sink_arg,clean_heldout,196,72,0.2427343862312276,0.013888888888888888,-0.01325232653488738,0.028646508421862404,8.621926242454776,0
starcoder2-3b,jlens,frozen_pool,same_label_safe,7,sink_arg,clean_heldout,196,72,0.23635897617143545,0.013888888888888888,-0.012956497257729594,0.033351806277338227,8.578753207055033,0
starcoder2-3b,jlens,frozen_pool,main,7,last_token,clean_heldout,196,72,0.25085216098160656,0.013888888888888888,0.027232491847587675,0.2018493291617236,0.5245127454904547,0
starcoder2-3b,jlens,frozen_pool,same_label_unsafe,7,last_token,clean_heldout,196,72,0.2945760655005653,0.013888888888888888,-0.013643851341316038,0.020845514694267184,4.035862817252804,0
starcoder2-3b,jlens,frozen_pool,same_label_safe,7,last_token,clean_heldout,196,72,0.2928808719851034,0.013888888888888888,-0.01360995898264789,0.02163231643475389,4.088990821655074,0
starcoder2-3b,jlens,frozen_pool,main,11,sink_arg,clean_heldout,196,72,0.15836777536956784,0.013888888888888888,0.1009399011557759,0.33678902442487163,4.527286133906042,0
starcoder2-3b,jlens,frozen_pool,same_label_unsafe,11,sink_arg,clean_heldout,196,72,0.22807329989516253,0.013888888888888888,-0.01296715411408468,0.033193887050175744,7.821552503613241,0
starcoder2-3b,jlens,frozen_pool,same_label_safe,11,sink_arg,clean_heldout,196,72,0.21746536731495977,0.013888888888888888,-0.013266381215415308,0.028403573157828734,7.574816751614907,0
starcoder2-3b,jlens,frozen_pool,main,11,last_token,clean_heldout,196,72,0.1822811504210243,0.013888888888888888,0.12415601156550393,0.3692160768504968,0.7539873868628408,0
starcoder2-3b,jlens,frozen_pool,same_label_unsafe,11,last_token,clean_heldout,196,72,0.3065371816678431,0.013888888888888888,-0.013466884607895238,0.024678823817033766,4.196630966390597,0
starcoder2-3b,jlens,frozen_pool,same_label_safe,11,last_token,clean_heldout,196,72,0.29968690542557636,0.013888888888888888,-0.01324772959087754,0.028725520749484958,4.206427521542317,0
starcoder2-3b,jlens,frozen_pool,main,15,sink_arg,clean_heldout,196,72,0.2544367394024291,0.013888888888888888,0.17538668343897457,0.43224951841383097,4.926804276208881,0
starcoder2-3b,jlens,frozen_pool,same_label_unsafe,15,sink_arg,clean_heldout,196,72,0.2538480138908548,0.013888888888888888,-0.01300984327651218,0.032553615469038906,6.800948435668399,0
starcoder2-3b,jlens,frozen_pool,same_label_safe,15,sink_arg,clean_heldout,196,72,0.25856475970034376,0.013888888888888888,-0.013251400515177944,0.02866244237828347,6.972652071335633,0
starcoder2-3b,jlens,frozen_pool,main,15,last_token,clean_heldout,196,72,0.2635830383937638,0.013888888888888888,0.16998211873477617,0.42604007424590923,1.0732768846795702,0
starcoder2-3b,jlens,frozen_pool,same_label_unsafe,15,last_token,clean_heldout,196,72,0.3126370493729959,0.013888888888888888,-0.01326098492743847,0.02849709296866678,4.422093674024169,0
starcoder2-3b,jlens,frozen_pool,same_label_safe,15,last_token,clean_heldout,196,72,0.30391683360627775,0.013888888888888888,-0.013035923919035894,0.03215617310452984,4.405580218195878,0
starcoder2-3b,jlens,frozen_pool,main,19,sink_arg,clean_heldout,196,72,0.3110222544343284,0.013888888888888888,0.2635232847954651,0.523213272062354,6.093255109168188,0
starcoder2-3b,jlens,frozen_pool,same_label_unsafe,19,sink_arg,clean_heldout,196,72,0.20417433201352767,0.013888888888888888,-0.013183926743227395,0.029800540923235464,7.80454051906056,0
starcoder2-3b,jlens,frozen_pool,same_label_safe,19,sink_arg,clean_heldout,196,72,0.21273881695582647,0.013888888888888888,-0.013153644881170552,0.03029741771103301,8.448142313807642,0
starcoder2-3b,jlens,frozen_pool,main,19,last_token,clean_heldout,196,72,0.22651871574876276,0.013888888888888888,0.14829424684828899,0.4001543369999137,1.2666554544887265,0
starcoder2-3b,jlens,frozen_pool,same_label_unsafe,19,last_token,clean_heldout,196,72,0.2652120374085057,0.013888888888888888,-0.013201272005084131,0.029512165015047127,4.647487004962378,0
starcoder2-3b,jlens,frozen_pool,same_label_safe,19,last_token,clean_heldout,196,72,0.2609642749921699,0.013888888888888888,-0.012913545441995643,0.033980851147355655,4.704038999311511,0
starcoder2-3b,jlens,frozen_pool,main,23,sink_arg,clean_heldout,196,72,0.3009435622478399,0.013888888888888888,0.22951439574851246,0.49011792937664483,6.143269114835602,0
starcoder2-3b,jlens,frozen_pool,same_label_unsafe,23,sink_arg,clean_heldout,196,72,0.22545121351416064,0.013888888888888888,-0.013664789378262529,0.02034424370654049,8.465303881773975,0
starcoder2-3b,jlens,frozen_pool,same_label_safe,23,sink_arg,clean_heldout,196,72,0.25593441517842513,0.013888888888888888,-0.013655866644891483,0.020559354525611608,9.135190071284608,0
starcoder2-3b,jlens,frozen_pool,main,23,last_token,clean_heldout,196,72,0.2213005202185076,0.013888888888888888,0.14816962240816184,0.400000749842691,1.445397722647054,0
starcoder2-3b,jlens,frozen_pool,same_label_unsafe,23,last_token,clean_heldout,196,72,0.2661744043527233,0.013888888888888888,-0.01346497401676739,0.024716965835881996,5.489027821174357,0
starcoder2-3b,jlens,frozen_pool,same_label_safe,23,last_token,clean_heldout,196,72,0.2622480021358388,0.013888888888888888,-0.013542590470689385,0.023116875924627824,5.525452056674222,0
starcoder2-3b,jlens,frozen_pool,main,27,sink_arg,clean_heldout,196,72,0.27567515306530027,0.013888888888888888,0.20260094223123812,0.4622509374189447,4.338916946717354,0
starcoder2-3b,jlens,frozen_pool,same_label_unsafe,27,sink_arg,clean_heldout,196,72,0.23567610281463622,0.013888888888888888,-0.013638948435879962,0.020961161523068036,6.615359504558272,0
starcoder2-3b,jlens,frozen_pool,same_label_safe,27,sink_arg,clean_heldout,196,72,0.2798496935862879,0.013888888888888888,-0.013667008846405364,0.020290382199325562,7.255492037157771,0
