model,layer,site,condition,condition_kind,condition_order,n,sv1_share,sv1_floor,mean_pairwise_cosine,resultant_length,mean_norm,dropped_zero_norm,same_label_unsafe_n,same_label_unsafe_sv1_share,same_label_unsafe_sv1_floor,same_label_unsafe_mean_pairwise_cosine,same_label_unsafe_resultant_length,same_label_unsafe_mean_norm,same_label_unsafe_dropped_zero_norm,same_label_safe_n,same_label_safe_sv1_share,same_label_safe_sv1_floor,same_label_safe_mean_pairwise_cosine,same_label_safe_resultant_length,same_label_safe_mean_norm,same_label_safe_dropped_zero_norm,n_pairs,same_label_sv1_share,sv1_ratio,proj_mean,proj_sign_consistency,proj_ci_lo,proj_ci_hi,same_label_proj_mean,same_label_proj_sign_consistency
deepseek-coder-1.3b,-1,sink_arg,clean_heldout,clean,-1,18,0.20249719497175558,0.05555555555555555,-0.031858753318238044,0.15958299714324087,245.88907316364222,54,43,0.3458934868216941,0.023255813953488372,-0.023742983934648142,0.008061788630636994,223.94617824325445,29,43,0.34322874028724887,0.023255813953488372,-0.023731462047362043,0.008731916876840416,224.77680117466087,29,18,0.3458934868216941,0.5854322289570651,-0.008439762504458204,0.4444444444444444,-0.1344222198677192,0.11072434899796756,0.0003271188498126985,0.5116279069767442
deepseek-coder-1.3b,-1,sink_arg,encode_only,atomic,13,18,0.20249719497175558,0.05555555555555555,-0.031858753318238044,0.15958299714324087,245.88907316364222,54,43,0.3458934868216941,0.023255813953488372,-0.023742983934648142,0.008061788630636994,223.94617824325445,29,43,0.34322874028724887,0.023255813953488372,-0.023731462047362043,0.008731916876840416,224.77680117466087,29,18,0.3458934868216941,0.5854322289570651,-0.008439762504458204,0.4444444444444444,-0.1344222198677192,0.11072434899796756,0.0003271188498126985,0.5116279069767442
deepseek-coder-1.3b,-1,sink_arg,flatten_only,atomic,14,18,0.20249719497175558,0.05555555555555555,-0.031858753318238044,0.15958299714324087,245.88907316364222,54,43,0.3458934868216941,0.023255813953488372,-0.023742983934648142,0.008061788630636994,223.94617824325445,29,43,0.34322874028724887,0.023255813953488372,-0.023731462047362043,0.008731916876840416,224.77680117466087,29,18,0.3458934868216941,0.5854322289570651,-0.008439762504458204,0.4444444444444444,-0.1344222198677192,0.11072434899796756,0.0003271188498126985,0.5116279069767442
deepseek-coder-1.3b,-1,sink_arg,normalize,baseline,0,18,0.20249719497175558,0.05555555555555555,-0.031858753318238044,0.15958299714324087,245.88907316364222,54,43,0.3458934868216941,0.023255813953488372,-0.023742983934648142,0.008061788630636994,223.94617824325445,29,43,0.34322874028724887,0.023255813953488372,-0.023731462047362043,0.008731916876840416,224.77680117466087,29,18,0.3458934868216941,0.5854322289570651,-0.008439762504458204,0.4444444444444444,-0.1344222198677192,0.11072434899796756,0.0003271188498126985,0.5116279069767442
deepseek-coder-1.3b,-1,sink_arg,opaque_only,atomic,12,18,0.20249719497175558,0.05555555555555555,-0.031858753318238044,0.15958299714324087,245.88907316364222,54,43,0.3458934868216941,0.023255813953488372,-0.023742983934648142,0.008061788630636994,223.94617824325445,29,43,0.34322874028724887,0.023255813953488372,-0.023731462047362043,0.008731916876840416,224.77680117466087,29,18,0.3458934868216941,0.5854322289570651,-0.008439762504458204,0.4444444444444444,-0.1344222198677192,0.11072434899796756,0.0003271188498126985,0.5116279069767442
deepseek-coder-1.3b,-1,sink_arg,rename_cumulative,cumulative,21,62,0.1980737808391895,0.016129032258064516,-0.0015405614604489842,0.12088555977910116,189.31383100508012,10,65,0.27126528862238164,0.015384615384615385,-0.015594647157966135,0.005466797529938865,192.993351075441,7,65,0.2170017940959958,0.015384615384615385,-0.015475998736199524,0.01211234645578976,187.98500512506735,7,62,0.27126528862238164,0.7301847643135819,0.0023708379306428442,0.5806451612903226,-0.007787001098953149,0.012489552630816358,-0.00037272124556470297,0.5230769230769231
deepseek-coder-1.3b,-1,sink_arg,rename_only,atomic,11,65,0.20391659368249837,0.015384615384615385,-0.0063259330165981635,0.09568701277825754,188.36631182267635,7,66,0.19889274451023875,0.015151515151515152,-0.01534044064733138,0.006595864089164721,188.47584973174708,6,67,0.1918451893257521,0.014925373134328358,-0.015118934864229822,0.0056651579272576505,188.38437708928006,5,65,0.19889274451023875,1.025259087176008,0.006393485102245856,0.5538461538461539,-0.005894675297000518,0.018193798099198626,0.0002046272925499032,0.49624060150375937
deepseek-coder-1.3b,-1,sink_arg,rename_opaque,cumulative,22,66,0.19800825404645742,0.015151515151515152,0.015236652038030225,0.17365859847797,190.36808435112815,6,66,0.22129748009319666,0.015151515151515152,-0.015352080068221802,0.005660596881450207,185.81604446095974,6,61,0.23958863902951677,0.01639344262295082,-0.01663321224387935,0.005736374257914845,192.44108651600536,11,66,0.23958863902951677,0.8264509320997614,0.01165849658902129,0.5606060606060606,0.0017825947654189602,0.021422840345208707,-0.00033489251533911523,0.5039370078740157
deepseek-coder-1.3b,-1,sink_arg,rename_opaque_encode,cumulative,23,68,0.20086286802204018,0.014705882352941176,-0.007982423475817693,0.0827094157738417,191.72826752788484,4,66,0.18634350911247896,0.015151515151515152,-0.015285201963769778,0.009894804540434596,188.86843973615038,6,67,0.23905571811267443,0.014925373134328358,-0.015062565194312594,0.009360680846018956,190.5199696554979,5,68,0.23905571811267443,0.8402345261089602,0.00048092239837444845,0.5441176470588235,-0.010763376024970952,0.01212831707765966,-7.177643586090893e-05,0.48120300751879697
deepseek-coder-1.3b,-1,sink_arg,rename_opaque_encode_flatten,cumulative,24,67,0.1954870420285249,0.014925373134328358,-0.0062808725175972505,0.09347858034151672,187.99503780423586,5,66,0.23293595238090536,0.015151515151515152,-0.015319192558048719,0.00802692790665787,187.57906107973724,6,62,0.22090014022497265,0.016129032258064516,-0.016332055119033677,0.007771575315611653,188.8660432895297,10,67,0.23293595238090536,0.8392308702473604,-0.005615884406970226,0.43283582089552236,-0.015098283023030623,0.003333971853115972,0.0002838384472840438,0.53125
