layer,readout,n_model_wrong,per_prefix_error_rate,early_warning_rate,analytic_null,early_warning_excess,constant_readout,beats_position_floor,readout_never_wrong,mean_lead
-1,position,19,0.2331972789115646,0.8421052631578947,0.7286409793149948,0.11346428384289986,False,False,3,2.375
-1,probe,19,0.1741496598639456,0.8947368421052632,0.6123701840629652,0.282366658042298,True,True,0,0.8947368421052632
-1,random,19,0.7020408163265306,1.0,0.9949347534076852,0.005065246592314776,False,False,0,5.052631578947368
0,position,19,0.2331972789115646,0.8421052631578947,0.7286409793149948,0.11346428384289986,False,False,3,2.375
0,probe,19,0.0047619047619047615,0.0,0.023818010290193658,-0.023818010290193658,False,True,19,
0,random,19,0.15425170068027208,0.631578947368421,0.5647940984553469,0.06678484891307412,False,True,7,2.1666666666666665
3,position,19,0.2331972789115646,0.8421052631578947,0.7286409793149948,0.11346428384289986,False,False,3,2.375
3,probe,19,0.5592176870748299,0.8421052631578947,0.9766827303346651,-0.13457746717677044,False,False,3,3.6875
3,random,19,0.29697278911564623,0.47368421052631576,0.8197856222398242,-0.34610141171350844,False,False,10,3.888888888888889
7,position,19,0.2331972789115646,0.8421052631578947,0.7286409793149948,0.11346428384289986,False,False,3,2.375
7,probe,19,0.008333333333333331,0.0,0.04136673759580181,-0.04136673759580181,False,True,19,
7,random,19,0.12367346938775507,0.47368421052631576,0.4821485599527171,-0.00846434942640134,False,True,7,1.8333333333333333
11,position,19,0.2331972789115646,0.8421052631578947,0.7286409793149948,0.11346428384289986,False,False,3,2.375
11,probe,19,0.026802721088435368,0.10526315789473684,0.12794409959630093,-0.022680941701564095,False,True,17,1.0
11,random,19,0.19738095238095238,0.5789473684210527,0.6623042273173244,-0.08335685889627176,False,True,8,3.090909090909091
15,position,19,0.2331972789115646,0.8421052631578947,0.7286409793149948,0.11346428384289986,False,False,3,2.375
15,probe,19,0.012585034013605436,0.21052631578947367,0.0619113535657648,0.14861496222370887,False,True,13,0.6666666666666666
15,random,19,0.1741496598639456,0.8947368421052632,0.6123701840629652,0.282366658042298,True,True,0,0.8947368421052632
19,position,19,0.2331972789115646,0.8421052631578947,0.7286409793149948,0.11346428384289986,False,False,3,2.375
19,probe,19,0.014047619047619045,0.0,0.06889251093425076,-0.06889251093425076,False,True,19,
19,random,19,0.7150340136054422,1.0,0.9957040151111577,0.004295984888842308,False,False,0,5.052631578947368
23,position,19,0.2331972789115646,0.8421052631578947,0.7286409793149948,0.11346428384289986,False,False,3,2.375
23,probe,19,0.016428571428571428,0.0,0.08016369250177732,-0.08016369250177732,False,True,19,
23,random,19,0.542142857142857,1.0,0.9727247998382385,0.027275200161761548,False,False,0,5.052631578947368
27,position,19,0.2331972789115646,0.8421052631578947,0.7286409793149948,0.11346428384289986,False,False,3,2.375
27,probe,19,0.009999999999999997,0.0,0.04946486712589477,-0.04946486712589477,False,True,19,
27,random,19,0.5860884353741496,1.0,0.9819472824772455,0.018052717522754502,False,False,0,5.052631578947368
31,position,19,0.2331972789115646,0.8421052631578947,0.7286409793149948,0.11346428384289986,False,False,3,2.375
31,probe,19,0.17176870748299317,0.7894736842105263,0.606918959172958,0.1825547250375683,False,True,4,4.933333333333334
31,random,19,0.1741496598639456,0.8947368421052632,0.6123701840629652,0.282366658042298,True,True,0,0.8947368421052632
