level,layer,readout,family,reversal_ab,reversal_ba,beats_chance_ab,beats_chance_ba,agree,both_beat_chance,split
family,8,gram_random,action,0.5075035714285714,0.507732142857143,True,True,True,True,test
family,8,gram_random,positional,0.5080023809523809,0.5074166666666667,True,True,True,True,test
family,8,gram_random,scope,0.4997892857142856,0.5001392857142857,False,False,False,False,test
family,8,clens,action,0.35892857142857143,0.35714285714285715,False,False,True,False,test
family,8,clens,positional,0.7702380952380953,0.7690476190476191,True,True,True,True,test
family,8,clens,scope,0.475,0.475,False,False,True,False,test
family,8,logit,action,0.7303571428571428,0.7357142857142858,True,True,True,True,test
family,8,logit,positional,0.6988095238095238,0.6952380952380952,True,True,True,True,test
family,8,logit,scope,0.40535714285714286,0.4080357142857143,False,False,True,False,test
family,12,gram_random,action,0.500575,0.5010785714285714,False,False,True,False,test
family,12,gram_random,positional,0.48403333333333337,0.4842761904761905,False,False,True,False,test
family,12,gram_random,scope,0.5019446428571429,0.5023232142857142,True,True,True,True,test
family,12,clens,action,0.6428571428571429,0.6607142857142857,True,True,True,True,test
family,12,clens,positional,0.8380952380952381,0.8178571428571428,True,True,True,True,test
family,12,clens,scope,0.8160714285714286,0.8080357142857143,True,True,True,True,test
family,12,logit,action,0.9732142857142857,0.9785714285714285,True,True,True,True,test
family,12,logit,positional,0.6583333333333333,0.6571428571428571,True,True,True,True,test
family,12,logit,scope,0.7607142857142857,0.7633928571428571,True,True,True,True,test
family,16,gram_random,action,0.5026035714285715,0.5019107142857143,True,True,True,True,test
family,16,gram_random,positional,0.49841428571428564,0.4988880952380953,False,False,True,False,test
family,16,gram_random,scope,0.5054624999999999,0.5053910714285714,True,True,True,True,test
family,16,clens,action,0.7375,0.7553571428571428,True,True,True,True,test
family,16,clens,positional,0.5785714285714286,0.5833333333333334,True,True,True,True,test
family,16,clens,scope,0.8642857142857143,0.8633928571428572,True,True,True,True,test
family,16,logit,action,0.9803571428571428,0.9821428571428571,True,True,True,True,test
family,16,logit,positional,0.5797619047619048,0.5916666666666667,True,True,True,True,test
family,16,logit,scope,0.7160714285714286,0.73125,True,True,True,True,test
family,20,gram_random,action,0.5112928571428572,0.5111428571428571,True,True,True,True,test
family,20,gram_random,positional,0.4974904761904762,0.4970904761904762,False,False,True,False,test
family,20,gram_random,scope,0.5038482142857142,0.5042482142857143,True,True,True,True,test
family,20,clens,action,0.5410714285714285,0.5428571428571428,True,True,True,True,test
family,20,clens,positional,0.27976190476190477,0.29642857142857143,False,False,True,False,test
family,20,clens,scope,0.8580357142857142,0.8705357142857143,True,True,True,True,test
family,20,logit,action,0.6464285714285715,0.65,True,True,True,True,test
family,20,logit,positional,0.2714285714285714,0.2833333333333333,False,False,True,False,test
family,20,logit,scope,0.7758928571428572,0.78125,True,True,True,True,test
family,24,gram_random,action,0.4928821428571429,0.49247857142857143,False,False,True,False,test
family,24,gram_random,positional,0.51375,0.5147690476190476,True,True,True,True,test
family,24,gram_random,scope,0.5150857142857143,0.5152660714285714,True,True,True,True,test
family,24,clens,action,0.44107142857142856,0.42857142857142855,False,False,True,False,test
family,24,clens,positional,0.4261904761904762,0.4380952380952381,False,False,True,False,test
family,24,clens,scope,0.8357142857142857,0.84375,True,True,True,True,test
family,24,logit,action,0.4517857142857143,0.45357142857142857,False,False,True,False,test
family,24,logit,positional,0.31666666666666665,0.30357142857142855,False,False,True,False,test
family,24,logit,scope,0.7285714285714285,0.73125,True,True,True,True,test
