level,arm,control,layer,reversal_clens,reversal_control,difference,ci_lo,ci_hi,beats_control,n,n_bases,split,family,pair_index,inner_word,outer_word
all,ab,gram_random,8,0.5476190476190477,0.5042412698412699,0.04337777777777778,0.029045396825396818,0.0569728968253968,True,2520,280,test,,,,
all,ab,gram_random,12,0.7849206349206349,0.49566984126984137,0.28925079365079365,0.2714869642857143,0.3069482936507937,True,2520,280,test,,,,
all,ab,gram_random,16,0.7408730158730159,0.5024777777777778,0.23839523809523808,0.22375626984126984,0.25237636904761906,True,2520,280,test,,,,
all,ab,gram_random,20,0.5948412698412698,0.5033833333333334,0.0914579365079365,0.07956958333333333,0.10378007936507935,True,2520,280,test,,,,
all,ab,gram_random,24,0.6115079365079366,0.5097063492063493,0.10180158730158728,0.08525295634920634,0.11841527777777777,True,2520,280,test,,,,
all,ab,logit,8,0.5476190476190477,0.5753968253968254,-0.027777777777777776,-0.04801587301587302,-0.007936507936507936,False,2520,280,test,,,,
all,ab,logit,12,0.7849206349206349,0.7738095238095238,0.011111111111111112,-0.004761904761904762,0.026587301587301587,False,2520,280,test,,,,
all,ab,logit,16,0.7408730158730159,0.7293650793650793,0.011507936507936509,-0.0035714285714285713,0.027777777777777776,False,2520,280,test,,,,
all,ab,logit,20,0.5948412698412698,0.578968253968254,0.015873015873015872,0.004761904761904762,0.027390873015872962,True,2520,280,test,,,,
all,ab,logit,24,0.6115079365079366,0.5297619047619048,0.08174603174603175,0.07103174603174603,0.09325396825396826,True,2520,280,test,,,,
all,ba,gram_random,8,0.5468253968253968,0.5042523809523809,0.04257301587301587,0.02874448412698412,0.056491646825396806,True,2520,280,test,,,,
all,ba,gram_random,12,0.7785714285714286,0.4960309523809524,0.2825404761904762,0.26532450396825397,0.30017259920634926,True,2520,280,test,,,,
all,ba,gram_random,16,0.746031746031746,0.50245,0.24358174603174604,0.22875470238095236,0.25887974206349207,True,2520,280,test,,,,
all,ba,gram_random,20,0.6063492063492063,0.5033944444444445,0.10295476190476191,0.09182194444444444,0.11420843253968252,True,2520,280,test,,,,
all,ba,gram_random,24,0.6162698412698413,0.5100365079365079,0.10623333333333332,0.09000345238095236,0.12211587301587301,True,2520,280,test,,,,
all,ba,logit,8,0.5468253968253968,0.5765873015873015,-0.02976190476190476,-0.04880952380952381,-0.011507936507936509,False,2520,280,test,,,,
all,ba,logit,12,0.7785714285714286,0.7757936507936508,0.002777777777777778,-0.012301587301587301,0.017073412698412643,False,2520,280,test,,,,
all,ba,logit,16,0.746031746031746,0.7404761904761905,0.005555555555555556,-0.00873015873015873,0.020634920634920634,False,2520,280,test,,,,
all,ba,logit,20,0.6063492063492063,0.5861111111111111,0.02023809523809524,0.009126984126984128,0.03253968253968254,True,2520,280,test,,,,
all,ba,logit,24,0.6162698412698413,0.526984126984127,0.08928571428571429,0.07738095238095238,0.10198412698412698,True,2520,280,test,,,,
all,both,gram_random,8,0.5472222222222223,0.5042468253968254,0.042975396825396826,0.030062896825396822,0.055926319444444414,True,5040,280,test,,,,
all,both,gram_random,12,0.7817460317460317,0.4958503968253969,0.2858956349206349,0.2696485515873016,0.30285325396825397,True,5040,280,test,,,,
all,both,gram_random,16,0.743452380952381,0.5024638888888889,0.24098849206349204,0.2283237003968254,0.2540931845238096,True,5040,280,test,,,,
all,both,gram_random,20,0.6005952380952381,0.5033888888888889,0.09720634920634921,0.08750332341269841,0.10700450396825395,True,5040,280,test,,,,
all,both,gram_random,24,0.6138888888888889,0.5098714285714285,0.1040174603174603,0.08926624007936507,0.1189204861111111,True,5040,280,test,,,,
all,both,logit,8,0.5472222222222223,0.5759920634920634,-0.028769841269841268,-0.046830357142857146,-0.011304563492063519,False,5040,280,test,,,,
all,both,logit,12,0.7817460317460317,0.7748015873015873,0.006944444444444444,-0.006547619047619048,0.020436507936507937,False,5040,280,test,,,,
all,both,logit,16,0.743452380952381,0.734920634920635,0.008531746031746031,-0.0031746031746031746,0.01984623015873013,False,5040,280,test,,,,
all,both,logit,20,0.6005952380952381,0.5825396825396826,0.018055555555555554,0.008923611111111111,0.02738591269841267,True,5040,280,test,,,,
all,both,logit,24,0.6138888888888889,0.5283730158730159,0.08551587301587302,0.0761904761904762,0.09503968253968254,True,5040,280,test,,,,
family,ab,gram_random,8,0.35892857142857143,0.5075035714285714,-0.14857499999999998,-0.17441098214285716,-0.1223073214285715,False,560,280,test,action,,,
family,ab,gram_random,8,0.7702380952380953,0.5080023809523809,0.2622357142857143,0.23500130952380952,0.28996279761904753,True,840,280,test,positional,,,
family,ab,gram_random,8,0.475,0.4997892857142856,-0.02478928571428572,-0.04367924107142857,-0.005490535714285722,False,1120,280,test,scope,,,
family,ab,gram_random,12,0.6428571428571429,0.500575,0.14228214285714286,0.09588437500000002,0.1873655357142857,True,560,280,test,action,,,
family,ab,gram_random,12,0.8380952380952381,0.48403333333333337,0.3540619047619048,0.33309428571428573,0.37481690476190477,True,840,280,test,positional,,,
family,ab,gram_random,12,0.8160714285714286,0.5019446428571429,0.3141267857142857,0.2916709375,0.3370724107142857,True,1120,280,test,scope,,,
family,ab,gram_random,16,0.7375,0.5026035714285715,0.23489642857142856,0.19743276785714284,0.2691401785714286,True,560,280,test,action,,,
family,ab,gram_random,16,0.5785714285714286,0.49841428571428564,0.08015714285714284,0.05529976190476191,0.10398136904761902,True,840,280,test,positional,,,
family,ab,gram_random,16,0.8642857142857143,0.5054624999999999,0.3588232142857143,0.33833772321428573,0.37902553571428577,True,1120,280,test,scope,,,
family,ab,gram_random,20,0.5410714285714285,0.5112928571428572,0.029778571428571415,0.010630624999999993,0.04885410714285713,True,560,280,test,action,,,
family,ab,gram_random,20,0.27976190476190477,0.4974904761904762,-0.2177285714285714,-0.24000809523809524,-0.19635613095238094,False,840,280,test,positional,,,
family,ab,gram_random,20,0.8580357142857142,0.5038482142857142,0.3541875,0.33587950892857144,0.37274705357142857,True,1120,280,test,scope,,,
family,ab,gram_random,24,0.44107142857142856,0.4928821428571429,-0.05181071428571427,-0.08097312499999998,-0.024267321428571437,False,560,280,test,action,,,
family,ab,gram_random,24,0.4261904761904762,0.51375,-0.08755952380952382,-0.11750035714285716,-0.058132976190476214,False,840,280,test,positional,,,
family,ab,gram_random,24,0.8357142857142857,0.5150857142857143,0.32062857142857143,0.29833571428571426,0.3424341071428571,True,1120,280,test,scope,,,
family,ab,logit,8,0.35892857142857143,0.7303571428571428,-0.37142857142857144,-0.40714285714285714,-0.3357142857142857,False,560,280,test,action,,,
family,ab,logit,8,0.7702380952380953,0.6988095238095238,0.07142857142857142,0.03571428571428571,0.10714285714285714,True,840,280,test,positional,,,
family,ab,logit,8,0.475,0.40535714285714286,0.06964285714285715,0.04196428571428571,0.09821428571428571,True,1120,280,test,scope,,,
family,ab,logit,12,0.6428571428571429,0.9732142857142857,-0.33035714285714285,-0.375,-0.2875,False,560,280,test,action,,,
family,ab,logit,12,0.8380952380952381,0.6583333333333333,0.17976190476190476,0.15949404761904762,0.2,True,840,280,test,positional,,,
family,ab,logit,12,0.8160714285714286,0.7607142857142857,0.055357142857142855,0.03214285714285714,0.07946428571428571,True,1120,280,test,scope,,,
family,ab,logit,16,0.7375,0.9803571428571428,-0.24285714285714285,-0.2785714285714286,-0.20892857142857144,False,560,280,test,action,,,
family,ab,logit,16,0.5785714285714286,0.5797619047619048,-0.0011904761904761906,-0.02976190476190476,0.02619047619047619,False,840,280,test,positional,,,
family,ab,logit,16,0.8642857142857143,0.7160714285714286,0.14821428571428572,0.12767857142857142,0.16964285714285715,True,1120,280,test,scope,,,
family,ab,logit,20,0.5410714285714285,0.6464285714285715,-0.10535714285714286,-0.13035714285714287,-0.08214285714285714,False,560,280,test,action,,,
family,ab,logit,20,0.27976190476190477,0.2714285714285714,0.008333333333333333,-0.014285714285714285,0.02976190476190476,False,840,280,test,positional,,,
family,ab,logit,20,0.8580357142857142,0.7758928571428572,0.08214285714285714,0.06696428571428571,0.09821428571428571,True,1120,280,test,scope,,,
family,ab,logit,24,0.44107142857142856,0.4517857142857143,-0.010714285714285714,-0.02857142857142857,0.007142857142857143,False,560,280,test,action,,,
family,ab,logit,24,0.4261904761904762,0.31666666666666665,0.10952380952380952,0.0880952380952381,0.13333333333333333,True,840,280,test,positional,,,
family,ab,logit,24,0.8357142857142857,0.7285714285714285,0.10714285714285714,0.08928571428571429,0.12678571428571428,True,1120,280,test,scope,,,
family,ba,gram_random,8,0.35714285714285715,0.507732142857143,-0.1505892857142857,-0.17674892857142857,-0.12445714285714285,False,560,280,test,action,,,
family,ba,gram_random,8,0.7690476190476191,0.5074166666666667,0.26163095238095235,0.23403934523809525,0.2894905357142857,True,840,280,test,positional,,,
family,ba,gram_random,8,0.475,0.5001392857142857,-0.025139285714285718,-0.04522986607142857,-0.004386428571428583,False,1120,280,test,scope,,,
family,ba,gram_random,12,0.6607142857142857,0.5010785714285714,0.15963571428571427,0.11367401785714286,0.20486491071428573,True,560,280,test,action,,,
family,ba,gram_random,12,0.8178571428571428,0.4842761904761905,0.33358095238095237,0.31242125000000004,0.35502327380952386,True,840,280,test,positional,,,
family,ba,gram_random,12,0.8080357142857143,0.5023232142857142,0.3057125,0.2831119196428572,0.3287968303571428,True,1120,280,test,scope,,,
family,ba,gram_random,16,0.7553571428571428,0.5019107142857143,0.2534464285714286,0.2192819642857143,0.28827714285714284,True,560,280,test,action,,,
family,ba,gram_random,16,0.5833333333333334,0.4988880952380953,0.08444523809523809,0.06037821428571429,0.10844845238095238,True,840,280,test,positional,,,
family,ba,gram_random,16,0.8633928571428572,0.5053910714285714,0.3580017857142857,0.3367979017857143,0.3795101339285714,True,1120,280,test,scope,,,
family,ba,gram_random,20,0.5428571428571428,0.5111428571428571,0.03171428571428571,0.012756517857142845,0.05153312499999998,True,560,280,test,action,,,
family,ba,gram_random,20,0.29642857142857143,0.4970904761904762,-0.20066190476190474,-0.22360880952380954,-0.1794255357142857,False,840,280,test,positional,,,
family,ba,gram_random,20,0.8705357142857143,0.5042482142857143,0.3662875,0.3504811607142857,0.3823583035714285,True,1120,280,test,scope,,,
family,ba,gram_random,24,0.42857142857142855,0.49247857142857143,-0.06390714285714286,-0.09578999999999999,-0.03529196428571431,False,560,280,test,action,,,
family,ba,gram_random,24,0.4380952380952381,0.5147690476190476,-0.07667380952380953,-0.1031791666666667,-0.05082589285714289,False,840,280,test,positional,,,
family,ba,gram_random,24,0.84375,0.5152660714285714,0.32848392857142855,0.30861008928571426,0.34788214285714286,True,1120,280,test,scope,,,
family,ba,logit,8,0.35714285714285715,0.7357142857142858,-0.37857142857142856,-0.4142857142857143,-0.34464285714285714,False,560,280,test,action,,,
family,ba,logit,8,0.7690476190476191,0.6952380952380952,0.07380952380952381,0.0380654761904762,0.11071428571428571,True,840,280,test,positional,,,
family,ba,logit,8,0.475,0.4080357142857143,0.06696428571428571,0.039285714285714285,0.09464285714285714,True,1120,280,test,scope,,,
family,ba,logit,12,0.6607142857142857,0.9785714285714285,-0.31785714285714284,-0.3625,-0.2732142857142857,False,560,280,test,action,,,
family,ba,logit,12,0.8178571428571428,0.6571428571428571,0.16071428571428573,0.14047619047619048,0.1809821428571427,True,840,280,test,positional,,,
family,ba,logit,12,0.8080357142857143,0.7633928571428571,0.044642857142857144,0.02142857142857143,0.06698660714285702,True,1120,280,test,scope,,,
family,ba,logit,16,0.7553571428571428,0.9821428571428571,-0.22678571428571428,-0.26075892857142857,-0.19464285714285715,False,560,280,test,action,,,
family,ba,logit,16,0.5833333333333334,0.5916666666666667,-0.008333333333333333,-0.036904761904761905,0.02023809523809524,False,840,280,test,positional,,,
family,ba,logit,16,0.8633928571428572,0.73125,0.13214285714285715,0.11160714285714286,0.15357142857142858,True,1120,280,test,scope,,,
family,ba,logit,20,0.5428571428571428,0.65,-0.10714285714285714,-0.13214285714285715,-0.08214285714285714,False,560,280,test,action,,,
family,ba,logit,20,0.29642857142857143,0.2833333333333333,0.013095238095238096,-0.008333333333333333,0.03571428571428571,False,840,280,test,positional,,,
family,ba,logit,20,0.8705357142857143,0.78125,0.08928571428571429,0.075,0.10446428571428572,True,1120,280,test,scope,,,
family,ba,logit,24,0.42857142857142855,0.45357142857142857,-0.025,-0.04107142857142857,-0.010714285714285714,False,560,280,test,action,,,
family,ba,logit,24,0.4380952380952381,0.30357142857142855,0.13452380952380952,0.11071428571428571,0.1595238095238095,True,840,280,test,positional,,,
family,ba,logit,24,0.84375,0.73125,0.1125,0.09285714285714286,0.13216517857142845,True,1120,280,test,scope,,,
family,both,gram_random,8,0.3580357142857143,0.5076178571428572,-0.14958214285714283,-0.17386285714285718,-0.12505267857142857,False,1120,280,test,action,,,
family,both,gram_random,8,0.7696428571428572,0.5077095238095238,0.26193333333333335,0.23581220238095238,0.2874726488095238,True,1680,280,test,positional,,,
family,both,gram_random,8,0.475,0.49996428571428564,-0.02496428571428572,-0.04301689732142857,-0.006221250000000029,False,2240,280,test,scope,,,
family,both,gram_random,12,0.6517857142857143,0.5008267857142856,0.15095892857142856,0.10710875,0.19390611607142857,True,1120,280,test,action,,,
family,both,gram_random,12,0.8279761904761904,0.484154761904762,0.34382142857142856,0.3240908333333334,0.3630226488095238,True,1680,280,test,positional,,,
family,both,gram_random,12,0.8120535714285714,0.5021339285714286,0.30991964285714285,0.2894109821428572,0.3307234151785714,True,2240,280,test,scope,,,
family,both,gram_random,16,0.7464285714285714,0.5022571428571428,0.24417142857142857,0.2102305357142857,0.2770707589285714,True,1120,280,test,action,,,
family,both,gram_random,16,0.580952380952381,0.49865119047619044,0.08230119047619047,0.06290571428571429,0.10169127976190474,True,1680,280,test,positional,,,
family,both,gram_random,16,0.8638392857142857,0.5054267857142857,0.3584125,0.33940243303571427,0.3772205803571428,True,2240,280,test,scope,,,
family,both,gram_random,20,0.5419642857142857,0.5112178571428572,0.030746428571428563,0.013554374999999981,0.04903276785714283,True,1120,280,test,action,,,
family,both,gram_random,20,0.28809523809523807,0.49729047619047617,-0.20919523809523807,-0.22750050595238092,-0.1918436011904762,False,1680,280,test,positional,,,
family,both,gram_random,20,0.8642857142857143,0.5040482142857142,0.3602375,0.3458365401785714,0.37554203124999996,True,2240,280,test,scope,,,
family,both,gram_random,24,0.4348214285714286,0.4926803571428572,-0.05785892857142857,-0.08499334821428571,-0.03303941964285716,False,1120,280,test,action,,,
family,both,gram_random,24,0.43214285714285716,0.5142595238095239,-0.08211666666666667,-0.1052705654761905,-0.05834449404761907,False,1680,280,test,positional,,,
