model,layer,target_mode,n_readings,median_rho,median_abs_rho_minus_one,max_abs_rho_minus_one,conserving
deepseek-coder-6.7b,0,bound,1600,1.000000182084368,2.194333494909273e-07,1.0843458344567125e-06,1
deepseek-coder-6.7b,0,other,1600,1.0000002186170418,2.574847954850412e-07,1.223089371338304e-06,1
deepseek-coder-6.7b,3,bound,1600,1.0000000085601892,9.075225715360347e-08,4.65147308448266e-07,1
deepseek-coder-6.7b,3,other,1600,1.0000000233841697,9.767119119041823e-08,5.091579342586527e-07,1
deepseek-coder-6.7b,7,bound,1600,1.0000000251305938,8.513431504209024e-08,4.841243133046902e-07,1
deepseek-coder-6.7b,7,other,1600,1.0000000326244827,9.367133807502981e-08,4.240569091429336e-07,1
deepseek-coder-6.7b,11,bound,1600,1.0000000307142078,7.665209966756237e-08,4.3087185175316733e-07,1
deepseek-coder-6.7b,11,other,1600,1.0000000307561017,8.942731399841364e-08,3.855309762546e-07,1
deepseek-coder-6.7b,15,bound,1600,1.0000000333455534,7.458232531565301e-08,4.740433368066732e-07,1
deepseek-coder-6.7b,15,other,1600,1.0000000396932323,8.422734365520768e-08,4.0243325849509404e-07,1
deepseek-coder-6.7b,19,bound,1600,1.0000000364807975,6.675329955463383e-08,4.2952791989847583e-07,1
deepseek-coder-6.7b,19,other,1600,1.0000000475597255,8.002951512597889e-08,3.831119728125998e-07,1
deepseek-coder-6.7b,23,bound,1600,1.000000034636058,6.433533672467462e-08,3.7557502263751985e-07,1
deepseek-coder-6.7b,23,other,1600,1.000000044178158,7.920893974056042e-08,3.5955863841863334e-07,1
deepseek-coder-6.7b,27,bound,1600,1.000000032662439,6.12285844248106e-08,3.697574153527228e-07,1
deepseek-coder-6.7b,27,other,1600,1.0000000411478616,6.683825104492058e-08,3.4692974559824563e-07,1
