model,split,correct_only,contrast,contrast_kind,contrast_order,binding_changes,expect,layer,target_condition,statistic,role,token_identical,n_pairs,n_bases,mean_delta,median_delta,sd_delta,cohens_d,ci_lo,ci_hi,sign_consistency,n_nonzero,degenerate,sign_test_p,permutation_p,permutation_effect_size,mean_frac_from,mean_frac_to,same_target_token,median_abs_rho_minus_one
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,bound,binding_shift,binding_shift,0,140,140,-0.33266811624780807,0.06524729063017069,3.495670973655978,-0.09516574035567318,-0.9840921750618625,0.13424876654771903,0.7,140,0,2.49153734808359e-06,0.442,-1.1053804769179543,,,0,1.857671160232499e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,bound,binding_shift_identical,binding_shift_identical,1,140,140,-0.36108933791190245,0.0713440760504264,3.6866725043314865,-0.09794451161247904,-1.044218015486037,0.12849189602126942,0.7214285714285714,140,0,1.6065634901570444e-07,0.432,-1.1373900929284428,,,0,1.857671160232499e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_both_defs,both_defs,0,140,140,0.29886927797587737,-0.011860024083821974,2.3012113346867773,0.12987476355210856,-0.009463416972442198,0.7284121157048415,0.4142857142857143,140,0,0.051523568581622346,0.13,1.5036001069831344,0.39856051601401227,0.6974297939898897,0,1.857671160232499e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_inner_def,inner_def,0,140,140,-0.01689941913596532,0.02620768891429381,0.6423825842062627,-0.026307405511073266,-0.1345494284753464,0.0728661309384283,0.7214285714285714,140,0,1.6065634901570444e-07,0.818,-0.3188643290083246,0.07989229021466933,0.062992871078704,0,1.857671160232499e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_inner_def_identical,inner_def_identical,1,140,140,-0.04532064080005978,0.029004397100657667,0.8112975500799767,-0.05586192241748064,-0.19607640565376505,0.06596622048319861,0.7714285714285715,140,0,7.793986201015429e-11,0.51,-0.655377946066233,0.07430168340783533,0.028981042607775547,0,1.857671160232499e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_inner_def_name,inner_def_name,0,140,140,0.02842122166409446,-0.004794416564396227,0.21603619793028045,0.1315576830937684,-0.003766413381902722,0.06879722407505034,0.42857142857142855,140,0,0.10798762998355278,0.116,1.5256194321508438,0.005590606806833986,0.03401182847092844,0,1.857671160232499e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_inner_def_value,inner_def_value,1,140,140,-0.04532064080005978,0.029004397100657667,0.8112975500799767,-0.05586192241748064,-0.19607640565376505,0.06596622048319861,0.7714285714285715,140,0,7.793986201015429e-11,0.51,-0.655377946066233,0.07430168340783533,0.028981042607775547,0,1.857671160232499e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_other,other,1,140,140,0.019701108141055558,0.049108777232902315,0.7956859691523909,0.024759903912899554,-0.11897254132489388,0.1358507521746787,0.8928571428571429,140,0,8.894877270372546e-23,0.814,0.2603599813823592,0.24319138343301389,0.2628924915740695,0,1.857671160232499e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_outer_def,outer_def,1,140,140,0.3157686971118427,-0.036663429346463744,2.8887694953014855,0.10930906658542086,-0.06628327752196417,0.8532793911355648,0.3142857142857143,140,0,1.3143213951094486e-05,0.364,1.2676021844523189,0.318668225799343,0.6344369229111856,0,1.857671160232499e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_outer_def_name,outer_def_name,1,140,140,0.271826003319499,-0.007059542712280875,1.9518726327762523,0.13926421158580743,0.0005803735892029315,0.6353428201994689,0.42857142857142855,140,0,0.10798762998355278,0.1,1.5935083005872452,0.2627076894801176,0.5345336927996166,0,1.857671160232499e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_outer_def_value,outer_def_value,1,140,140,0.043942693792343605,-0.03015322834977048,1.058891549864246,0.04149876708146102,-0.10691251841117823,0.2370930798524149,0.19285714285714287,140,0,1.0374925647730655e-13,0.622,0.5139894927957945,0.05596053631922545,0.09990323011156907,0,1.857671160232499e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_return_kw,return_kw,1,140,140,0.02848032661966244,-0.006550269236899232,0.21114385393522925,0.1348858898275064,-0.0025075000877779565,0.06709579599218636,0.24285714285714285,140,0,8.301174583253661e-10,0.126,1.520235793197308,0.006149311918668025,0.03462963853833046,0,1.857671160232499e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_signature,signature,1,140,140,0.33138656241489167,-0.079420696770787,2.4986856568331706,0.13262435052950614,-0.03194804093149664,0.7758663773221927,0.15714285714285714,140,0,4.4887920120309275e-17,0.13,1.5197304855115623,-0.0057008167998409175,0.3256857456150508,0,1.857671160232499e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_suffix,suffix,1,140,140,-0.5904412866728036,0.056791664896368665,3.9490388064907327,-0.14951518979817074,-1.3201560590224266,-0.015803106437964266,0.7785714285714286,140,0,2.2519369295046097e-11,0.084,-1.7129629483749989,0.3080066895008853,-0.2824345971719183,0,1.857671160232499e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,bound,delta_frac_use_site,use_site,1,140,140,-0.08799594237629929,-0.01969083739261754,0.4239946230840714,-0.20754023184593806,-0.16485398292259296,-0.0260511625202294,0.09285714285714286,140,0,1.1448962502288493e-24,0.0,-2.3513549075071376,0.04979279073747885,-0.03820315163882044,0,1.857671160232499e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_a,binding_shift,binding_shift,0,140,140,-0.0691946501422905,-0.06051433699462436,0.5636547520790306,-0.12276069683980709,-0.16428227826701386,0.02341327357652673,0.2571428571428571,140,0,7.600909757854836e-09,0.146,-1.4604602095611559,,,1,1.869878238358602e-07
deepseek-coder-1.3b,test,0,flip_ab,binding_flip,0,1,shift,0,fixed_a,binding_shift_identical,binding_shift_identical,1,140,140,-0.0629503436608059,-0.05617477427918692,0.5316735959659484,-0.11840035717108964,-0.15133121906984154,0.024642615449249325,0.25,140,0,2.5588303858648052e-09,0.176,-1.4216042930829447,,,1,1.869878238358602e-07
