model,split,scope,style,variant,cell,kind,accuracy,ci_lo,ci_hi,n,n_bases,mean_margin_correct,margin_ci_lo,margin_ci_hi,says_inner_rate,argmax_is_a_choice,chance,above_chance,verbalised
deepseek-coder-6.7b,test,cell,binding,,ab_source,word,0.0,0.0,0.0,560,280,-0.7616743557155132,-0.7796078509198768,-0.7448210900928826,1.0,1.0,0.5,0,0
deepseek-coder-6.7b,test,cell,binding,,ab_target,word,1.0,1.0,1.0,560,280,1.8192211436373846,1.7996587495705378,1.8401841032485078,1.0,1.0,0.5,1,1
deepseek-coder-6.7b,test,cell,binding,,ba_source,word,0.0,0.0,0.0,560,280,-0.7650636986430203,-0.7835352638856109,-0.7475718157751752,1.0,1.0,0.5,0,0
deepseek-coder-6.7b,test,cell,binding,,ba_target,word,1.0,1.0,1.0,560,280,1.821260025884424,1.7988015760913758,1.8435421791812405,1.0,1.0,0.5,1,1
deepseek-coder-6.7b,test,cell,pyscope,,ab_source,word,0.8821428571428571,0.8571428571428571,0.9053571428571429,560,280,0.5146871279392924,0.4983747735725982,0.530738876520523,0.11785714285714285,1.0,0.5,1,1
deepseek-coder-6.7b,test,cell,pyscope,,ab_target,word,0.9267857142857143,0.9053571428571429,0.9482142857142857,560,280,0.6278175524302891,0.6100779178153192,0.6461750235302107,0.9267857142857143,1.0,0.5,1,1
deepseek-coder-6.7b,test,cell,pyscope,,ba_source,word,0.8732142857142857,0.8464285714285714,0.8982142857142857,560,280,0.5082618529243129,0.49087871349815815,0.5248447825599993,0.12678571428571428,1.0,0.5,1,1
deepseek-coder-6.7b,test,cell,pyscope,,ba_target,word,0.9196428571428571,0.8982142857142857,0.9410714285714286,560,280,0.6208272733858653,0.603434366759445,0.6379194204615695,0.9196428571428571,1.0,0.5,1,1
deepseek-coder-6.7b,test,cell,scope,,ab_source,word,0.9821428571428571,0.9714285714285714,0.9928571428571429,560,280,0.9890469329697745,0.9731733224966697,1.0050951323658228,0.017857142857142856,0.0,0.5,1,1
deepseek-coder-6.7b,test,cell,scope,,ab_target,word,0.5035714285714286,0.5,0.5089285714285714,560,280,0.11040790889944349,0.08718160489307983,0.13306224468563282,0.5035714285714286,0.0,0.5,0,0
deepseek-coder-6.7b,test,cell,scope,,ba_source,word,0.9785714285714285,0.9660714285714286,0.9892857142857143,560,280,0.9870202809572219,0.9706355674990585,1.0032661512174776,0.02142857142857143,0.0,0.5,1,1
deepseek-coder-6.7b,test,cell,scope,,ba_target,word,0.5,0.5,0.5,560,280,0.10510005908352989,0.0830033367978675,0.1255871936466013,0.5,0.0,0.5,0,0
deepseek-coder-6.7b,test,cell,shadow,,ab_source,word,0.5,0.5,0.5,560,280,-0.12371587242398943,-0.130336535833776,-0.11658093948981592,0.5,0.9732142857142857,0.5,0,0
deepseek-coder-6.7b,test,cell,shadow,,ab_target,word,0.5,0.5,0.5,560,280,0.3058766583246844,0.29810280647394916,0.31345304874171104,0.5,1.0,0.5,0,0
deepseek-coder-6.7b,test,cell,shadow,,ba_source,word,0.5,0.5,0.5,560,280,-0.1254712068608829,-0.1323371021236692,-0.11874540830829315,0.5,0.9803571428571428,0.5,0,0
deepseek-coder-6.7b,test,cell,shadow,,ba_target,word,0.5,0.5,0.5,560,280,0.30555458941629954,0.2980252823446478,0.31325643663959846,0.5,1.0,0.5,0,0
deepseek-coder-6.7b,test,cell,value,,ab_source,value,1.0,1.0,1.0,280,280,2.793381912839998,2.7086007126019935,2.8803908638123956,0.0,1.0,0.5,1,1
deepseek-coder-6.7b,test,cell,value,,ab_target,value,1.0,1.0,1.0,280,280,3.9628210739831307,3.9171337932840524,4.010657551301245,1.0,1.0,0.5,1,1
deepseek-coder-6.7b,test,cell,value,,ba_source,value,1.0,1.0,1.0,280,280,2.763763727221106,2.6811071901086585,2.8477164018037726,0.0,1.0,0.5,1,1
deepseek-coder-6.7b,test,cell,value,,ba_target,value,1.0,1.0,1.0,280,280,3.9563150105199645,3.9063536468267976,4.003400748552521,1.0,1.0,0.5,1,1
deepseek-coder-6.7b,test,style,binding,,,word,0.5,0.5,0.5,2240,280,0.5284357787908188,0.5197832574567292,0.5366979013142242,1.0,1.0,0.5,0,0
deepseek-coder-6.7b,test,style,pyscope,,,word,0.9004464285714285,0.8875,0.9133928571428571,2240,280,0.5678984516699399,0.5594644126322652,0.5765091808719028,0.5227678571428571,1.0,0.5,1,1
deepseek-coder-6.7b,test,style,scope,,,word,0.7410714285714286,0.7352678571428571,0.7459821428571428,2240,280,0.5478937954774925,0.5362453547931675,0.560191441395187,0.26071428571428573,0.0,0.5,1,1
deepseek-coder-6.7b,test,style,shadow,,,word,0.5,0.5,0.5,2240,280,0.0905610421140279,0.08846183684920626,0.09275720123600746,0.5,0.9883928571428572,0.5,0,0
