model,kind,family,pair_index,inner_word,outer_word,inner_id,outer_id,inner_variant,outer_variant,kept,reason
deepseek-coder-1.3b,pair,scope,0,local,global,2291,5160, local, global,1,
deepseek-coder-1.3b,pair,scope,1,inner,outer,9526,12915, inner, outer,1,
deepseek-coder-1.3b,pair,scope,2,inside,outside,4640,4871, inside, outside,1,
deepseek-coder-1.3b,pair,scope,3,nested,module,28919,6230, nested, module,1,
deepseek-coder-1.3b,pair,shadowing,4,hidden,visible,8633,9205, hidden, visible,1,
deepseek-coder-1.3b,pair,ordinal,5,second,first,1856,1019, second, first,1,
deepseek-coder-1.3b,pair,ordinal,6,later,earlier,3455,7239, later, earlier,1,
deepseek-coder-1.3b,pair,ordinal,7,new,original,756,3620, new, original,1,
deepseek-coder-1.3b,pair,action,8,replaced,kept,10900,5976, replaced, kept,1,
deepseek-coder-1.3b,pair,action,9,changed,unchanged,5452,31940, changed, unchanged,1,
deepseek-coder-1.3b,mechanism,mechanism,0,scope,,8232,-1, scope,,1,
deepseek-coder-1.3b,mechanism,mechanism,1,binding,,17292,-1, binding,,1,
deepseek-coder-1.3b,mechanism,mechanism,2,bound,,3068,-1, bound,,1,
deepseek-coder-1.3b,mechanism,mechanism,3,namespace,,13562,-1, namespace,,1,
deepseek-coder-1.3b,mechanism,mechanism,4,assignment,,17949,-1, assignment,,1,
deepseek-coder-1.3b,mechanism,mechanism,5,definition,,6525,-1, definition,,1,
deepseek-coder-1.3b,mechanism,mechanism,6,variable,,5578,-1, variable,,1,
deepseek-coder-1.3b,mechanism,mechanism,7,name,,1208,-1, name,,1,
deepseek-coder-1.3b,mechanism,mechanism,8,reference,,5467,-1, reference,,1,
deepseek-coder-1.3b,mechanism,mechanism,9,shadow,,13456,-1, shadow,,1,
deepseek-coder-1.3b,mechanism,mechanism,10,override,,12054,-1, override,,1,
deepseek-coder-1.3b,mechanism,mechanism,11,lookup,,27875,-1, lookup,,1,
deepseek-coder-1.3b,mechanism,mechanism,12,closure,,22667,-1, closure,,1,
deepseek-coder-1.3b,mechanism,mechanism,13,declared,,12507,-1, declared,,1,
deepseek-coder-1.3b,mechanism,mechanism,14,defined,,4212,-1, defined,,1,
deepseek-coder-1.3b,pair,shadowing,-1,masked,exposed,-1,-1,,,0,not one stable token: masked
