model,layer,target_mode,n_readings,median_rho,median_abs_rho_minus_one,max_abs_rho_minus_one,conserving
deepseek-coder-6.7b,0,inner,1600,1.000000119042157,1.4719890795156232e-07,5.820962596381207e-07,1
deepseek-coder-6.7b,0,margin,1600,1.0000002627663584,1.950638953363004e-06,0.0014871450574744927,1
deepseek-coder-6.7b,0,outer,1600,1.0000001185599476,1.427993144842432e-07,6.296335233191286e-07,1
deepseek-coder-6.7b,3,inner,1600,1.00000003091749,7.600672291552257e-08,3.6242548917542194e-07,1
deepseek-coder-6.7b,3,margin,1600,1.0000001443275948,1.3510792087334522e-06,0.0003209437685640637,1
deepseek-coder-6.7b,3,outer,1600,1.0000000388635375,8.007158747158627e-08,3.570025566279611e-07,1
deepseek-coder-6.7b,7,inner,1600,1.0000000430305602,7.744460228664707e-08,4.0620773611443894e-07,1
deepseek-coder-6.7b,7,margin,1600,1.0000001915811998,1.2015874992221676e-06,0.00040644333521377973,1
deepseek-coder-6.7b,7,outer,1600,1.000000050733812,7.81467719979112e-08,3.2752909961963894e-07,1
deepseek-coder-6.7b,11,inner,1600,1.000000065035279,7.858438444419136e-08,3.6356944344007047e-07,1
deepseek-coder-6.7b,11,margin,1600,1.0000000801907118,1.1136104299258598e-06,0.0003090434007262388,1
deepseek-coder-6.7b,11,outer,1600,1.0000000684294983,8.537448337175846e-08,3.215394817068784e-07,1
deepseek-coder-6.7b,15,inner,1600,1.0000000649376162,8.033602472146129e-08,3.881387602433506e-07,1
deepseek-coder-6.7b,15,margin,1600,1.0000000698671903,1.0267171780542483e-06,0.00034932156901357203,1
deepseek-coder-6.7b,15,outer,1600,1.0000000686157255,8.116831345938991e-08,3.5047125290788017e-07,1
deepseek-coder-6.7b,19,inner,1600,1.00000006816995,7.932883239192279e-08,3.4510418545075083e-07,1
deepseek-coder-6.7b,19,margin,1600,1.0000001246915018,1.0114746303857558e-06,0.0003727561399955448,1
deepseek-coder-6.7b,19,outer,1600,1.0000000694055284,7.694694037496674e-08,3.3471370453064253e-07,1
deepseek-coder-6.7b,23,inner,1600,1.0000000503526822,6.592062096189011e-08,3.3910417274185534e-07,1
deepseek-coder-6.7b,23,margin,1600,1.0000001541651558,1.0382357009119936e-06,0.00037430578538533155,1
deepseek-coder-6.7b,23,outer,1600,1.000000054296546,6.688353448858209e-08,3.539501243210452e-07,1
deepseek-coder-6.7b,27,inner,1600,1.000000049317996,6.470275859538077e-08,3.021730594632288e-07,1
deepseek-coder-6.7b,27,margin,1600,1.0000001523986923,9.520282312491801e-07,0.00019113821713290235,1
deepseek-coder-6.7b,27,outer,1600,1.0000000526923984,6.548459718924704e-08,2.9917212907015767e-07,1
