model,layer,target_mode,sign_matters,n_readings,n_positive,n_nonpositive,positive_rate,median_score,min_score,threshold,usable
deepseek-coder-1.3b,0,inner,1,800,0,800,0.0,-125.9616584777832,-166.30142211914062,0.95,0
deepseek-coder-1.3b,0,margin,0,800,26,774,0.0325,-1.4740943908691406,-3.863311767578125,,1
deepseek-coder-1.3b,0,outer,1,800,0,800,0.0,-124.54226684570312,-166.160888671875,0.95,0
deepseek-coder-1.3b,3,inner,1,800,0,800,0.0,-125.9616584777832,-166.30142211914062,0.95,0
deepseek-coder-1.3b,3,margin,0,800,26,774,0.0325,-1.4740943908691406,-3.863311767578125,,1
deepseek-coder-1.3b,3,outer,1,800,0,800,0.0,-124.54226684570312,-166.160888671875,0.95,0
deepseek-coder-1.3b,7,inner,1,800,0,800,0.0,-125.9616584777832,-166.30142211914062,0.95,0
deepseek-coder-1.3b,7,margin,0,800,26,774,0.0325,-1.4740943908691406,-3.863311767578125,,1
deepseek-coder-1.3b,7,outer,1,800,0,800,0.0,-124.54226684570312,-166.160888671875,0.95,0
deepseek-coder-1.3b,11,inner,1,800,0,800,0.0,-125.9616584777832,-166.30142211914062,0.95,0
deepseek-coder-1.3b,11,margin,0,800,26,774,0.0325,-1.4740943908691406,-3.863311767578125,,1
deepseek-coder-1.3b,11,outer,1,800,0,800,0.0,-124.54226684570312,-166.160888671875,0.95,0
deepseek-coder-1.3b,15,inner,1,800,0,800,0.0,-125.9616584777832,-166.30142211914062,0.95,0
deepseek-coder-1.3b,15,margin,0,800,26,774,0.0325,-1.4740943908691406,-3.863311767578125,,1
deepseek-coder-1.3b,15,outer,1,800,0,800,0.0,-124.54226684570312,-166.160888671875,0.95,0
deepseek-coder-1.3b,19,inner,1,800,0,800,0.0,-125.9616584777832,-166.30142211914062,0.95,0
deepseek-coder-1.3b,19,margin,0,800,26,774,0.0325,-1.4740943908691406,-3.863311767578125,,1
deepseek-coder-1.3b,19,outer,1,800,0,800,0.0,-124.54226684570312,-166.160888671875,0.95,0
