layer,position,recovery
-1,last_token,0.0
-1,sanitizer_def,0.0
-1,sink_arg,0.0
0,last_token,-0.006865040264489508
0,sanitizer_def,0.0
0,sink_arg,0.9853075607428676
3,last_token,0.014166642189009185
3,sanitizer_def,0.0
3,sink_arg,0.911716325975741
7,last_token,0.07433531682454063
7,sanitizer_def,0.0
7,sink_arg,0.7081946055891412
11,last_token,0.14534724346801375
11,sanitizer_def,0.0
11,sink_arg,0.500109255650867
15,last_token,0.3082540540318025
15,sanitizer_def,0.0
15,sink_arg,0.23526792392661142
19,last_token,0.6501090453389475
19,sanitizer_def,0.0
19,sink_arg,0.037817472105834686
23,last_token,0.7593650436022761
23,sanitizer_def,0.0
23,sink_arg,0.04940473544036188
27,last_token,0.7857837653917146
27,sanitizer_def,0.0
27,sink_arg,0.044999992741444436
31,last_token,1.0
31,sanitizer_def,0.0
31,sink_arg,0.0
