example_id,layer,lens,comparison,stratum,positive_name,negative_name,distance_gap,margin,correct,negative_after
synthetic_control_167154,-1,clens,control_dep,indent_matched,o,k,-15,0.0948842763900756,True,True
synthetic_control_167154,-1,logit,control_dep,indent_matched,o,k,-15,0.2687931656837463,True,True
synthetic_control_167154,-1,random,control_dep,indent_matched,o,k,-15,-1.2340121269226074,False,True
synthetic_control_167154,-1,clens,guard_var,present_in_program,n,o,0,-0.1128624677658081,False,True
synthetic_control_167154,-1,logit,guard_var,present_in_program,n,o,0,0.3363445997238159,True,True
synthetic_control_167154,-1,random,guard_var,present_in_program,n,o,0,1.3939143419265747,True,True
synthetic_control_167154,-1,clens,next_ident,present_in_program,o,f,0,0.1117140054702758,True,False
synthetic_control_167154,-1,logit,next_ident,present_in_program,o,f,0,0.1577642560005188,True,False
synthetic_control_167154,-1,random,next_ident,present_in_program,o,f,0,-1.503085374832153,False,False
synthetic_control_167154,-1,clens,control_dep,indent_matched,k,o,1,-0.0948842763900756,False,False
synthetic_control_167154,-1,logit,control_dep,indent_matched,k,o,1,-0.2687931656837463,False,False
synthetic_control_167154,-1,random,control_dep,indent_matched,k,o,1,1.2340121269226074,True,False
synthetic_control_167154,-1,clens,guard_var,present_in_program,f,n,0,0.0011484622955322,True,True
synthetic_control_167154,-1,logit,guard_var,present_in_program,f,n,0,-0.4941088557243347,False,True
synthetic_control_167154,-1,random,guard_var,present_in_program,f,n,0,0.1091710329055786,True,True
synthetic_control_167154,-1,clens,next_ident,present_in_program,k,o,0,-0.0948842763900756,False,False
synthetic_control_167154,-1,logit,next_ident,present_in_program,k,o,0,-0.2687931656837463,False,False
synthetic_control_167154,-1,random,next_ident,present_in_program,k,o,0,1.2340121269226074,True,False
synthetic_control_367930,-1,clens,control_dep,indent_matched,v,c,-72,0.0825377702713012,True,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,v,c,-72,0.656923770904541,True,True
synthetic_control_367930,-1,random,control_dep,indent_matched,v,c,-72,2.8149614334106445,True,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,v,u,-65,0.0671099424362182,True,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,v,u,-65,-0.4943427741527557,False,True
synthetic_control_367930,-1,random,control_dep,indent_matched,v,u,-65,1.38434100151062,True,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,v,y,-58,0.072456955909729,True,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,v,y,-58,-0.0459274351596832,False,True
synthetic_control_367930,-1,random,control_dep,indent_matched,v,y,-58,0.8888179063796997,True,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,v,w,-36,0.019322395324707,True,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,v,w,-36,0.0107400715351104,True,True
synthetic_control_367930,-1,random,control_dep,indent_matched,v,w,-36,0.7936151027679443,True,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,o,w,-29,0.1208769083023071,True,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,o,w,-29,-0.0217452049255371,False,True
synthetic_control_367930,-1,random,control_dep,indent_matched,o,w,-29,-1.4210948944091797,False,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,o,c,-65,0.1840922832489013,True,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,o,c,-65,0.6244385242462158,True,True
synthetic_control_367930,-1,random,control_dep,indent_matched,o,c,-65,0.6002512574195862,True,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,o,y,-51,0.1740114688873291,True,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,o,y,-51,-0.0784127116203308,False,True
synthetic_control_367930,-1,random,control_dep,indent_matched,o,y,-51,-1.325892210006714,False,True
synthetic_control_367930,-1,clens,control_dep,indent_matched,o,n,-22,0.1128624677658081,True,True
synthetic_control_367930,-1,logit,control_dep,indent_matched,o,n,-22,-0.3363445997238159,False,True
