layer,lens,comparison,stratum,accuracy,mean_margin,n
-1,clens,control_dep,all,0.5027262813522355,0.004028751779928593,917
-1,clens,control_dep,indent_matched,0.4962871287128713,0.00038689714257079884,808
-1,clens,control_dep,non_dependent,0.5504587155963303,0.031025252210984535,109
-1,clens,control_dep,temporally_matched,0.4795180722891566,-0.00020128517265779173,415
-1,clens,guard_var,all,0.5066666666666667,0.00540303111076355,150
-1,clens,guard_var,present_in_program,0.5066666666666667,0.00540303111076355,150
-1,clens,guard_var,temporally_matched,0.5103448275862069,0.008347052541272396,145
-1,clens,next_ident,all,0.5466666666666666,0.032719724973042805,150
-1,clens,next_ident,present_in_program,0.5466666666666666,0.032719724973042805,150
-1,clens,next_ident,temporally_matched,0.45714285714285713,-0.03258087805339268,35
-1,logit,control_dep,all,0.5212649945474372,0.024601339619513295,917
-1,logit,control_dep,indent_matched,0.4962871287128713,-0.002220788131477219,808
-1,logit,control_dep,non_dependent,0.7064220183486238,0.2234295893699751,109
-1,logit,control_dep,temporally_matched,0.4987951807228916,0.014169154379023129,415
-1,logit,guard_var,all,0.5,-0.049070304508010545,150
-1,logit,guard_var,present_in_program,0.5,-0.049070304508010545,150
-1,logit,guard_var,temporally_matched,0.5172413793103449,-0.034822324509250706,145
-1,logit,next_ident,all,0.48,-0.03875058352947235,150
-1,logit,next_ident,present_in_program,0.48,-0.03875058352947235,150
-1,logit,next_ident,temporally_matched,0.4857142857142857,-0.023743615299463266,35
-1,random,control_dep,all,0.4787350054525627,-0.02719278371971072,917
-1,random,control_dep,indent_matched,0.49504950495049505,-0.003754536685819672,808
-1,random,control_dep,non_dependent,0.3577981651376147,-0.20093685347552692,109
-1,random,control_dep,temporally_matched,0.4843373493975904,-0.04513674733868565,415
-1,random,guard_var,all,0.42,-0.026241256793340047,150
-1,random,guard_var,present_in_program,0.42,-0.026241256793340047,150
-1,random,guard_var,temporally_matched,0.41379310344827586,-0.03492839911888385,145
-1,random,next_ident,all,0.44666666666666666,-0.04053784827391306,150
-1,random,next_ident,present_in_program,0.44666666666666666,-0.04053784827391306,150
-1,random,next_ident,temporally_matched,0.5714285714285714,0.03628192969730922,35
0,clens,control_dep,all,0.5223555070883316,0.0096388796878615,917
0,clens,control_dep,indent_matched,0.5086633663366337,0.001752433911113454,808
0,clens,control_dep,non_dependent,0.6238532110091743,0.06809987223476444,109
0,clens,control_dep,temporally_matched,0.5349397590361445,0.0232045063053269,415
0,clens,guard_var,all,0.4,-0.04133270462354024,150
0,clens,guard_var,present_in_program,0.4,-0.04133270462354024,150
0,clens,guard_var,temporally_matched,0.41379310344827586,-0.03196993819598493,145
0,clens,next_ident,all,0.5733333333333334,0.03004064242045084,150
0,clens,next_ident,present_in_program,0.5733333333333334,0.03004064242045084,150
0,clens,next_ident,temporally_matched,0.6,0.049481748683112003,35
0,logit,control_dep,all,0.5125408942202835,0.02774488519686259,917
0,logit,control_dep,indent_matched,0.4938118811881188,-0.0020343673664449447,808
0,logit,control_dep,non_dependent,0.6513761467889908,0.24849383997807808,109
0,logit,control_dep,temporally_matched,0.4843373493975904,0.009675020598862548,415
0,logit,guard_var,all,0.52,-0.030738582511742916,150
0,logit,guard_var,present_in_program,0.52,-0.030738582511742916,150
0,logit,guard_var,temporally_matched,0.5379310344827586,-0.011360542013727392,145
0,logit,next_ident,all,0.44,-0.06888546245793503,150
0,logit,next_ident,present_in_program,0.44,-0.06888546245793503,150
0,logit,next_ident,temporally_matched,0.4857142857142857,-0.056377030376877114,35
0,random,control_dep,all,0.47001090512540894,-0.03991453691650763,917
0,random,control_dep,indent_matched,0.49504950495049505,0.002356166785380038,808
0,random,control_dep,non_dependent,0.28440366972477066,-0.3532606707800419,109
0,random,control_dep,temporally_matched,0.4891566265060241,-0.018392383370054773,415
0,random,guard_var,all,0.54,0.08487339317798615,150
0,random,guard_var,present_in_program,0.54,0.08487339317798615,150
0,random,guard_var,temporally_matched,0.5241379310344828,0.050513640148886325,145
0,random,next_ident,all,0.42,-0.1339972168703874,150
0,random,next_ident,present_in_program,0.42,-0.1339972168703874,150
0,random,next_ident,temporally_matched,0.42857142857142855,-0.14141299000808172,35
3,clens,control_dep,all,0.5136314067611778,0.0033327192230598983,917
3,clens,control_dep,indent_matched,0.5111386138613861,0.0008412907176678703,808
3,clens,control_dep,non_dependent,0.5321100917431193,0.02180129016211273,109
3,clens,control_dep,temporally_matched,0.4843373493975904,-0.03115246037402785,415
3,clens,guard_var,all,0.5866666666666667,0.10820834875106812,150
3,clens,guard_var,present_in_program,0.5866666666666667,0.10820834875106812,150
3,clens,guard_var,temporally_matched,0.5724137931034483,0.09659674414272966,145
3,clens,next_ident,all,0.5133333333333333,0.002717267672220869,150
3,clens,next_ident,present_in_program,0.5133333333333333,0.002717267672220869,150
3,clens,next_ident,temporally_matched,0.5142857142857142,-0.08870176417487008,35
3,logit,control_dep,all,0.5103598691384951,0.027905144894266078,917
3,logit,control_dep,indent_matched,0.4900990099009901,-0.010883638137342905,808
3,logit,control_dep,non_dependent,0.6605504587155964,0.3154403438808721,109
3,logit,control_dep,temporally_matched,0.46265060240963857,-0.03783688965332078,415
3,logit,guard_var,all,0.5133333333333333,0.026458809872468306,150
3,logit,guard_var,present_in_program,0.5133333333333333,0.026458809872468306,150
3,logit,guard_var,temporally_matched,0.5310344827586206,0.03769753626708326,145
3,logit,next_ident,all,0.4866666666666667,-0.11215323348840078,150
3,logit,next_ident,present_in_program,0.4866666666666667,-0.11215323348840078,150
3,logit,next_ident,temporally_matched,0.42857142857142855,-0.06612658926418849,35
3,random,control_dep,all,0.4841875681570338,-0.09961361743127897,917
3,random,control_dep,indent_matched,0.5074257425742574,0.00022078179616002013,808
3,random,control_dep,non_dependent,0.3119266055045872,-0.8396704484016524,109
3,random,control_dep,temporally_matched,0.5373493975903615,0.10926429907600564,415
3,random,guard_var,all,0.56,0.2491118625799815,150
3,random,guard_var,present_in_program,0.56,0.2491118625799815,150
3,random,guard_var,temporally_matched,0.5448275862068965,0.14998216834561579,145
3,random,next_ident,all,0.43333333333333335,-0.2607348703344663,150
3,random,next_ident,present_in_program,0.43333333333333335,-0.2607348703344663,150
3,random,next_ident,temporally_matched,0.4,-0.29606175082070485,35
7,clens,control_dep,all,0.5059978189749182,0.013406374884795727,917
7,clens,control_dep,indent_matched,0.5,0.008364200776461328,808
7,clens,control_dep,non_dependent,0.5504587155963303,0.05078322515575164,109
7,clens,control_dep,temporally_matched,0.472289156626506,-0.013751955563763537,415
7,clens,guard_var,all,0.6,0.07587375998497008,150
7,clens,guard_var,present_in_program,0.6,0.07587375998497008,150
7,clens,guard_var,temporally_matched,0.5862068965517241,0.0707741823689691,145
7,clens,next_ident,all,0.4866666666666667,-0.0076182762781778915,150
7,clens,next_ident,present_in_program,0.4866666666666667,-0.0076182762781778915,150
7,clens,next_ident,temporally_matched,0.4,-0.04156642641339982,35
7,logit,control_dep,all,0.5103598691384951,0.00013800158755470268,917
7,logit,control_dep,indent_matched,0.49133663366336633,-0.057050112524245036,808
7,logit,control_dep,non_dependent,0.6513761467889908,0.42406457225117117,109
7,logit,control_dep,temporally_matched,0.4867469879518072,-0.06033962200205009,415
7,logit,guard_var,all,0.4866666666666667,0.01299402246872584,150
7,logit,guard_var,present_in_program,0.4866666666666667,0.01299402246872584,150
7,logit,guard_var,temporally_matched,0.503448275862069,0.04124778190563465,145
7,logit,next_ident,all,0.5066666666666667,-0.09146768609682716,150
7,logit,next_ident,present_in_program,0.5066666666666667,-0.09146768609682716,150
7,logit,next_ident,temporally_matched,0.5714285714285714,0.09306424047265736,35
7,random,control_dep,all,0.4798255179934569,-0.06727348172157645,917
7,random,control_dep,indent_matched,0.5037128712871287,-0.010233256135984227,808
7,random,control_dep,non_dependent,0.30275229357798167,-0.4901037778055996,109
7,random,control_dep,temporally_matched,0.5228915662650603,0.07282832020736602,415
7,random,guard_var,all,0.5133333333333333,0.04708581328392028,150
7,random,guard_var,present_in_program,0.5133333333333333,0.04708581328392028,150
7,random,guard_var,temporally_matched,0.496551724137931,0.009522995866578201,145
7,random,next_ident,all,0.48,-0.03326049039761225,150
7,random,next_ident,present_in_program,0.48,-0.03326049039761225,150
7,random,next_ident,temporally_matched,0.5428571428571428,0.18181496177400863,35
11,clens,control_dep,all,0.5005452562704471,-0.005157361763774244,917
11,clens,control_dep,indent_matched,0.5037128712871287,0.006328192825364593,808
11,clens,control_dep,non_dependent,0.47706422018348627,-0.09029798660803279,109
11,clens,control_dep,temporally_matched,0.44819277108433736,-0.027650497045861665,415
11,clens,guard_var,all,0.48,-0.031289209922154754,150
11,clens,guard_var,present_in_program,0.48,-0.031289209922154754,150
11,clens,guard_var,temporally_matched,0.4896551724137931,-0.02398918373831388,145
11,clens,next_ident,all,0.5466666666666666,0.03992718418439229,150
11,clens,next_ident,present_in_program,0.5466666666666666,0.03992718418439229,150
11,clens,next_ident,temporally_matched,0.4857142857142857,0.011358891214643204,35
11,logit,control_dep,all,0.4983642311886587,0.1046247071502253,917
11,logit,control_dep,indent_matched,0.48267326732673266,0.04852390215538517,808
11,logit,control_dep,non_dependent,0.6146788990825688,0.5204912249101411,109
11,logit,control_dep,temporally_matched,0.5012048192771085,-0.009078187540353054,415
11,logit,guard_var,all,0.52,0.07774816433588662,150
11,logit,guard_var,present_in_program,0.52,0.07774816433588662,150
11,logit,guard_var,temporally_matched,0.5379310344827586,0.1654757310604227,145
11,logit,next_ident,all,0.46,-0.11313386340936026,150
11,logit,next_ident,present_in_program,0.46,-0.11313386340936026,150
11,logit,next_ident,temporally_matched,0.5142857142857142,0.13444554465157646,35
11,random,control_dep,all,0.48636859323882226,-0.047879432416404216,917
11,random,control_dep,indent_matched,0.5037128712871287,-0.004486642445963211,808
11,random,control_dep,non_dependent,0.3577981651376147,-0.36954341678444397,109
11,random,control_dep,temporally_matched,0.491566265060241,-0.03218827075268849,415
11,random,guard_var,all,0.4866666666666667,-0.07582201083501182,150
11,random,guard_var,present_in_program,0.4866666666666667,-0.07582201083501182,150
11,random,guard_var,temporally_matched,0.47586206896551725,-0.10137104905884844,145
11,random,next_ident,all,0.5133333333333333,0.08674701154232026,150
11,random,next_ident,present_in_program,0.5133333333333333,0.08674701154232026,150
11,random,next_ident,temporally_matched,0.5142857142857142,0.07761798501014705,35
15,clens,control_dep,all,0.504907306434024,0.006456194748145286,917
15,clens,control_dep,indent_matched,0.5099009900990099,0.014532394117057916,808
15,clens,control_dep,non_dependent,0.46788990825688076,-0.05341141158287678,109
15,clens,control_dep,temporally_matched,0.472289156626506,-0.03590118899402848,415
15,clens,guard_var,all,0.6133333333333333,0.09865205804506938,150
15,clens,guard_var,present_in_program,0.6133333333333333,0.09865205804506938,150
15,clens,guard_var,temporally_matched,0.6068965517241379,0.09778579062428967,145
15,clens,next_ident,all,0.48,0.00791358351707459,150
15,clens,next_ident,present_in_program,0.48,0.00791358351707459,150
15,clens,next_ident,temporally_matched,0.5142857142857142,0.04815581696374077,35
15,logit,control_dep,all,0.49291166848418755,-0.0190891142987373,917
15,logit,control_dep,indent_matched,0.48267326732673266,-0.11650767979571724,808
15,logit,control_dep,non_dependent,0.5688073394495413,0.7030595180091508,109
15,logit,control_dep,temporally_matched,0.43614457831325304,-0.4814466170158731,415
15,logit,guard_var,all,0.5733333333333334,0.913958625793457,150
15,logit,guard_var,present_in_program,0.5733333333333334,0.913958625793457,150
15,logit,guard_var,temporally_matched,0.593103448275862,1.0423900554920065,145
15,logit,next_ident,all,0.4866666666666667,-0.43669678529103595,150
15,logit,next_ident,present_in_program,0.4866666666666667,-0.43669678529103595,150
15,logit,next_ident,temporally_matched,0.5714285714285714,0.29139595883233205,35
15,random,control_dep,all,0.4787350054525627,-0.040539621136830704,917
15,random,control_dep,indent_matched,0.48886138613861385,-0.031837946523239125,808
