layer,readout,n_test,n_model_wrong,latent_first,early_warning_rate,readout_never_wrong,n_both_fail,mean_lead
-1,clens,70,19,17,0.8947368421052632,0,19,0.8947368421052632
-1,logit,70,19,17,0.8947368421052632,0,19,0.8947368421052632
-1,probe,70,19,17,0.8947368421052632,0,19,0.8947368421052632
-1,random,70,19,17,0.8947368421052632,0,19,0.8947368421052632
0,clens,70,19,19,1.0,0,19,4.368421052631579
0,logit,70,19,17,0.8947368421052632,1,18,1.9444444444444444
0,probe,70,19,0,0.0,19,0,
0,random,70,19,4,0.21052631578947367,15,4,2.0
3,clens,70,19,19,1.0,0,19,3.3684210526315788
3,logit,70,19,17,0.8947368421052632,0,19,0.8947368421052632
3,probe,70,19,16,0.8421052631578947,3,16,3.6875
3,random,70,19,19,1.0,0,19,1.9473684210526316
7,clens,70,19,11,0.5789473684210527,0,19,0.5789473684210527
7,logit,70,19,17,0.8947368421052632,0,19,0.8947368421052632
7,probe,70,19,0,0.0,19,0,
7,random,70,19,17,0.8947368421052632,0,19,0.8947368421052632
11,clens,70,19,12,0.631578947368421,0,19,0.8947368421052632
11,logit,70,19,19,1.0,0,19,5.052631578947368
11,probe,70,19,2,0.10526315789473684,17,2,1.0
11,random,70,19,19,1.0,0,19,4.2105263157894735
15,clens,70,19,2,0.10526315789473684,11,8,0.5
15,logit,70,19,5,0.2631578947368421,13,6,4.833333333333333
15,probe,70,19,4,0.21052631578947367,13,6,0.6666666666666666
15,random,70,19,19,1.0,0,19,4.842105263157895
19,clens,70,19,0,0.0,19,0,
19,logit,70,19,5,0.2631578947368421,7,12,1.9166666666666667
19,probe,70,19,0,0.0,19,0,
19,random,70,19,19,1.0,0,19,4.421052631578948
23,clens,70,19,0,0.0,19,0,
23,logit,70,19,5,0.2631578947368421,7,12,1.9166666666666667
23,probe,70,19,0,0.0,19,0,
23,random,70,19,10,0.5263157894736842,6,13,1.6923076923076923
27,clens,70,19,0,0.0,19,0,
27,logit,70,19,0,0.0,18,1,0.0
27,probe,70,19,0,0.0,19,0,
27,random,70,19,8,0.42105263157894735,7,12,2.1666666666666665
31,clens,70,19,0,0.0,19,0,
31,logit,70,19,0,0.0,19,0,
31,probe,70,19,15,0.7894736842105263,4,15,4.933333333333334
31,random,70,19,5,0.2631578947368421,5,14,1.3571428571428572
