layer,arm,example,rho,abs_error
-1,all,0,1.0001955032348633,0.00019550323486328125
-1,all,1,1.0003511905670166,0.00035119056701660156
-1,all,2,1.0003141164779663,0.0003141164779663086
-1,all,3,1.000759482383728,0.0007594823837280273
-1,all,4,1.0001213550567627,0.00012135505676269531
-1,all,5,1.000548243522644,0.000548243522644043
-1,all,6,1.0000358819961548,3.5881996154785156e-05
-1,all,7,1.0005722045898438,0.00057220458984375
-1,all,8,0.999862551689148,0.00013744831085205078
-1,all,9,1.0003355741500854,0.0003355741500854492
-1,no_attn,0,1.6173642873764038,0.6173642873764038
-1,no_attn,1,2.3010828495025635,1.3010828495025635
-1,no_attn,2,2.801851749420166,1.801851749420166
-1,no_attn,3,2.5776612758636475,1.5776612758636475
-1,no_attn,4,2.8966259956359863,1.8966259956359863
-1,no_attn,5,2.526902437210083,1.526902437210083
-1,no_attn,6,3.196134567260742,2.196134567260742
-1,no_attn,7,2.398582696914673,1.3985826969146729
-1,no_attn,8,2.2767372131347656,1.2767372131347656
-1,no_attn,9,1.6345988512039185,0.6345988512039185
-1,no_ln,0,0.011560868471860886,0.9884391315281391
-1,no_ln,1,0.013598501682281494,0.9864014983177185
-1,no_ln,2,0.0072036441415548325,0.9927963558584452
-1,no_ln,3,0.009809457696974277,0.9901905423030257
-1,no_ln,4,0.008920088410377502,0.9910799115896225
-1,no_ln,5,0.009165049530565739,0.9908349504694343
-1,no_ln,6,-0.005346274469047785,1.0053462744690478
-1,no_ln,7,0.005768129136413336,0.9942318708635867
-1,no_ln,8,0.010918529704213142,0.9890814702957869
-1,no_ln,9,0.0052873813547194,0.9947126186452806
-1,no_identity,0,0.7135382890701294,0.2864617109298706
-1,no_identity,1,0.5652137994766235,0.43478620052337646
-1,no_identity,2,0.5385355949401855,0.46146440505981445
-1,no_identity,3,0.5217724442481995,0.47822755575180054
-1,no_identity,4,0.5503273606300354,0.4496726393699646
-1,no_identity,5,0.536711573600769,0.46328842639923096
-1,no_identity,6,0.5530261397361755,0.44697386026382446
-1,no_identity,7,0.5521736145019531,0.4478263854980469
-1,no_identity,8,0.5235357284545898,0.47646427154541016
-1,no_identity,9,0.5068761110305786,0.4931238889694214
-1,no_half,0,47.28398895263672,46.28398895263672
-1,no_half,1,35.273834228515625,34.273834228515625
-1,no_half,2,34.77735137939453,33.77735137939453
-1,no_half,3,31.691890716552734,30.691890716552734
-1,no_half,4,35.30487823486328,34.30487823486328
-1,no_half,5,28.999868392944336,27.999868392944336
-1,no_half,6,25.204166412353516,24.204166412353516
-1,no_half,7,27.04694938659668,26.04694938659668
-1,no_half,8,23.24164390563965,22.24164390563965
-1,no_half,9,24.840545654296875,23.840545654296875
-1,none,0,-0.011654297821223736,1.0116542978212237
-1,none,1,-0.03294644504785538,1.0329464450478554
-1,none,2,0.024359893053770065,0.9756401069462299
-1,none,3,0.10694719105958939,0.8930528089404106
-1,none,4,0.059319693595170975,0.940680306404829
-1,none,5,0.1224096417427063,0.8775903582572937
-1,none,6,0.06614741683006287,0.9338525831699371
-1,none,7,-0.038630712777376175,1.0386307127773762
-1,none,8,0.04256158322095871,0.9574384167790413
-1,none,9,0.021842606365680695,0.9781573936343193
0,all,0,1.0003376007080078,0.0003376007080078125
0,all,1,1.0004104375839233,0.00041043758392333984
0,all,2,1.0003950595855713,0.00039505958557128906
0,all,3,1.000815749168396,0.0008157491683959961
0,all,4,1.0001287460327148,0.00012874603271484375
0,all,5,1.0006577968597412,0.0006577968597412109
0,all,6,1.0002436637878418,0.00024366378784179688
0,all,7,1.000765323638916,0.0007653236389160156
0,all,8,1.0000672340393066,6.723403930664062e-05
0,all,9,1.0002890825271606,0.00028908252716064453
0,no_attn,0,1.4649990797042847,0.46499907970428467
0,no_attn,1,2.10908579826355,1.1090857982635498
0,no_attn,2,2.6023833751678467,1.6023833751678467
0,no_attn,3,2.394284248352051,1.3942842483520508
0,no_attn,4,2.683300256729126,1.683300256729126
0,no_attn,5,2.338942766189575,1.3389427661895752
0,no_attn,6,2.9417333602905273,1.9417333602905273
0,no_attn,7,2.1993727684020996,1.1993727684020996
0,no_attn,8,2.1083128452301025,1.1083128452301025
0,no_attn,9,1.4803844690322876,0.4803844690322876
0,no_ln,0,-0.012170307338237762,1.0121703073382378
0,no_ln,1,-0.0005229103844612837,1.0005229103844613
0,no_ln,2,-0.0013471761485561728,1.0013471761485562
0,no_ln,3,0.0020644867327064276,0.9979355132672936
0,no_ln,4,0.0009363677236251533,0.9990636322763748
0,no_ln,5,0.006332834716886282,0.9936671652831137
0,no_ln,6,0.007746261544525623,0.9922537384554744
0,no_ln,7,0.006218675058335066,0.9937813249416649
0,no_ln,8,0.015152380801737309,0.9848476191982627
0,no_ln,9,0.0045171864330768585,0.9954828135669231
0,no_identity,0,0.716720461845398,0.28327953815460205
0,no_identity,1,0.5710991024971008,0.42890089750289917
0,no_identity,2,0.5459126830101013,0.4540873169898987
0,no_identity,3,0.5315592288970947,0.4684407711029053
0,no_identity,4,0.5584930181503296,0.4415069818496704
0,no_identity,5,0.547433078289032,0.452566921710968
0,no_identity,6,0.5597506165504456,0.44024938344955444
0,no_identity,7,0.5596559643745422,0.44034403562545776
0,no_identity,8,0.5315207242965698,0.4684792757034302
0,no_identity,9,0.5142520666122437,0.48574793338775635
0,no_half,0,27.791412353515625,26.791412353515625
0,no_half,1,22.066221237182617,21.066221237182617
0,no_half,2,21.904815673828125,20.904815673828125
0,no_half,3,20.102922439575195,19.102922439575195
0,no_half,4,22.254722595214844,21.254722595214844
0,no_half,5,18.422183990478516,17.422183990478516
0,no_half,6,16.40044593811035,15.400445938110352
0,no_half,7,17.249771118164062,16.249771118164062
0,no_half,8,15.175785064697266,14.175785064697266
0,no_half,9,16.21565818786621,15.215658187866211
0,none,0,0.010570233687758446,0.9894297663122416
0,none,1,0.08010698854923248,0.9198930114507675
0,none,2,0.030189335346221924,0.9698106646537781
0,none,3,0.16277897357940674,0.8372210264205933
0,none,4,0.04289734363555908,0.9571026563644409
0,none,5,0.20761503279209137,0.7923849672079086
0,none,6,0.08496097475290298,0.915039025247097
0,none,7,-0.05171803757548332,1.0517180375754833
0,none,8,0.036021888256073,0.963978111743927
0,none,9,0.04733552411198616,0.9526644758880138
3,all,0,1.0001252889633179,0.0001252889633178711
3,all,1,0.9999416470527649,5.835294723510742e-05
3,all,2,1.0003020763397217,0.0003020763397216797
3,all,3,1.0005929470062256,0.0005929470062255859
3,all,4,0.9998841285705566,0.00011587142944335938
3,all,5,1.000376582145691,0.00037658214569091797
3,all,6,0.999959409236908,4.0590763092041016e-05
3,all,7,1.000469446182251,0.00046944618225097656
3,all,8,1.000140905380249,0.00014090538024902344
3,all,9,1.0000238418579102,2.384185791015625e-05
