task,layer,filler_type,filler_target,stratum,filler_tokens_mean,accuracy,n
binding,-1,comment_prose,0,all_pairs,0.0,0.7508878741755454,1971
binding,-1,comment_prose,0,diff_name,0.0,1.0,903
binding,-1,comment_prose,0,distance_matched,0.0,0.8553054662379421,311
binding,-1,comment_prose,0,positive,0.0,1.0,271
binding,-1,comment_prose,0,same_name_diff_binding,0.0,0.0,446
binding,-1,comment_prose,0,tracked_edge,0.0,1.0,40
binding,-1,comment_prose,50,all_pairs,57.0,0.7548223350253808,1970
binding,-1,comment_prose,50,diff_name,57.0,1.0,903
binding,-1,comment_prose,50,distance_matched,57.0,0.8806451612903226,310
binding,-1,comment_prose,50,positive,57.0,1.0,271
binding,-1,comment_prose,50,same_name_diff_binding,57.0,0.0,446
binding,-1,comment_prose,50,tracked_edge,57.0,1.0,40
binding,-1,comment_prose,100,all_pairs,115.0,0.7584982242516489,1971
binding,-1,comment_prose,100,diff_name,115.0,1.0,903
binding,-1,comment_prose,100,distance_matched,115.0,0.9035369774919614,311
binding,-1,comment_prose,100,positive,115.0,1.0,271
binding,-1,comment_prose,100,same_name_diff_binding,115.0,0.0,446
binding,-1,comment_prose,100,tracked_edge,115.0,1.0,40
binding,-1,comment_prose,200,all_pairs,202.0,0.756468797564688,1971
binding,-1,comment_prose,200,diff_name,202.0,1.0,903
binding,-1,comment_prose,200,distance_matched,202.0,0.8906752411575563,311
binding,-1,comment_prose,200,positive,202.0,1.0,271
binding,-1,comment_prose,200,same_name_diff_binding,202.0,0.0,446
binding,-1,comment_prose,200,tracked_edge,202.0,1.0,40
binding,-1,comment_prose,500,all_pairs,529.0,0.760284408329101,1969
binding,-1,comment_prose,500,diff_name,529.0,1.0,903
binding,-1,comment_prose,500,distance_matched,529.0,0.9158576051779935,309
binding,-1,comment_prose,500,positive,529.0,1.0,271
binding,-1,comment_prose,500,same_name_diff_binding,529.0,0.0,446
binding,-1,comment_prose,500,tracked_edge,529.0,1.0,40
binding,-1,comment_prose,1000,all_pairs,1009.0,0.7583756345177665,1970
binding,-1,comment_prose,1000,diff_name,1009.0,1.0,903
binding,-1,comment_prose,1000,distance_matched,1009.0,0.9032258064516129,310
binding,-1,comment_prose,1000,positive,1009.0,1.0,271
binding,-1,comment_prose,1000,same_name_diff_binding,1009.0,0.0,446
binding,-1,comment_prose,1000,tracked_edge,1009.0,1.0,40
binding,-1,competing_update,0,all_pairs,0.0,0.7574835109081685,1971
binding,-1,competing_update,0,diff_name,0.0,1.0,903
binding,-1,competing_update,0,distance_matched,0.0,0.8971061093247589,311
binding,-1,competing_update,0,positive,0.0,1.0,271
binding,-1,competing_update,0,same_name_diff_binding,0.0,0.0,446
binding,-1,competing_update,0,tracked_edge,0.0,1.0,40
binding,-1,competing_update,50,all_pairs,55.0,0.7656012176560122,1971
binding,-1,competing_update,50,diff_name,55.0,1.0,903
binding,-1,competing_update,50,distance_matched,55.0,0.9485530546623794,311
binding,-1,competing_update,50,positive,55.0,1.0,311
binding,-1,competing_update,50,same_name_diff_binding,55.0,0.0,446
binding,-1,competing_update,50,tracked_active,55.0,1.0,40
binding,-1,competing_update,50,tracked_edge,55.0,0.0,40
binding,-1,competing_update,100,all_pairs,103.0,0.7671232876712328,1971
binding,-1,competing_update,100,diff_name,103.0,1.0,903
binding,-1,competing_update,100,distance_matched,103.0,0.9581993569131833,311
binding,-1,competing_update,100,positive,103.0,1.0,311
binding,-1,competing_update,100,same_name_diff_binding,103.0,0.0,446
binding,-1,competing_update,100,tracked_active,103.0,1.0,40
binding,-1,competing_update,100,tracked_edge,103.0,0.0,40
binding,-1,competing_update,200,all_pairs,205.0,0.7654822335025381,1970
binding,-1,competing_update,200,diff_name,205.0,1.0,903
binding,-1,competing_update,200,distance_matched,205.0,0.9483870967741935,310
binding,-1,competing_update,200,positive,205.0,1.0,311
binding,-1,competing_update,200,same_name_diff_binding,205.0,0.0,446
binding,-1,competing_update,200,tracked_active,205.0,1.0,40
binding,-1,competing_update,200,tracked_edge,205.0,0.0,40
binding,-1,competing_update,500,all_pairs,505.0,0.7700507614213198,1970
binding,-1,competing_update,500,diff_name,505.0,1.0,903
binding,-1,competing_update,500,distance_matched,505.0,0.9774193548387097,310
binding,-1,competing_update,500,positive,505.0,1.0,311
binding,-1,competing_update,500,same_name_diff_binding,505.0,0.0,446
binding,-1,competing_update,500,tracked_active,505.0,1.0,40
binding,-1,competing_update,500,tracked_edge,505.0,0.0,40
binding,-1,competing_update,1000,all_pairs,1002.0,0.7463216641298833,1971
binding,-1,competing_update,1000,diff_name,1002.0,1.0,903
binding,-1,competing_update,1000,distance_matched,1002.0,0.8263665594855305,311
binding,-1,competing_update,1000,positive,1002.0,1.0,311
binding,-1,competing_update,1000,same_name_diff_binding,1002.0,0.0,446
binding,-1,competing_update,1000,tracked_active,1002.0,1.0,40
binding,-1,competing_update,1000,tracked_edge,1002.0,0.0,40
binding,-1,dead_code,0,all_pairs,0.0,0.7498731608320649,1971
binding,-1,dead_code,0,diff_name,0.0,1.0,903
binding,-1,dead_code,0,distance_matched,0.0,0.8488745980707395,311
binding,-1,dead_code,0,positive,0.0,1.0,271
binding,-1,dead_code,0,same_name_diff_binding,0.0,0.0,446
binding,-1,dead_code,0,tracked_edge,0.0,1.0,40
binding,-1,dead_code,50,all_pairs,51.0,0.7959183673469388,2401
binding,-1,dead_code,50,diff_name,51.0,1.0,1173
binding,-1,dead_code,50,distance_matched,51.0,0.887468030690537,391
binding,-1,dead_code,50,positive,51.0,1.0,351
binding,-1,dead_code,50,same_name_diff_binding,51.0,0.0,446
binding,-1,dead_code,50,tracked_edge,51.0,1.0,40
binding,-1,dead_code,100,all_pairs,103.0,0.8225633702249197,2801
binding,-1,dead_code,100,diff_name,103.0,1.0,1413
binding,-1,dead_code,100,distance_matched,103.0,0.89171974522293,471
binding,-1,dead_code,100,positive,103.0,1.0,431
binding,-1,dead_code,100,same_name_diff_binding,103.0,0.0,446
binding,-1,dead_code,100,tracked_edge,103.0,1.0,40
binding,-1,dead_code,200,all_pairs,207.0,0.7314634823660094,3601
binding,-1,dead_code,200,diff_name,207.0,0.8615953512942419,1893
binding,-1,dead_code,200,distance_matched,207.0,0.589540412044374,631
binding,-1,dead_code,200,positive,207.0,1.0,591
binding,-1,dead_code,200,same_name_diff_binding,207.0,0.0,446
binding,-1,dead_code,200,tracked_edge,207.0,1.0,40
binding,-1,dead_code,500,all_pairs,529.0,0.6764350973970005,5801
binding,-1,dead_code,500,diff_name,529.0,0.6940553999377529,3213
binding,-1,dead_code,500,distance_matched,529.0,0.5816993464052288,1071
binding,-1,dead_code,500,positive,529.0,1.0,1031
binding,-1,dead_code,500,same_name_diff_binding,529.0,0.0,446
binding,-1,dead_code,500,tracked_edge,529.0,1.0,40
binding,-1,dead_code,1000,all_pairs,1009.0,0.6891456504832796,9001
binding,-1,dead_code,1000,diff_name,1009.0,0.6382232612507306,5133
binding,-1,dead_code,1000,distance_matched,1009.0,0.7106954997077732,1711
binding,-1,dead_code,1000,positive,1009.0,1.0,1671
binding,-1,dead_code,1000,same_name_diff_binding,1009.0,0.0,446
binding,-1,dead_code,1000,tracked_edge,1009.0,1.0,40
binding,-1,lexical_decoy,0,all_pairs,0.0,0.7539320142059868,1971
binding,-1,lexical_decoy,0,diff_name,0.0,1.0,903
binding,-1,lexical_decoy,0,distance_matched,0.0,0.8745980707395499,311
binding,-1,lexical_decoy,0,positive,0.0,1.0,271
binding,-1,lexical_decoy,0,same_name_diff_binding,0.0,0.0,446
binding,-1,lexical_decoy,0,tracked_edge,0.0,1.0,40
binding,-1,lexical_decoy,50,all_pairs,71.0,0.8212226066897347,2601
binding,-1,lexical_decoy,50,diff_name,71.0,1.0,1293
binding,-1,lexical_decoy,50,distance_matched,71.0,0.9559164733178654,431
binding,-1,lexical_decoy,50,positive,71.0,1.0,391
binding,-1,lexical_decoy,50,same_name_diff_binding,71.0,0.0,446
binding,-1,lexical_decoy,50,tracked_edge,71.0,1.0,40
binding,-1,lexical_decoy,100,all_pairs,119.0,0.8280573142285905,3001
binding,-1,lexical_decoy,100,diff_name,119.0,0.9719504240052185,1533
binding,-1,lexical_decoy,100,distance_matched,119.0,0.9471624266144814,511
binding,-1,lexical_decoy,100,positive,119.0,1.0,471
binding,-1,lexical_decoy,100,same_name_diff_binding,119.0,0.0,446
binding,-1,lexical_decoy,100,tracked_edge,119.0,1.0,40
binding,-1,lexical_decoy,200,all_pairs,215.0,0.7851500789889415,3798
binding,-1,lexical_decoy,200,diff_name,215.0,0.827123695976155,2013
binding,-1,lexical_decoy,200,distance_matched,215.0,0.9670658682634731,668
binding,-1,lexical_decoy,200,positive,215.0,1.0,631
binding,-1,lexical_decoy,200,same_name_diff_binding,215.0,0.0,446
binding,-1,lexical_decoy,200,tracked_edge,215.0,1.0,40
binding,-1,lexical_decoy,500,all_pairs,519.0,0.7338505650193962,5929
binding,-1,lexical_decoy,500,diff_name,519.0,0.6687668766876688,3333
binding,-1,lexical_decoy,500,distance_matched,519.0,0.973051010587103,1039
binding,-1,lexical_decoy,500,positive,519.0,1.0,1071
binding,-1,lexical_decoy,500,same_name_diff_binding,519.0,0.0,446
binding,-1,lexical_decoy,500,tracked_edge,519.0,1.0,40
binding,-1,lexical_decoy,1000,all_pairs,1023.0,0.7138320008761362,9131
binding,-1,lexical_decoy,1000,diff_name,1023.0,0.6127799016930638,5493
binding,-1,lexical_decoy,1000,distance_matched,1023.0,0.97060984570169,1361
binding,-1,lexical_decoy,1000,positive,1023.0,1.0,1791
binding,-1,lexical_decoy,1000,same_name_diff_binding,1023.0,0.0,446
binding,-1,lexical_decoy,1000,tracked_edge,1023.0,1.0,40
binding,-1,scope_shadow,0,all_pairs,0.0,0.7483510908168443,1971
binding,-1,scope_shadow,0,diff_name,0.0,1.0,903
binding,-1,scope_shadow,0,distance_matched,0.0,0.8392282958199357,311
binding,-1,scope_shadow,0,positive,0.0,1.0,271
binding,-1,scope_shadow,0,same_name_diff_binding,0.0,0.0,446
binding,-1,scope_shadow,0,tracked_edge,0.0,1.0,40
binding,-1,scope_shadow,50,all_pairs,53.0,0.4929510155316607,4185
binding,-1,scope_shadow,50,diff_name,53.0,1.0,1293
binding,-1,scope_shadow,50,distance_matched,53.0,0.7865429234338747,431
binding,-1,scope_shadow,50,positive,53.0,1.0,391
binding,-1,scope_shadow,50,same_name_diff_binding,53.0,0.0,2030
binding,-1,scope_shadow,50,tracked_edge,53.0,1.0,40
binding,-1,scope_shadow,100,all_pairs,107.0,0.3358944807273659,7809
binding,-1,scope_shadow,100,diff_name,107.0,1.0,1653
binding,-1,scope_shadow,100,distance_matched,107.0,0.7604355716878403,551
binding,-1,scope_shadow,100,positive,107.0,1.0,511
binding,-1,scope_shadow,100,same_name_diff_binding,107.0,0.0,5054
binding,-1,scope_shadow,100,tracked_edge,107.0,1.0,40
binding,-1,scope_shadow,200,all_pairs,219.0,0.191980182690819,19377
binding,-1,scope_shadow,200,diff_name,219.0,1.0,2373
binding,-1,scope_shadow,200,distance_matched,219.0,0.7029077117572693,791
binding,-1,scope_shadow,200,positive,219.0,1.0,751
binding,-1,scope_shadow,200,same_name_diff_binding,219.0,0.0,15422
binding,-1,scope_shadow,200,tracked_edge,219.0,1.0,40
binding,-1,scope_shadow,500,all_pairs,519.0,0.08867028586200797,73497
binding,-1,scope_shadow,500,diff_name,519.0,1.0,4173
binding,-1,scope_shadow,500,distance_matched,519.0,0.685118619698059,1391
binding,-1,scope_shadow,500,positive,519.0,1.0,1351
binding,-1,scope_shadow,500,same_name_diff_binding,519.0,0.0,66542
binding,-1,scope_shadow,500,tracked_edge,519.0,1.0,40
binding,-1,scope_shadow,1000,all_pairs,1019.0,0.04477986077437065,243346
binding,-1,scope_shadow,1000,diff_name,1019.0,1.0,7173
binding,-1,scope_shadow,1000,distance_matched,1019.0,0.6534313725490196,2040
binding,-1,scope_shadow,1000,positive,1019.0,1.0,2351
binding,-1,scope_shadow,1000,same_name_diff_binding,1019.0,0.0,231742
binding,-1,scope_shadow,1000,tracked_edge,1019.0,1.0,40
binding,0,comment_prose,0,all_pairs,0.0,0.9979705733130391,1971
binding,0,comment_prose,0,diff_name,0.0,1.0,903
binding,0,comment_prose,0,distance_matched,0.0,1.0,311
binding,0,comment_prose,0,positive,0.0,1.0,271
binding,0,comment_prose,0,same_name_diff_binding,0.0,0.9910313901345291,446
binding,0,comment_prose,0,tracked_edge,0.0,1.0,40
binding,0,comment_prose,50,all_pairs,57.0,0.8558375634517766,1970
binding,0,comment_prose,50,diff_name,57.0,0.9778516057585825,903
binding,0,comment_prose,50,distance_matched,57.0,0.9548387096774194,310
binding,0,comment_prose,50,positive,57.0,0.922509225092251,271
binding,0,comment_prose,50,same_name_diff_binding,57.0,0.48654708520179374,446
binding,0,comment_prose,50,tracked_edge,57.0,1.0,40
binding,0,comment_prose,100,all_pairs,115.0,0.8305428716387621,1971
binding,0,comment_prose,100,diff_name,115.0,0.9700996677740864,903
binding,0,comment_prose,100,distance_matched,115.0,0.9678456591639871,311
binding,0,comment_prose,100,positive,115.0,0.8856088560885609,271
binding,0,comment_prose,100,same_name_diff_binding,115.0,0.40358744394618834,446
binding,0,comment_prose,100,tracked_edge,115.0,1.0,40
binding,0,comment_prose,200,all_pairs,202.0,0.832572298325723,1971
binding,0,comment_prose,200,diff_name,202.0,0.9756367663344407,903
binding,0,comment_prose,200,distance_matched,202.0,0.9742765273311897,311
binding,0,comment_prose,200,positive,202.0,0.8856088560885609,271
binding,0,comment_prose,200,same_name_diff_binding,202.0,0.3968609865470852,446
binding,0,comment_prose,200,tracked_edge,202.0,1.0,40
binding,0,comment_prose,500,all_pairs,529.0,0.829862874555612,1969
binding,0,comment_prose,500,diff_name,529.0,0.9789590254706534,903
binding,0,comment_prose,500,distance_matched,529.0,0.9676375404530745,309
binding,0,comment_prose,500,positive,529.0,0.8523985239852399,271
binding,0,comment_prose,500,same_name_diff_binding,529.0,0.40358744394618834,446
binding,0,comment_prose,500,tracked_edge,529.0,1.0,40
binding,0,comment_prose,1000,all_pairs,1009.0,0.8071065989847716,1970
binding,0,comment_prose,1000,diff_name,1009.0,0.9778516057585825,903
binding,0,comment_prose,1000,distance_matched,1009.0,0.9419354838709677,310
binding,0,comment_prose,1000,positive,1009.0,0.6974169741697417,271
binding,0,comment_prose,1000,same_name_diff_binding,1009.0,0.4170403587443946,446
binding,0,comment_prose,1000,tracked_edge,1009.0,1.0,40
binding,0,competing_update,0,all_pairs,0.0,0.9979705733130391,1971
binding,0,competing_update,0,diff_name,0.0,1.0,903
binding,0,competing_update,0,distance_matched,0.0,1.0,311
binding,0,competing_update,0,positive,0.0,1.0,271
binding,0,competing_update,0,same_name_diff_binding,0.0,0.9910313901345291,446
binding,0,competing_update,0,tracked_edge,0.0,1.0,40
binding,0,competing_update,50,all_pairs,55.0,0.8985286656519533,1971
binding,0,competing_update,50,diff_name,55.0,1.0,903
binding,0,competing_update,50,distance_matched,55.0,0.9903536977491961,311
binding,0,competing_update,50,positive,55.0,0.887459807073955,311
binding,0,competing_update,50,same_name_diff_binding,55.0,0.6367713004484304,446
binding,0,competing_update,50,tracked_active,55.0,1.0,40
binding,0,competing_update,50,tracked_edge,55.0,1.0,40
binding,0,competing_update,100,all_pairs,103.0,0.8878741755454084,1971
binding,0,competing_update,100,diff_name,103.0,1.0,903
binding,0,competing_update,100,distance_matched,103.0,0.9935691318327974,311
binding,0,competing_update,100,positive,103.0,0.8778135048231511,311
binding,0,competing_update,100,same_name_diff_binding,103.0,0.594170403587444,446
binding,0,competing_update,100,tracked_active,103.0,1.0,40
binding,0,competing_update,100,tracked_edge,103.0,1.0,40
binding,0,competing_update,200,all_pairs,205.0,0.868020304568528,1970
binding,0,competing_update,200,diff_name,205.0,1.0,903
binding,0,competing_update,200,distance_matched,205.0,0.9903225806451613,310
binding,0,competing_update,200,positive,205.0,0.7491961414790996,311
binding,0,competing_update,200,same_name_diff_binding,205.0,0.5986547085201793,446
binding,0,competing_update,200,tracked_active,205.0,1.0,40
binding,0,competing_update,200,tracked_edge,205.0,1.0,40
binding,0,competing_update,500,all_pairs,505.0,0.86751269035533,1970
binding,0,competing_update,500,diff_name,505.0,1.0,903
binding,0,competing_update,500,distance_matched,505.0,0.9967741935483871,310
binding,0,competing_update,500,positive,505.0,0.7459807073954984,311
binding,0,competing_update,500,same_name_diff_binding,505.0,0.594170403587444,446
binding,0,competing_update,500,tracked_active,505.0,1.0,40
binding,0,competing_update,500,tracked_edge,505.0,1.0,40
binding,0,competing_update,1000,all_pairs,1002.0,0.8665651953323186,1971
binding,0,competing_update,1000,diff_name,1002.0,1.0,903
binding,0,competing_update,1000,distance_matched,1002.0,0.909967845659164,311
binding,0,competing_update,1000,positive,1002.0,0.7266881028938906,311
binding,0,competing_update,1000,same_name_diff_binding,1002.0,0.6636771300448431,446
binding,0,competing_update,1000,tracked_active,1002.0,1.0,40
binding,0,competing_update,1000,tracked_edge,1002.0,1.0,40
binding,0,dead_code,0,all_pairs,0.0,0.9979705733130391,1971
binding,0,dead_code,0,diff_name,0.0,1.0,903
binding,0,dead_code,0,distance_matched,0.0,1.0,311
binding,0,dead_code,0,positive,0.0,1.0,271
binding,0,dead_code,0,same_name_diff_binding,0.0,0.9910313901345291,446
binding,0,dead_code,0,tracked_edge,0.0,1.0,40
binding,0,dead_code,50,all_pairs,51.0,0.9533527696793003,2401
binding,0,dead_code,50,diff_name,51.0,1.0,1173
binding,0,dead_code,50,distance_matched,51.0,0.9846547314578005,391
binding,0,dead_code,50,positive,51.0,1.0,351
binding,0,dead_code,50,same_name_diff_binding,51.0,0.7623318385650224,446
binding,0,dead_code,50,tracked_edge,51.0,1.0,40
binding,0,dead_code,100,all_pairs,103.0,0.9578721885041057,2801
binding,0,dead_code,100,diff_name,103.0,1.0,1413
binding,0,dead_code,100,distance_matched,103.0,0.9766454352441614,471
binding,0,dead_code,100,positive,103.0,1.0,431
binding,0,dead_code,100,same_name_diff_binding,103.0,0.7600896860986547,446
binding,0,dead_code,100,tracked_edge,103.0,1.0,40
binding,0,dead_code,200,all_pairs,207.0,0.7858928075534574,3601
binding,0,dead_code,200,diff_name,207.0,0.786053882725832,1893
binding,0,dead_code,200,distance_matched,207.0,0.6053882725832013,631
binding,0,dead_code,200,positive,207.0,1.0,591
binding,0,dead_code,200,same_name_diff_binding,207.0,0.7376681614349776,446
binding,0,dead_code,200,tracked_edge,207.0,1.0,40
binding,0,dead_code,500,all_pairs,529.0,0.6590243061541113,5801
binding,0,dead_code,500,diff_name,529.0,0.5505757858699035,3213
binding,0,dead_code,500,distance_matched,529.0,0.6031746031746031,1071
binding,0,dead_code,500,positive,529.0,0.9941804073714839,1031
binding,0,dead_code,500,same_name_diff_binding,529.0,0.7690582959641256,446
binding,0,dead_code,500,tracked_edge,529.0,1.0,40
binding,0,dead_code,1000,all_pairs,1009.0,0.6323741806465948,9001
binding,0,dead_code,1000,diff_name,1009.0,0.4745762711864407,5133
binding,0,dead_code,1000,distance_matched,1009.0,0.711864406779661,1711
binding,0,dead_code,1000,positive,1009.0,0.9814482345900658,1671
binding,0,dead_code,1000,same_name_diff_binding,1009.0,0.8026905829596412,446
binding,0,dead_code,1000,tracked_edge,1009.0,1.0,40
binding,0,lexical_decoy,0,all_pairs,0.0,0.9979705733130391,1971
binding,0,lexical_decoy,0,diff_name,0.0,1.0,903
binding,0,lexical_decoy,0,distance_matched,0.0,1.0,311
binding,0,lexical_decoy,0,positive,0.0,1.0,271
binding,0,lexical_decoy,0,same_name_diff_binding,0.0,0.9910313901345291,446
binding,0,lexical_decoy,0,tracked_edge,0.0,1.0,40
binding,0,lexical_decoy,50,all_pairs,71.0,0.9250288350634371,2601
binding,0,lexical_decoy,50,diff_name,71.0,0.9938128383604021,1293
binding,0,lexical_decoy,50,distance_matched,71.0,0.988399071925754,431
binding,0,lexical_decoy,50,positive,71.0,0.9258312020460358,391
binding,0,lexical_decoy,50,same_name_diff_binding,71.0,0.6569506726457399,446
binding,0,lexical_decoy,50,tracked_edge,71.0,1.0,40
binding,0,lexical_decoy,100,all_pairs,119.0,0.8933688770409863,3001
binding,0,lexical_decoy,100,diff_name,119.0,0.949119373776908,1533
binding,0,lexical_decoy,100,distance_matched,119.0,0.9726027397260274,511
binding,0,lexical_decoy,100,positive,119.0,0.9341825902335457,471
binding,0,lexical_decoy,100,same_name_diff_binding,119.0,0.6278026905829597,446
binding,0,lexical_decoy,100,tracked_edge,119.0,0.225,40
binding,0,lexical_decoy,200,all_pairs,215.0,0.7809373354397051,3798
binding,0,lexical_decoy,200,diff_name,215.0,0.7496274217585693,2013
binding,0,lexical_decoy,200,distance_matched,215.0,0.9326347305389222,668
binding,0,lexical_decoy,200,positive,215.0,0.8954041204437401,631
binding,0,lexical_decoy,200,same_name_diff_binding,215.0,0.6031390134529148,446
binding,0,lexical_decoy,200,tracked_edge,215.0,0.0,40
binding,0,lexical_decoy,500,all_pairs,519.0,0.6987687637038287,5929
binding,0,lexical_decoy,500,diff_name,519.0,0.5616561656165616,3333
binding,0,lexical_decoy,500,distance_matched,519.0,0.9720885466794995,1039
binding,0,lexical_decoy,500,positive,519.0,0.9243697478991597,1071
binding,0,lexical_decoy,500,same_name_diff_binding,519.0,0.6076233183856502,446
binding,0,lexical_decoy,500,tracked_edge,519.0,0.0,40
binding,0,lexical_decoy,1000,all_pairs,1023.0,0.648340816997043,9131
binding,0,lexical_decoy,1000,diff_name,1023.0,0.4724194429273621,5493
binding,0,lexical_decoy,1000,distance_matched,1023.0,0.9808963997060984,1361
binding,0,lexical_decoy,1000,positive,1023.0,0.9547738693467337,1791
binding,0,lexical_decoy,1000,same_name_diff_binding,1023.0,0.6278026905829597,446
binding,0,lexical_decoy,1000,tracked_edge,1023.0,0.0,40
binding,0,scope_shadow,0,all_pairs,0.0,0.9979705733130391,1971
binding,0,scope_shadow,0,diff_name,0.0,1.0,903
binding,0,scope_shadow,0,distance_matched,0.0,1.0,311
binding,0,scope_shadow,0,positive,0.0,1.0,271
binding,0,scope_shadow,0,same_name_diff_binding,0.0,0.9910313901345291,446
binding,0,scope_shadow,0,tracked_edge,0.0,1.0,40
binding,0,scope_shadow,50,all_pairs,53.0,0.8157706093189964,4185
binding,0,scope_shadow,50,diff_name,53.0,1.0,1293
binding,0,scope_shadow,50,distance_matched,53.0,0.851508120649652,431
binding,0,scope_shadow,50,positive,53.0,1.0,391
binding,0,scope_shadow,50,same_name_diff_binding,53.0,0.6714285714285714,2030
binding,0,scope_shadow,50,tracked_edge,53.0,0.0,40
binding,0,scope_shadow,100,all_pairs,107.0,0.7369701626328595,7809
binding,0,scope_shadow,100,diff_name,107.0,1.0,1653
binding,0,scope_shadow,100,distance_matched,107.0,0.8185117967332124,551
binding,0,scope_shadow,100,positive,107.0,0.913894324853229,511
binding,0,scope_shadow,100,same_name_diff_binding,107.0,0.629996042738425,5054
binding,0,scope_shadow,100,tracked_edge,107.0,0.0,40
binding,0,scope_shadow,200,all_pairs,219.0,0.6914899107188935,19377
binding,0,scope_shadow,200,diff_name,219.0,1.0,2373
binding,0,scope_shadow,200,distance_matched,219.0,0.8141592920353983,791
binding,0,scope_shadow,200,positive,219.0,0.933422103861518,751
binding,0,scope_shadow,200,same_name_diff_binding,219.0,0.6277395927895215,15422
binding,0,scope_shadow,200,tracked_edge,219.0,0.0,40
binding,0,scope_shadow,500,all_pairs,519.0,0.6991577887532825,73497
binding,0,scope_shadow,500,diff_name,519.0,1.0,4173
binding,0,scope_shadow,500,distance_matched,519.0,0.798705966930266,1391
binding,0,scope_shadow,500,positive,519.0,0.9407846039970392,1351
binding,0,scope_shadow,500,same_name_diff_binding,519.0,0.6737248654984822,66542
binding,0,scope_shadow,500,tracked_edge,519.0,0.0,40
binding,0,scope_shadow,1000,all_pairs,1019.0,0.7289661634051926,243346
binding,0,scope_shadow,1000,diff_name,1019.0,1.0,7173
binding,0,scope_shadow,1000,distance_matched,1019.0,0.8088235294117647,2040
binding,0,scope_shadow,1000,positive,1019.0,0.963419821352616,2351
binding,0,scope_shadow,1000,same_name_diff_binding,1019.0,0.7176213202613251,231742
binding,0,scope_shadow,1000,tracked_edge,1019.0,0.0,40
binding,3,comment_prose,0,all_pairs,0.0,0.9994926433282597,1971
binding,3,comment_prose,0,diff_name,0.0,1.0,903
binding,3,comment_prose,0,distance_matched,0.0,1.0,311
binding,3,comment_prose,0,positive,0.0,1.0,271
binding,3,comment_prose,0,same_name_diff_binding,0.0,0.9977578475336323,446
binding,3,comment_prose,0,tracked_edge,0.0,1.0,40
binding,3,comment_prose,50,all_pairs,57.0,0.8436548223350254,1970
binding,3,comment_prose,50,diff_name,57.0,0.9058693244739756,903
binding,3,comment_prose,50,distance_matched,57.0,0.9129032258064517,310
binding,3,comment_prose,50,positive,57.0,1.0,271
binding,3,comment_prose,50,same_name_diff_binding,57.0,0.5605381165919282,446
binding,3,comment_prose,50,tracked_edge,57.0,1.0,40
binding,3,comment_prose,100,all_pairs,115.0,0.8193810248604769,1971
