pair_id,base_id,template,op_family,split,variant,bound_value,bound_answer,other_answer,logp_bound,logp_other,logit_diff,correct,argmax_token_id,argmax_is_bound_answer,both_counterfactuals_correct
base_0000_affine,base_0000,global_shadow,affine,test,source,2,5,7,-0.16383354365825653,-4.6482086181640625,4.484375074505806,True,20,True,True
base_0000_affine,base_0000,global_shadow,affine,test,target,4,7,5,-0.11439642310142517,-4.051896572113037,3.937500149011612,True,22,True,True
base_0000_threshold,base_0000,global_shadow,threshold,test,source,2,0,1,-0.2773837447166443,-1.433633804321289,1.1562500596046448,True,15,True,False
base_0000_threshold,base_0000,global_shadow,threshold,test,target,4,1,0,-1.2063404321670532,-0.36259040236473083,-0.8437500298023224,False,15,False,False
base_0001_affine,base_0001,call_frame,affine,calib,source,2,4,8,-1.664123773574829,-0.4453738331794739,-1.2187499403953552,False,23,False,False
base_0001_affine,base_0001,call_frame,affine,calib,target,6,8,4,-0.12809023261070251,-3.2218401432037354,3.093749910593033,True,23,True,False
base_0001_threshold,base_0001,call_frame,threshold,calib,source,2,0,1,-0.9688279628753662,-0.4844529330730438,-0.4843750298023224,False,16,False,False
base_0001_threshold,base_0001,call_frame,threshold,calib,target,6,1,0,-0.585183322429657,-0.819558322429657,0.234375,True,16,True,False
base_0002_affine,base_0002,padded_shadow,affine,calib,source,6,8,9,-0.920479416847229,-1.029854416847229,0.109375,True,23,True,True
base_0002_affine,base_0002,padded_shadow,affine,calib,target,7,9,8,-0.22014787793159485,-2.9388978481292725,2.7187499701976776,True,24,True,True
base_0002_threshold,base_0002,padded_shadow,threshold,calib,source,6,0,1,-0.22423939406871796,-1.6148643493652344,1.3906249552965164,True,15,True,False
base_0002_threshold,base_0002,padded_shadow,threshold,calib,target,7,1,0,-1.3374069929122925,-0.3061569929122925,-1.03125,False,15,False,False
base_0003_affine,base_0003,global_shadow,affine,test,source,2,6,8,-1.1287965774536133,-1.0819215774536133,-0.046875,False,23,False,False
base_0003_affine,base_0003,global_shadow,affine,test,target,3,8,6,-0.8396875262260437,-2.4959375858306885,1.6562500596046448,True,23,True,False
