split,subset,layer,position,lens,accuracy,accuracy_ci_lo,accuracy_ci_hi,n_rows,n_bases,mean_bound_rank,reversal_rate,reversal_ci_lo,reversal_ci_hi,paired_gap,paired_gap_ci_lo,paired_gap_ci_hi,n_pairs
calib,all,6,answer,gram_random,0.5083333333333333,0.5,0.525,120,30,4.283333333333333,0.016666666666666666,0.0,0.05,-0.00013891893128554028,-0.0004583342249194781,0.00018218349044521646,60
calib,all,12,answer,gram_random,0.5166666666666667,0.48333333333333334,0.55,120,30,3.2916666666666665,0.05,0.0,0.1,-0.0021275854979952175,-0.004600711963139474,0.0004360161675140256,60
calib,all,18,answer,gram_random,0.475,0.44166666666666665,0.5,120,30,3.5416666666666665,0.0,0.0,0.0,-0.002796317885319392,-0.009585404805839063,0.003891853919873632,60
calib,all,23,answer,gram_random,0.5416666666666666,0.5166666666666667,0.575,120,30,4.008333333333334,0.08333333333333333,0.03333333333333333,0.15,0.0018044380471110345,-0.0138042829092592,0.01528516072159012,60
calib,all,6,answer,jlens,0.5,0.5,0.5,120,30,5.083333333333333,0.0,0.0,0.0,0.00015636483828226726,-0.00035526771098375325,0.000680478091041247,60
calib,all,12,answer,jlens,0.525,0.49166666666666664,0.5583333333333333,120,30,3.4916666666666667,0.06666666666666667,0.016666666666666666,0.13333333333333333,0.007007578015327453,0.003098625093698502,0.010845433473587036,60
calib,all,18,answer,jlens,0.5333333333333333,0.49166666666666664,0.575,120,30,3.775,0.1,0.03333333333333333,0.16666666666666666,0.06636660099029541,0.0404671947658062,0.09868204171458879,60
calib,all,23,answer,jlens,0.525,0.4583333333333333,0.6,120,30,2.658333333333333,0.16666666666666666,0.06666666666666667,0.2833333333333333,0.08557202617327372,0.053081592520078026,0.12113448888063429,60
calib,all,6,answer,logit,0.5,0.5,0.5,120,30,4.775,0.0,0.0,0.0,0.003345970312754313,-0.011573572109142938,0.017579561869303387,60
calib,all,12,answer,logit,0.5416666666666666,0.5083333333333333,0.575,120,30,3.683333333333333,0.08333333333333333,0.016666666666666666,0.15,0.15029478867848714,0.05419312506914139,0.24737541397412613,60
calib,all,18,answer,logit,0.5666666666666667,0.525,0.6083333333333333,120,30,4.133333333333334,0.13333333333333333,0.05,0.21666666666666667,1.5502885619799296,0.9733322379986445,2.2265726826588312,60
calib,all,23,answer,logit,0.525,0.4583333333333333,0.6,120,30,2.658333333333333,0.16666666666666666,0.06666666666666667,0.2833333333333333,2.5960670471191407,1.6103261025746662,3.6752989578247064,60
calib,all,6,answer,probe,1.0,1.0,1.0,120,30,,1.0,1.0,1.0,9.583352748552958,8.974662023286024,10.253758858939012,60
calib,all,12,answer,probe,1.0,1.0,1.0,120,30,,1.0,1.0,1.0,10.647493886947633,10.082184282243253,11.243054638206958,60
calib,all,18,answer,probe,1.0,1.0,1.0,120,30,,1.0,1.0,1.0,8.679625606536865,8.168834582368532,9.224847247302531,60
calib,all,23,answer,probe,1.0,1.0,1.0,120,30,,1.0,1.0,1.0,8.448930807908376,7.8426945052544275,9.118696232835452,60
calib,all,6,def_source,gram_random,0.5,0.5,0.5,120,30,4.191666666666666,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,12,def_source,gram_random,0.5,0.5,0.5,120,30,4.366666666666666,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,18,def_source,gram_random,0.5,0.5,0.5,120,30,4.316666666666666,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,23,def_source,gram_random,0.5,0.5,0.5,120,30,4.6,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,6,def_source,jlens,0.5,0.5,0.5,120,30,3.0083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,12,def_source,jlens,0.5,0.5,0.5,120,30,1.9833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,18,def_source,jlens,0.5,0.5,0.5,120,30,2.7333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,23,def_source,jlens,0.5,0.5,0.5,120,30,3.816666666666667,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,6,def_source,logit,0.5,0.5,0.5,120,30,5.341666666666667,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,12,def_source,logit,0.5,0.5,0.5,120,30,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,18,def_source,logit,0.5,0.5,0.5,120,30,4.35,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,23,def_source,logit,0.5,0.5,0.5,120,30,3.816666666666667,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,6,def_source,probe,0.5,0.5,0.5,120,30,,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,12,def_source,probe,0.5,0.5,0.5,120,30,,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,18,def_source,probe,0.5,0.5,0.5,120,30,,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,23,def_source,probe,0.5,0.5,0.5,120,30,,0.0,0.0,0.0,0.0,0.0,0.0,60
calib,all,6,def_target,gram_random,0.4583333333333333,0.39166666666666666,0.5166666666666667,120,30,3.975,0.03333333333333333,0.0,0.1,0.0005282809336980184,-0.0020452081908782327,0.0032094354430834446,60
calib,all,12,def_target,gram_random,0.4166666666666667,0.35,0.48333333333333334,120,30,3.75,0.0,0.0,0.0,-0.0002735396226247152,-0.00818575279166301,0.007138856252034502,60
calib,all,18,def_target,gram_random,0.55,0.48333333333333334,0.6166666666666667,120,30,3.2083333333333335,0.13333333333333333,0.03333333333333333,0.25,0.0018601541717847188,-0.017139986356099444,0.022253676553567244,60
