task,layer,obf_level,obf_name,accuracy,n,n_bases
binding,-1,0,normalize,0.7572920417716961,2777,40
binding,-1,1,rename,0.3713872832369942,2768,40
binding,-1,2,opaque,0.39107214832728737,9924,40
binding,-1,3,encode,0.430272011041463,17389,40
binding,-1,4,flatten,0.2384158104011653,25401,40
binding,0,0,normalize,0.9866762693554195,2777,40
binding,0,1,rename,0.440028901734104,2768,40
binding,0,2,opaque,0.4938532849657396,9924,40
binding,0,3,encode,0.4764506297084364,17389,40
binding,0,4,flatten,0.23617180425967482,25401,40
binding,3,0,normalize,1.0,2777,40
binding,3,1,rename,0.7828757225433526,2768,40
binding,3,2,opaque,0.8014913341394599,9924,40
binding,3,3,encode,0.834493070331819,17389,40
binding,3,4,flatten,0.5547025707649306,25401,40
binding,7,0,normalize,0.9992797983435362,2777,40
binding,7,1,rename,0.8663294797687862,2768,40
binding,7,2,opaque,0.8351471180975413,9924,40
binding,7,3,encode,0.8273621254816264,17389,40
binding,7,4,flatten,0.6996968623282548,25401,40
binding,11,0,normalize,0.9996398991717681,2777,40
binding,11,1,rename,0.8778901734104047,2768,40
binding,11,2,opaque,0.8420999596936719,9924,40
binding,11,3,encode,0.828454770257059,17389,40
binding,11,4,flatten,0.7341049564977756,25401,40
binding,15,0,normalize,0.9967590925459129,2777,40
binding,15,1,rename,0.8569364161849711,2768,40
binding,15,2,opaque,0.800080612656187,9924,40
binding,15,3,encode,0.8017137270688366,17389,40
binding,15,4,flatten,0.7134364788787843,25401,40
binding,19,0,normalize,0.9974792942023767,2777,40
binding,19,1,rename,0.8273121387283237,2768,40
binding,19,2,opaque,0.7562474808544941,9924,40
binding,19,3,encode,0.787796883087009,17389,40
binding,19,4,flatten,0.7296169442147947,25401,40
binding,23,0,normalize,0.9938782859200577,2777,40
binding,23,1,rename,0.8059971098265896,2768,40
binding,23,2,opaque,0.7327690447400241,9924,40
binding,23,3,encode,0.7550750474437863,17389,40
binding,23,4,flatten,0.7471753080587379,25401,40
defuse_edge,-1,0,normalize,0.7952082144894467,1753,40
defuse_edge,-1,1,rename,0.39256678281068524,1722,40
defuse_edge,-1,2,opaque,0.37128072445019406,3865,40
defuse_edge,-1,3,encode,0.3811119873817035,5072,40
defuse_edge,-1,4,flatten,0.20810593900481542,12460,40
defuse_edge,0,0,normalize,0.9845978322875071,1753,40
defuse_edge,0,1,rename,0.5249709639953543,1722,40
defuse_edge,0,2,opaque,0.508150064683053,3865,40
defuse_edge,0,3,encode,0.5561908517350158,5072,40
defuse_edge,0,4,flatten,0.2702247191011236,12460,40
defuse_edge,3,0,normalize,1.0,1753,40
defuse_edge,3,1,rename,0.818815331010453,1722,40
defuse_edge,3,2,opaque,0.7994825355756792,3865,40
defuse_edge,3,3,encode,0.8004731861198738,5072,40
defuse_edge,3,4,flatten,0.46091492776886034,12460,40
defuse_edge,7,0,normalize,1.0,1753,40
defuse_edge,7,1,rename,0.829849012775842,1722,40
defuse_edge,7,2,opaque,0.8364812419146184,3865,40
defuse_edge,7,3,encode,0.8324132492113565,5072,40
defuse_edge,7,4,flatten,0.6956661316211878,12460,40
defuse_edge,11,0,normalize,1.0,1753,40
defuse_edge,11,1,rename,0.8443670150987224,1722,40
defuse_edge,11,2,opaque,0.83751617076326,3865,40
defuse_edge,11,3,encode,0.8294558359621451,5072,40
defuse_edge,11,4,flatten,0.7551364365971107,12460,40
defuse_edge,15,0,normalize,0.9931545921277809,1753,40
defuse_edge,15,1,rename,0.832171893147503,1722,40
defuse_edge,15,2,opaque,0.8248382923673997,3865,40
defuse_edge,15,3,encode,0.8237381703470031,5072,40
defuse_edge,15,4,flatten,0.811637239165329,12460,40
defuse_edge,19,0,normalize,0.9988590986879635,1753,40
defuse_edge,19,1,rename,0.7967479674796748,1722,40
defuse_edge,19,2,opaque,0.7692108667529107,3865,40
defuse_edge,19,3,encode,0.7973186119873817,5072,40
defuse_edge,19,4,flatten,0.7667736757624398,12460,40
defuse_edge,23,0,normalize,0.9971477467199087,1753,40
defuse_edge,23,1,rename,0.7473867595818815,1722,40
defuse_edge,23,2,opaque,0.7197930142302716,3865,40
defuse_edge,23,3,encode,0.7080047318611987,5072,40
defuse_edge,23,4,flatten,0.8322632423756019,12460,40
