task,layer,obf_level,obf_name,accuracy,n,n_bases
binding,-1,0,normalize,0.7292041771696075,2777,40
binding,-1,1,rename,0.22254231184731724,2777,40
binding,-1,2,opaque,0.2379081015719468,9924,40
binding,-1,3,encode,0.25199838978664674,17389,40
binding,-1,4,flatten,0.1256643439234676,25401,40
binding,0,0,normalize,0.9985595966870724,2777,40
binding,0,1,rename,0.29312207418077063,2777,40
binding,0,2,opaque,0.319931479242241,9924,40
binding,0,3,encode,0.340962677554776,17389,40
binding,0,4,flatten,0.1776701704657297,25401,40
binding,3,0,normalize,0.9996398991717681,2777,40
binding,3,1,rename,0.7079582283039251,2777,40
binding,3,2,opaque,0.7433494558645707,9924,40
binding,3,3,encode,0.7898671573983553,17389,40
binding,3,4,flatten,0.5273808117790638,25401,40
binding,7,0,normalize,0.9992797983435362,2777,40
binding,7,1,rename,0.8195894850558156,2777,40
binding,7,2,opaque,0.8082426440951229,9924,40
binding,7,3,encode,0.8221864397032607,17389,40
binding,7,4,flatten,0.5658044958859887,25401,40
binding,11,0,normalize,0.9992797983435362,2777,40
binding,11,1,rename,0.8239106949945985,2777,40
binding,11,2,opaque,0.7690447400241838,9924,40
binding,11,3,encode,0.7978032089251826,17389,40
binding,11,4,flatten,0.5592693201055077,25401,40
binding,15,0,normalize,0.9992797983435362,2777,40
binding,15,1,rename,0.8829672308246309,2777,40
binding,15,2,opaque,0.8078395808141878,9924,40
binding,15,3,encode,0.8233940997182126,17389,40
binding,15,4,flatten,0.5723790401952679,25401,40
binding,19,0,normalize,0.9989196975153043,2777,40
binding,19,1,rename,0.8685631976953547,2777,40
binding,19,2,opaque,0.8063280935106811,9924,40
binding,19,3,encode,0.8139053424578757,17389,40
binding,19,4,flatten,0.4920672414471871,25401,40
binding,23,0,normalize,0.9981994958588405,2777,40
binding,23,1,rename,0.8329132157003961,2777,40
binding,23,2,opaque,0.767634018540911,9924,40
binding,23,3,encode,0.765656449479556,17389,40
binding,23,4,flatten,0.6643045549387819,25401,40
binding,27,0,normalize,0.9978393950306086,2777,40
binding,27,1,rename,0.8059056535830033,2777,40
binding,27,2,opaque,0.7602781136638452,9924,40
binding,27,3,encode,0.7588705503479211,17389,40
binding,27,4,flatten,0.7227274516751309,25401,40
binding,29,0,normalize,0.9967590925459129,2777,40
binding,29,1,rename,0.7706157724162765,2777,40
binding,29,2,opaque,0.7111043933897622,9924,40
binding,29,3,encode,0.7360400253033527,17389,40
binding,29,4,flatten,0.6212747529624818,25401,40
defuse_edge,-1,0,normalize,0.7523703290574456,1793,40
defuse_edge,-1,1,rename,0.24549549549549549,1776,40
defuse_edge,-1,2,opaque,0.23829236739974127,3865,40
defuse_edge,-1,3,encode,0.2469938892174256,5073,40
defuse_edge,-1,4,flatten,0.12295345104333869,12460,40
defuse_edge,0,0,normalize,0.9988845510317903,1793,40
defuse_edge,0,1,rename,0.4594594594594595,1776,40
defuse_edge,0,2,opaque,0.4652005174644243,3865,40
defuse_edge,0,3,encode,0.4805834811748472,5073,40
defuse_edge,0,4,flatten,0.24341894060995184,12460,40
defuse_edge,3,0,normalize,1.0,1793,40
defuse_edge,3,1,rename,0.6886261261261262,1776,40
defuse_edge,3,2,opaque,0.7311772315653299,3865,40
defuse_edge,3,3,encode,0.7466982061896313,5073,40
defuse_edge,3,4,flatten,0.4021669341894061,12460,40
defuse_edge,7,0,normalize,1.0,1793,40
defuse_edge,7,1,rename,0.8079954954954955,1776,40
defuse_edge,7,2,opaque,0.8087968952134541,3865,40
defuse_edge,7,3,encode,0.8016952493593534,5073,40
defuse_edge,7,4,flatten,0.5035313001605136,12460,40
defuse_edge,11,0,normalize,0.9994422755158952,1793,40
defuse_edge,11,1,rename,0.8113738738738738,1776,40
defuse_edge,11,2,opaque,0.8142302716688228,3865,40
defuse_edge,11,3,encode,0.8058348117484723,5073,40
defuse_edge,11,4,flatten,0.5091492776886035,12460,40
defuse_edge,15,0,normalize,1.0,1793,40
defuse_edge,15,1,rename,0.8581081081081081,1776,40
defuse_edge,15,2,opaque,0.8129366106080207,3865,40
defuse_edge,15,3,encode,0.8184506209343584,5073,40
defuse_edge,15,4,flatten,0.46340288924558587,12460,40
defuse_edge,19,0,normalize,0.9994422755158952,1793,40
defuse_edge,19,1,rename,0.8868243243243243,1776,40
defuse_edge,19,2,opaque,0.8279430789133247,3865,40
defuse_edge,19,3,encode,0.7997240291740587,5073,40
defuse_edge,19,4,flatten,0.472792937399679,12460,40
defuse_edge,23,0,normalize,1.0,1793,40
defuse_edge,23,1,rename,0.7708333333333334,1776,40
defuse_edge,23,2,opaque,0.6727037516170763,3865,40
defuse_edge,23,3,encode,0.6808594520007885,5073,40
defuse_edge,23,4,flatten,0.5073033707865169,12460,40
defuse_edge,27,0,normalize,0.9994422755158952,1793,40
defuse_edge,27,1,rename,0.7359234234234234,1776,40
defuse_edge,27,2,opaque,0.6626131953428201,3865,40
defuse_edge,27,3,encode,0.7007687758722649,5073,40
defuse_edge,27,4,flatten,0.6380417335473515,12460,40
defuse_edge,29,0,normalize,0.992749581706637,1793,40
defuse_edge,29,1,rename,0.7156531531531531,1776,40
defuse_edge,29,2,opaque,0.6452781371280725,3865,40
defuse_edge,29,3,encode,0.722649319929036,5073,40
defuse_edge,29,4,flatten,0.5247191011235955,12460,40
