model,lens,layer,relative_depth,prompt_style,condition,condition_kind,condition_order,n_pairs,taint_mean_delta_z,taint_sign_consistency,taint_permutation_p,taint_permutation_effect_size,taint_corr_model_delta,taint_lens_tracks_model,security_mean_delta_z,security_sign_consistency,security_permutation_p,security_permutation_effect_size,security_corr_model_delta,security_lens_tracks_model,mean_model_delta_margin,model_pair_separation
deepseek-coder-6.7b,clens,-1,,e6,clean_heldout,clean,-1,72,0.0,0.0,1.0,,,0.2222222222222222,0.0,0.0,1.0,,,0.2222222222222222,-0.016167534722222224,0.2222222222222222
deepseek-coder-6.7b,clens,-1,,e6,normalize,baseline,0,72,0.0,0.0,1.0,,,0.09722222222222222,0.0,0.0,1.0,,,0.09722222222222222,-0.017578125827842288,0.3333333333333333
deepseek-coder-6.7b,clens,-1,,e6,rename_only,atomic,11,72,0.0,0.0,1.0,,,0.1527777777777778,0.0,0.0,1.0,,,0.1527777777777778,-0.003906252483526866,0.4027777777777778
deepseek-coder-6.7b,clens,-1,,e6,opaque_only,atomic,12,72,0.0,0.0,1.0,,,0.1527777777777778,0.0,0.0,1.0,,,0.1527777777777778,-0.019422742227713268,0.2222222222222222
deepseek-coder-6.7b,clens,-1,,e6,encode_only,atomic,13,72,0.0,0.0,1.0,,,0.05555555555555555,0.0,0.0,1.0,,,0.05555555555555555,-0.02723524471124013,0.2777777777777778
deepseek-coder-6.7b,clens,-1,,e6,flatten_only,atomic,14,72,0.0,0.0,1.0,,,0.1388888888888889,0.0,0.0,1.0,,,0.1388888888888889,0.0014105869664086236,0.3888888888888889
deepseek-coder-6.7b,clens,-1,,e6,rename_cumulative,cumulative,21,72,0.0,0.0,1.0,,,0.125,0.0,0.0,1.0,,,0.125,-0.008246527777777778,0.4027777777777778
deepseek-coder-6.7b,clens,-1,,e6,rename_opaque,cumulative,22,72,0.0,0.0,1.0,,,0.05555555555555555,0.0,0.0,1.0,,,0.05555555555555555,-0.006510419150193532,0.4027777777777778
deepseek-coder-6.7b,clens,-1,,e6,rename_opaque_encode,cumulative,23,72,0.0,0.0,1.0,,,0.1527777777777778,0.0,0.0,1.0,,,0.1527777777777778,-0.006510420805878109,0.3611111111111111
deepseek-coder-6.7b,clens,-1,,e6,rename_opaque_encode_flatten,cumulative,24,72,0.0,0.0,1.0,,,0.16666666666666666,0.0,0.0,1.0,,,0.16666666666666666,-0.002604164183139801,0.3472222222222222
deepseek-coder-6.7b,clens,0,0.0,e6,clean_heldout,clean,-1,72,0.0016002631345920998,0.5555555555555556,0.49,0.6426844384013277,0.06000418156667122,0.3055555555555556,-0.0018096628357647988,0.4444444444444444,0.242,-1.1403081816075145,-0.1891426979066434,0.3888888888888889,-0.016167534722222224,0.2222222222222222
deepseek-coder-6.7b,clens,0,0.0,e6,normalize,baseline,0,72,0.001737128906105408,0.5,0.484,0.6681687136084956,0.07926925635941967,0.3888888888888889,-0.0018673632793094906,0.4305555555555556,0.258,-1.108407229634137,-0.17782226051683175,0.4722222222222222,-0.017578125827842288,0.3333333333333333
deepseek-coder-6.7b,clens,0,0.0,e6,rename_only,atomic,11,72,0.0004928936940243199,0.5138888888888888,0.436,0.7808025192648046,0.23643250661123316,0.4444444444444444,-0.00021409195951268493,0.5138888888888888,0.72,-0.3107825342675942,-0.08352502270469764,0.4444444444444444,-0.003906252483526866,0.4027777777777778
deepseek-coder-6.7b,clens,0,0.0,e6,opaque_only,atomic,12,72,0.000785340524131644,0.5277777777777778,0.714,0.3315203660382836,0.07951569266994025,0.3055555555555556,-0.0009818793829142315,0.4861111111111111,0.45,-0.6854873546383212,-0.09817295673914413,0.5,-0.019422742227713268,0.2222222222222222
deepseek-coder-6.7b,clens,0,0.0,e6,encode_only,atomic,13,72,0.0015978454916376617,0.5138888888888888,0.502,0.6107762514706633,-0.004305006370110042,0.4444444444444444,-0.0018128606739858943,0.4583333333333333,0.28,-1.0467105566310795,-0.0891109187379271,0.5416666666666666,-0.02723524471124013,0.2777777777777778
deepseek-coder-6.7b,clens,0,0.0,e6,flatten_only,atomic,14,72,0.0001158590774177965,0.5277777777777778,0.748,0.3004877696733071,0.1821561954317406,0.4166666666666667,-0.0003223370795408304,0.4583333333333333,0.264,-1.1755696158798055,-0.1546747105750523,0.3333333333333333,0.0014105869664086236,0.3888888888888889
deepseek-coder-6.7b,clens,0,0.0,e6,rename_cumulative,cumulative,21,72,0.0008931090571225567,0.5833333333333334,0.208,1.2383122431970617,-0.10275094112469722,0.3611111111111111,0.0003301725419024324,0.5138888888888888,0.592,0.5079044021519205,0.016326157183044372,0.4166666666666667,-0.008246527777777778,0.4027777777777778
deepseek-coder-6.7b,clens,0,0.0,e6,rename_opaque,cumulative,22,72,0.0005969181685996731,0.5416666666666666,0.22,1.2953440361032225,0.1909594769583752,0.5,7.121321150655817e-05,0.5138888888888888,0.866,0.10160691209361807,0.09305481455399112,0.4583333333333333,-0.006510419150193532,0.4027777777777778
deepseek-coder-6.7b,clens,0,0.0,e6,rename_opaque_encode,cumulative,23,72,8.772624059510958e-05,0.5416666666666666,0.894,0.20449031271202378,-0.009665857987393646,0.3888888888888889,-0.0005723107272383424,0.4305555555555556,0.202,-1.380076193718827,0.05664901085450955,0.5,-0.006510420805878109,0.3611111111111111
deepseek-coder-6.7b,clens,0,0.0,e6,rename_opaque_encode_flatten,cumulative,24,72,5.7239693218728384e-05,0.4861111111111111,0.702,0.40642732889505573,-0.12913928425350898,0.4027777777777778,0.0002297940047613973,0.6111111111111112,0.18,1.3146370329501096,-0.04927464443517857,0.3888888888888889,-0.002604164183139801,0.3472222222222222
deepseek-coder-6.7b,clens,3,0.0968,e6,clean_heldout,clean,-1,72,-0.001504684171592818,0.4583333333333333,0.236,-1.1055653160314107,-0.12566499102356132,0.4305555555555556,-0.0009630616104367054,0.4444444444444444,0.184,-1.2791740047235245,-0.2928204312290976,0.4027777777777778,-0.016167534722222224,0.2222222222222222
deepseek-coder-6.7b,clens,3,0.0968,e6,normalize,baseline,0,72,-0.0014284732861021424,0.4722222222222222,0.248,-1.1012860541549025,-0.14686310518277168,0.5,-0.0007626566956161207,0.5138888888888888,0.322,-0.98139490911343,-0.28533297876757957,0.4583333333333333,-0.017578125827842288,0.3333333333333333
deepseek-coder-6.7b,clens,3,0.0968,e6,rename_only,atomic,11,72,-1.2997695751599784e-05,0.4305555555555556,0.994,-0.05562921252082582,0.04705101706161877,0.4444444444444444,0.0007314906835665566,0.5833333333333334,0.216,1.2105133629741753,-0.10243223783043737,0.3472222222222222,-0.003906252483526866,0.4027777777777778
deepseek-coder-6.7b,clens,3,0.0968,e6,opaque_only,atomic,12,72,-0.0010386894490563786,0.4305555555555556,0.336,-0.9452041188498924,-0.12072523199007591,0.4583333333333333,-0.0006471549757644231,0.4305555555555556,0.336,-0.9513052840405946,-0.1625288820118308,0.4166666666666667,-0.019422742227713268,0.2222222222222222
deepseek-coder-6.7b,clens,3,0.0968,e6,encode_only,atomic,13,72,-0.0013709338870846273,0.5,0.246,-1.1086289630738915,-0.13479643010427544,0.5277777777777778,-0.000857217745063364,0.4583333333333333,0.23,-1.169629585217387,-0.22325513004193662,0.5138888888888888,-0.02723524471124013,0.2777777777777778
deepseek-coder-6.7b,clens,3,0.0968,e6,flatten_only,atomic,14,72,0.0001436932660804928,0.5555555555555556,0.696,0.4083845727380256,0.1749858493938395,0.4305555555555556,9.670944355743037e-05,0.5277777777777778,0.682,0.3921261829338076,0.15748272762071877,0.4583333333333333,0.0014105869664086236,0.3888888888888889
deepseek-coder-6.7b,clens,3,0.0968,e6,rename_cumulative,cumulative,21,72,-0.00013345303276555281,0.4722222222222222,0.914,-0.09446964329051903,-0.03747660592507058,0.4444444444444444,-0.00011871823579608242,0.4722222222222222,0.868,-0.09386913936388028,0.07192561838560867,0.4861111111111111,-0.008246527777777778,0.4027777777777778
