model,lens,layer,relative_depth,prompt_style,condition,condition_kind,condition_order,n_pairs,taint_mean_delta_z,taint_sign_consistency,taint_permutation_p,taint_permutation_effect_size,taint_corr_model_delta,taint_lens_tracks_model,security_mean_delta_z,security_sign_consistency,security_permutation_p,security_permutation_effect_size,security_corr_model_delta,security_lens_tracks_model,mean_model_delta_margin,model_pair_separation
starcoder2-3b,clens,-1,,e6,clean_heldout,clean,-1,72,0.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,,0.0,0.029269744952519734,0.8055555555555556
starcoder2-3b,clens,-1,,e6,normalize,baseline,0,72,0.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,,0.0,0.03774684750371509,0.8472222222222222
starcoder2-3b,clens,-1,,e6,rename_only,atomic,11,72,0.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,,0.0,0.014865446421835158,0.625
starcoder2-3b,clens,-1,,e6,opaque_only,atomic,12,72,0.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,,0.0,0.03291151507033242,0.7083333333333334
starcoder2-3b,clens,-1,,e6,encode_only,atomic,13,72,0.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,,0.0,0.04248047454489602,0.7777777777777778
starcoder2-3b,clens,-1,,e6,flatten_only,atomic,14,72,0.0,0.0,1.0,,,0.027777777777777776,0.0,0.0,1.0,,,0.027777777777777776,0.009474012586805556,0.6111111111111112
starcoder2-3b,clens,-1,,e6,rename_cumulative,cumulative,21,72,0.0,0.0,1.0,,,0.013888888888888888,0.0,0.0,1.0,,,0.013888888888888888,0.017659501896964178,0.6666666666666666
starcoder2-3b,clens,-1,,e6,rename_opaque,cumulative,22,72,0.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,,0.0,0.015285914142926535,0.7361111111111112
starcoder2-3b,clens,-1,,e6,rename_opaque_encode,cumulative,23,72,0.0,0.0,1.0,,,0.013888888888888888,0.0,0.0,1.0,,,0.013888888888888888,0.013576933079295687,0.5833333333333334
starcoder2-3b,clens,-1,,e6,rename_opaque_encode_flatten,cumulative,24,72,0.0,0.0,1.0,,,0.027777777777777776,0.0,0.0,1.0,,,0.027777777777777776,0.003987628552648757,0.5555555555555556
starcoder2-3b,clens,0,0.0,e6,clean_heldout,clean,-1,72,0.0015310227819566914,0.6388888888888888,0.232,1.2075730801055937,-0.25406137650157057,0.5833333333333334,-0.0010555753626315914,0.5,0.37,-0.8442843037883265,0.22718075051416725,0.5277777777777778,0.029269744952519734,0.8055555555555556
