model,condition,condition_kind,condition_order,layer,target_token,target,ast_role,token_identical,n_pairs,mean_delta_frac,sign_consistency,permutation_p,permutation_effect_size,mean_frac_unsafe,mean_frac_safe,token_count_matched_frac,median_abs_rho_minus_one
deepseek-coder-1.3b,clean_heldout,clean,-1,0,5723, safe,other,0,72,-0.29924507454212873,0.75,0.958,-0.7084494332646109,0.6713582160207267,0.9706032905628557,1.0,1.2555867867636294e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,0,5723, safe,signature,1,72,0.1598335132674096,0.5277777777777778,0.96,0.739517089688285,0.18210830091093452,0.02227478764352491,1.0,1.2555867867636294e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,0,5723, safe,sink_arg,0,72,0.012652323103208903,0.6527777777777778,0.392,1.058064010012918,0.007915533016584674,-0.004736790086624231,0.6111111111111112,1.2555867867636294e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,0,5723, safe,sink_call,1,72,0.17686907277719743,0.3055555555555556,0.936,0.6631271223488607,-0.009677051593644256,-0.18654612437084173,1.0,1.2555867867636294e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,0,5723, safe,source_expr,1,72,0.040770704642769995,0.3472222222222222,0.376,1.0825588336430576,0.02840763969300404,-0.01236306494976596,1.0,1.2555867867636294e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,0,5723, safe,taint_chain,1,72,-0.04403507178156107,0.125,0.486,-0.9954863770296137,0.039575961380520316,0.08361103316208136,1.0,1.2555867867636294e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,0,5723, safe,trust_chain,1,72,-0.00022824380377293543,0.875,1.0,-0.025073160014151937,0.06306114222194144,0.06328938602571438,1.0,1.2555867867636294e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,0,5723, safe,trusted_expr,1,72,-0.046617437262436855,0.3611111111111111,0.106,-1.1423211335957981,0.017250390410988716,0.06386782767342558,1.0,1.2555867867636294e-07
deepseek-coder-1.3b,clean_heldout,clean,-1,0,24281, vulnerable,other,0,72,-0.03037038787572262,0.7638888888888888,0.942,-0.18742311202865117,0.6480745940403551,0.6784449819160776,1.0,8.736952161747524e-08
deepseek-coder-1.3b,clean_heldout,clean,-1,0,24281, vulnerable,signature,1,72,0.01719364925538562,0.5277777777777778,0.952,0.23112588174627566,0.19354351694697464,0.176349867691589,1.0,8.736952161747524e-08
