arm,layer,median_abs_error,median_rho,n
all,-1,2.086162567138672e-07,1.0,10
all,0,1.7881393432617188e-07,1.0000000596046448,10
all,3,1.7881393432617188e-07,0.9999999403953552,10
all,7,1.4901161193847656e-07,0.9999998807907104,10
all,11,1.7881393432617188e-07,1.0000000596046448,10
all,15,1.1920928955078125e-07,1.0,10
all,19,1.1920928955078125e-07,0.9999999403953552,10
all,23,0.0,1.0,10
no_attn,-1,1.8396984338760376,2.693730354309082,10
no_attn,0,1.499208688735962,2.3577165603637695,10
no_attn,3,1.0265095829963684,1.9685844779014587,10
no_attn,7,0.6188756227493286,1.6188756227493286,10
no_attn,11,0.4066948890686035,1.4066948890686035,10
no_attn,15,0.24651873111724854,1.2465187311172485,10
no_attn,19,0.13995987176895142,1.0182669758796692,10
no_attn,23,0.0,1.0,10
no_half,-1,15.09584665298462,16.09584665298462,10
no_half,0,8.871493816375732,9.871493816375732,10
no_half,3,5.349049091339111,6.349049091339111,10
no_half,7,4.824791669845581,5.824791669845581,10
no_half,11,4.01581335067749,5.01581335067749,10
no_half,15,2.7504682540893555,3.7504682540893555,10
no_half,19,1.3958337306976318,2.395833730697632,10
no_half,23,0.0,1.0,10
no_identity,-1,0.30224424600601196,0.697755753993988,10
no_identity,0,0.3011598289012909,0.6988401710987091,10
no_identity,3,0.27120542526245117,0.7287945747375488,10
no_identity,7,0.23807713389396667,0.7619228661060333,10
no_identity,11,0.21496939659118652,0.7850306034088135,10
no_identity,15,0.1987587809562683,0.8012412190437317,10
no_identity,19,0.10120564699172974,0.8987943530082703,10
no_identity,23,0.0,1.0,10
no_ln,-1,1.0212997356429696,-0.02129973564296961,10
no_ln,0,1.0079017709940672,-0.007901770994067192,10
no_ln,3,0.9738658061251044,0.026134193874895573,10
no_ln,7,0.9604406654834747,0.03955933451652527,10
no_ln,11,0.9925045587588102,0.0074954412411898375,10
no_ln,15,0.9873943536076695,0.012605646392330527,10
no_ln,19,0.964906819164753,0.03509318083524704,10
no_ln,23,0.0,1.0,10
none,-1,1.0773943215608597,-0.07739432156085968,10
none,0,1.0181881040334702,-0.018188104033470154,10
none,3,1.0726599544286728,-0.07265995442867279,10
none,7,0.8812022358179092,0.11879776418209076,10
none,11,0.9634099900722504,0.036590009927749634,10
none,15,1.0613834629766643,-0.061383462976664305,10
none,19,0.8423704952001572,0.17666486650705338,10
none,23,0.0,1.0,10
