model,site,features,layer,breakdown,cell,accuracy,auc,control_accuracy,selectivity,n,n_groups,pos_frac,converged
starcoder2-3b,sink_arg,surface,-1,all,all,0.4879679144385027,0.4711127474811024,0.5799465240641711,-0.09197860962566845,67,168,0.5,True
starcoder2-3b,sink_arg,surface,-1,family,command_exec,0.49107142857142855,,,,67,168,0.5,True
starcoder2-3b,sink_arg,surface,-1,family,dynamic_exec,0.48214285714285715,,,,67,168,0.5,True
starcoder2-3b,sink_arg,surface,-1,family,sql_exec,0.49107142857142855,,,,67,168,0.5,True
starcoder2-3b,sink_arg,surface,-1,structure,assign_chain,0.47619047619047616,,,,67,168,0.5,True
starcoder2-3b,sink_arg,surface,-1,structure,branch_merge,0.6071428571428571,,,,67,168,0.5,True
starcoder2-3b,sink_arg,surface,-1,structure,direct,0.47619047619047616,,,,67,168,0.5,True
starcoder2-3b,sink_arg,surface,-1,structure,helper,0.39285714285714285,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,-1,all,all,0.4820855614973262,0.4847221030690675,0.5208556149732619,-0.03877005347593576,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,-1,family,command_exec,0.48214285714285715,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,-1,family,dynamic_exec,0.4642857142857143,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,-1,family,sql_exec,0.5,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,-1,structure,assign_chain,0.5,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,-1,structure,branch_merge,0.5,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,-1,structure,direct,0.42857142857142855,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,-1,structure,helper,0.5,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,0,all,all,0.4614973262032086,0.4644319889680066,0.5975935828877005,-0.13609625668449188,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,0,family,command_exec,0.44642857142857145,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,0,family,dynamic_exec,0.48214285714285715,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,0,family,sql_exec,0.45535714285714285,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,0,structure,assign_chain,0.36904761904761907,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,0,structure,branch_merge,0.5476190476190477,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,0,structure,direct,0.5119047619047619,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,0,structure,helper,0.4166666666666667,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,3,all,all,0.8958110516934047,0.9621561637132571,0.5564171122994652,0.33939393939393947,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,3,family,command_exec,0.8660714285714286,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,3,family,dynamic_exec,0.9107142857142857,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,3,family,sql_exec,0.9107142857142857,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,3,structure,assign_chain,0.8095238095238095,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,3,structure,branch_merge,0.9404761904761905,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,3,structure,direct,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,3,structure,helper,0.8333333333333334,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,7,all,all,0.95222816399287,0.9921107901919477,0.5738859180035651,0.3783422459893049,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,7,family,command_exec,0.9553571428571429,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,7,family,dynamic_exec,0.9285714285714286,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,7,family,sql_exec,0.9732142857142857,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,7,structure,assign_chain,0.8452380952380952,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,7,structure,branch_merge,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,7,structure,direct,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,7,structure,helper,0.9642857142857143,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,11,all,all,0.9881461675579324,0.9991243037483993,0.5175579322638146,0.47058823529411775,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,11,family,command_exec,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,11,family,dynamic_exec,0.9732142857142857,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,11,family,sql_exec,0.9910714285714286,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,11,structure,assign_chain,0.9642857142857143,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,11,structure,branch_merge,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,11,structure,direct,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,11,structure,helper,0.9880952380952381,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,15,all,all,0.9970588235294118,0.9998269896193772,0.5172014260249554,0.47985739750445633,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,15,family,command_exec,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,15,family,dynamic_exec,0.9910714285714286,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,15,family,sql_exec,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,15,structure,assign_chain,0.9880952380952381,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,15,structure,branch_merge,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,15,structure,direct,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,15,structure,helper,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,19,all,all,0.9911764705882353,0.9996539792387544,0.5295900178253119,0.4615864527629234,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,19,family,command_exec,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,19,family,dynamic_exec,0.9732142857142857,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,19,family,sql_exec,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,19,structure,assign_chain,0.9761904761904762,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,19,structure,branch_merge,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,19,structure,direct,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,19,structure,helper,0.9880952380952381,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,23,all,all,0.9881461675579324,0.9996539792387544,0.5472370766488414,0.44090909090909103,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,23,family,command_exec,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,23,family,dynamic_exec,0.9642857142857143,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,23,family,sql_exec,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,23,structure,assign_chain,0.9642857142857143,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,23,structure,branch_merge,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,23,structure,direct,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,23,structure,helper,0.9880952380952381,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,27,all,all,0.9910873440285204,0.9994809688581314,0.5383244206773619,0.45276292335115853,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,27,family,command_exec,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,27,family,dynamic_exec,0.9732142857142857,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,27,family,sql_exec,1.0,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,27,structure,assign_chain,0.9761904761904762,,,,67,168,0.5,True
starcoder2-3b,sink_arg,hidden,27,structure,branch_merge,1.0,,,,67,168,0.5,True
