model,condition,obf_level,obf_name,site,features,layer,breakdown,cell,accuracy,n,n_bases,n_pos,n_neg,pos_frac
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,-1,all,all,0.5,144,72,72,72,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,-1,family,command_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,-1,family,dynamic_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,-1,family,sql_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,-1,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,-1,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,-1,structure,direct,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,-1,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,-1,all,all,0.5,144,72,72,72,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,-1,family,command_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,-1,family,dynamic_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,-1,family,sql_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,-1,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,-1,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,-1,structure,direct,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,-1,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,-1,all,all,0.5,144,72,72,72,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,-1,family,command_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,-1,family,dynamic_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,-1,family,sql_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,-1,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,-1,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,-1,structure,direct,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,-1,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,-1,all,all,0.5,144,72,72,72,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,-1,family,command_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,-1,family,dynamic_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,-1,family,sql_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,-1,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,-1,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,-1,structure,direct,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,-1,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,-1,all,all,0.5,144,72,72,72,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,-1,family,command_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,-1,family,dynamic_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,-1,family,sql_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,-1,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,-1,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,-1,structure,direct,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,-1,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,-1,all,all,0.5,144,72,72,72,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,-1,family,command_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,-1,family,dynamic_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,-1,family,sql_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,-1,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,-1,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,-1,structure,direct,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,-1,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,0,all,all,0.4791666666666667,144,72,72,72,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,0,family,command_exec,0.375,48,24,24,24,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,0,family,dynamic_exec,0.5625,48,24,24,24,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,0,family,sql_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,0,structure,assign_chain,0.4722222222222222,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,0,structure,branch_merge,0.4722222222222222,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,0,structure,direct,0.5555555555555556,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,0,structure,helper,0.4166666666666667,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,0,all,all,0.5,144,72,72,72,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,0,family,command_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,0,family,dynamic_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,0,family,sql_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,0,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,0,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,0,structure,direct,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,0,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,0,all,all,0.5,144,72,72,72,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,0,family,command_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,0,family,dynamic_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,0,family,sql_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,0,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,0,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,0,structure,direct,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,0,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,0,all,all,0.5,144,72,72,72,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,0,family,command_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,0,family,dynamic_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,0,family,sql_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,0,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,0,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,0,structure,direct,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,0,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,0,all,all,0.5,144,72,72,72,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,0,family,command_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,0,family,dynamic_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,0,family,sql_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,0,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,0,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,0,structure,direct,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,0,structure,helper,0.5,36,18,18,18,0.5
