model,condition,obf_level,obf_name,site,features,layer,condition_kind,condition_order,arm,relative_depth,breakdown,cell,accuracy,ci_lo,ci_hi,n,n_bases,n_pos,n_neg,pos_frac,frac_predicted_unsafe,acc_unsafe,acc_safe,false_negative_rate,false_positive_rate,pairs_same_label,delta_clean,delta_previous,delta_atomic
starcoder2-3b,clean_heldout,-1,clean,last_token,hidden,-1,clean,-1,embedding,,all,all,0.5,0.5,0.5,144,72,72,72,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,clean_heldout,-1,clean,last_token,hidden,-1,clean,-1,embedding,,family,command_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,clean_heldout,-1,clean,last_token,hidden,-1,clean,-1,embedding,,family,dynamic_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,clean_heldout,-1,clean,last_token,hidden,-1,clean,-1,embedding,,family,sql_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,clean_heldout,-1,clean,last_token,hidden,-1,clean,-1,embedding,,structure,assign_chain,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,clean_heldout,-1,clean,last_token,hidden,-1,clean,-1,embedding,,structure,branch_merge,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,clean_heldout,-1,clean,last_token,hidden,-1,clean,-1,embedding,,structure,direct,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,clean_heldout,-1,clean,last_token,hidden,-1,clean,-1,embedding,,structure,helper,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,normalize,0,normalize,last_token,hidden,-1,baseline,0,embedding,,all,all,0.5,0.5,0.5,144,72,72,72,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,normalize,0,normalize,last_token,hidden,-1,baseline,0,embedding,,family,command_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,normalize,0,normalize,last_token,hidden,-1,baseline,0,embedding,,family,dynamic_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,normalize,0,normalize,last_token,hidden,-1,baseline,0,embedding,,family,sql_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,normalize,0,normalize,last_token,hidden,-1,baseline,0,embedding,,structure,assign_chain,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,normalize,0,normalize,last_token,hidden,-1,baseline,0,embedding,,structure,branch_merge,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,normalize,0,normalize,last_token,hidden,-1,baseline,0,embedding,,structure,direct,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,normalize,0,normalize,last_token,hidden,-1,baseline,0,embedding,,structure,helper,0.5,0.5,0.5,36,18,18,18,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,rename_only,11,rename_only,last_token,hidden,-1,atomic,11,embedding,,all,all,0.5,0.5,0.5,144,72,72,72,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
starcoder2-3b,rename_only,11,rename_only,last_token,hidden,-1,atomic,11,embedding,,family,command_exec,0.5,0.5,0.5,48,24,24,24,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,
