layer,task,accuracy,f1,auc,control_accuracy,selectivity,n_train,n_test,n_groups,pos_frac,converged,notes,tag,tag_value
0,lexical_token_type,1.0,1.0,0.0,0.14579985771894846,0.8542001422810516,16006,4001,419,0.0,False,,,
0,binding,0.9955221587920585,0.992305908969629,0.9999590468460754,0.5502479015519063,0.44527425724015224,13931,3482,500,0.17445733318019985,True,,,
0,binding,0.999670836076366,,,,,13931,3482,500,0.17445733318019985,True,,stratum,positive
0,binding,0.9771769662921348,,,,,13931,3482,500,0.17445733318019985,True,,stratum,same_name_diff_binding
0,binding,0.9998876404494382,,,,,13931,3482,500,0.17445733318019985,True,,stratum,diff_name
0,binding,0.995814307458143,,,,,13931,3482,500,0.17445733318019985,True,,stratum,distance_matched
0,binding,0.999652113411028,,,,,13931,3482,500,0.17445733318019985,True,,distance,dist_0_10
0,binding,0.9937532535137948,,,,,13931,3482,500,0.17445733318019985,True,,distance,dist_10_50
0,binding,0.9712230215827338,,,,,13931,3482,500,0.17445733318019985,True,,distance,dist_50_200
0,defuse_edge,0.9949560010396874,0.9925220013189856,0.9999533899823476,0.5561724117172613,0.4387835893224261,9832,2458,500,0.2117809779513465,True,,,
0,defuse_edge,0.9992316557817903,,,,,9832,2458,500,0.2117809779513465,True,,stratum,positive
0,defuse_edge,0.9645641389085755,,,,,9832,2458,500,0.2117809779513465,True,,stratum,same_name_diff_binding
0,defuse_edge,0.9998493522145224,,,,,9832,2458,500,0.2117809779513465,True,,stratum,diff_name
0,defuse_edge,0.9945088468578401,,,,,9832,2458,500,0.2117809779513465,True,,stratum,distance_matched
0,defuse_edge,0.9957471264367816,,,,,9832,2458,500,0.2117809779513465,True,,distance,dist_10_50
0,defuse_edge,0.9934949733885275,,,,,9832,2458,500,0.2117809779513465,True,,distance,dist_0_10
0,defuse_edge,0.9856459330143541,,,,,9832,2458,500,0.2117809779513465,True,,distance,dist_50_200
0,control_dep,1.0,1.0,1.0,0.5280735587344373,0.4719264412655627,925,231,209,0.4044943820224719,True,,,
0,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,stratum,positive
0,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,stratum,non_dependent
0,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,distance,dist_0_10
0,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,distance,dist_10_50
0,control_dep,1.0,,,,,925,231,209,0.4044943820224719,True,,distance,dist_50_200
0,taint_state,1.0,1.0,1.0,0.475,0.525,320,80,200,0.5,True,,,
3,lexical_token_type,1.0,1.0,0.0,0.15339191059291712,0.8466080894070829,16006,4001,419,0.0,False,,,
3,binding,0.9995407366643558,0.999204430861735,0.9999986308122022,0.5813522720789642,0.4181884645853916,13931,3482,500,0.17445733318019985,True,,,
3,binding,1.0,,,,,13931,3482,500,0.17445733318019985,True,,stratum,positive
3,binding,0.9989466292134831,,,,,13931,3482,500,0.17445733318019985,True,,stratum,same_name_diff_binding
3,binding,0.9998876404494382,,,,,13931,3482,500,0.17445733318019985,True,,stratum,diff_name
3,binding,0.9984779299847792,,,,,13931,3482,500,0.17445733318019985,True,,stratum,distance_matched
3,binding,0.999826056705514,,,,,13931,3482,500,0.17445733318019985,True,,distance,dist_0_10
3,binding,0.9993926774249523,,,,,13931,3482,500,0.17445733318019985,True,,distance,dist_10_50
3,binding,1.0,,,,,13931,3482,500,0.17445733318019985,True,,distance,dist_50_200
3,defuse_edge,0.9991863303498778,0.9987906304859522,1.0,0.5647978209294267,0.43438850942045115,9832,2458,500,0.2117809779513465,True,,,
