layer,task,accuracy,f1,auc,control_accuracy,selectivity,n_train,n_test,n_groups,pos_frac,converged,control_converged,notes,tag,tag_value,features
-1,binding,0.7978987550839003,0.7396938760109177,0.9050531469356649,0.5448718795636038,0.25302687552029646,16063,4015,423,0.17550674834404104,True,True,,,,surface
-1,binding,0.926822241428983,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,positive,surface
-1,binding,0.8826638477801269,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,same_name_diff_binding,surface
-1,binding,0.7292748605501058,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,diff_name,surface
-1,binding,0.8153704837721985,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,distance_matched,surface
-1,binding,0.5,,,,,16063,4015,423,0.17550674834404104,True,True,,stratum,context_matched,surface
-1,binding,0.7790163440536265,,,,,16063,4015,423,0.17550674834404104,True,True,,distance,dist_10_50,surface
-1,binding,0.6555023923444976,,,,,16063,4015,423,0.17550674834404104,True,True,,distance,dist_50_200,surface
-1,binding,0.883873384528938,,,,,16063,4015,423,0.17550674834404104,True,True,,distance,dist_0_10,surface
-1,defuse_edge,0.682132963348282,0.6299669368090868,0.7703872248091079,0.5348054548516521,0.1473275084966299,16036,4009,607,0.20093784296118927,True,True,,,,surface
-1,defuse_edge,0.7731984829329962,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,positive,surface
-1,defuse_edge,0.7762345679012346,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,same_name_diff_binding,surface
-1,defuse_edge,0.6486214161399652,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,diff_name,surface
-1,defuse_edge,0.6332684824902723,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,distance_matched,surface
-1,defuse_edge,0.5,,,,,16036,4009,607,0.20093784296118927,True,True,,stratum,context_matched,surface
-1,defuse_edge,0.7975589225589226,,,,,16036,4009,607,0.20093784296118927,True,True,,distance,dist_0_10,surface
-1,defuse_edge,0.6359390552025113,,,,,16036,4009,607,0.20093784296118927,True,True,,distance,dist_10_50,surface
-1,defuse_edge,0.7066726377071205,,,,,16036,4009,607,0.20093784296118927,True,True,,distance,dist_50_200,surface
