layer,task,accuracy,f1,auc,control_accuracy,selectivity,n_train,n_test,n_groups,pos_frac,converged,control_converged,notes,tag,tag_value,features
-1,binding,0.7719414384217775,0.7124170670065457,0.8709177390344467,0.5382639401387015,0.23367749828307605,16024,4006,421,0.1746879680479281,True,True,,,,surface
-1,binding,0.9091700522344748,,,,,16024,4006,421,0.1746879680479281,True,True,,stratum,positive,surface
-1,binding,0.865983026874116,,,,,16024,4006,421,0.1746879680479281,True,True,,stratum,same_name_diff_binding,surface
-1,binding,0.7144241015208758,,,,,16024,4006,421,0.1746879680479281,True,True,,stratum,diff_name,surface
-1,binding,0.7366997294860235,,,,,16024,4006,421,0.1746879680479281,True,True,,stratum,distance_matched,surface
-1,binding,0.5,,,,,16024,4006,421,0.1746879680479281,True,True,,stratum,context_matched,surface
-1,binding,0.7548188126445644,,,,,16024,4006,421,0.1746879680479281,True,True,,distance,dist_10_50,surface
-1,binding,0.8388372893016856,,,,,16024,4006,421,0.1746879680479281,True,True,,distance,dist_0_10,surface
-1,binding,0.637239165329053,,,,,16024,4006,421,0.1746879680479281,True,True,,distance,dist_50_200,surface
-1,defuse_edge,0.6583720650399848,0.6087752251369626,0.7469867653277803,0.5348876504796651,0.12348441456031967,16016,4004,601,0.1981918985065681,True,True,,,,surface
-1,defuse_edge,0.7755259107234479,,,,,16016,4004,601,0.1981918985065681,True,True,,stratum,positive,surface
-1,defuse_edge,0.7047368421052631,,,,,16016,4004,601,0.1981918985065681,True,True,,stratum,same_name_diff_binding,surface
-1,defuse_edge,0.6371335504885993,,,,,16016,4004,601,0.1981918985065681,True,True,,stratum,diff_name,surface
-1,defuse_edge,0.5698022768124625,,,,,16016,4004,601,0.1981918985065681,True,True,,stratum,distance_matched,surface
-1,defuse_edge,0.5,,,,,16016,4004,601,0.1981918985065681,True,True,,stratum,context_matched,surface
-1,defuse_edge,0.7698992005561348,,,,,16016,4004,601,0.1981918985065681,True,True,,distance,dist_0_10,surface
-1,defuse_edge,0.6115615372142046,,,,,16016,4004,601,0.1981918985065681,True,True,,distance,dist_10_50,surface
-1,defuse_edge,0.6244180031039834,,,,,16016,4004,601,0.1981918985065681,True,True,,distance,dist_50_200,surface
-1,control_dep,0.9264520545393774,0.9127874638958667,0.9894713049152566,0.5772194055992721,0.3492326489401053,2450,612,289,0.27685275873326803,True,True,,,,surface
-1,control_dep,0.9599056603773585,,,,,2450,612,289,0.27685275873326803,True,True,,stratum,positive,surface
-1,control_dep,1.0,,,,,2450,612,289,0.27685275873326803,True,True,,stratum,non_dependent,surface
-1,control_dep,0.6712328767123288,,,,,2450,612,289,0.27685275873326803,True,True,,stratum,indent_matched,surface
-1,control_dep,0.8600508905852418,,,,,2450,612,289,0.27685275873326803,True,True,,distance,dist_0_10,surface
-1,control_dep,0.9396775871034841,,,,,2450,612,289,0.27685275873326803,True,True,,distance,dist_10_50,surface
-1,control_dep,1.0,,,,,2450,612,289,0.27685275873326803,True,True,,distance,dist_50_200,surface
-1,lexical_token_type,1.0,1.0,0.0,0.16077407207989008,0.83922592792011,16021,4005,371,0.0,True,False,,,,hidden
-1,binding,0.8243819986485157,0.7736171110769346,0.9237957272712591,0.5491908096860852,0.27519118896243044,16024,4006,421,0.1746879680479281,True,True,,,,hidden
-1,binding,0.9991294254207778,,,,,16024,4006,421,0.1746879680479281,True,True,,stratum,positive,hidden
-1,binding,0.0021216407355021216,,,,,16024,4006,421,0.1746879680479281,True,True,,stratum,same_name_diff_binding,hidden
-1,binding,0.999515644676935,,,,,16024,4006,421,0.1746879680479281,True,True,,stratum,diff_name,hidden
-1,binding,0.8121430718364894,,,,,16024,4006,421,0.1746879680479281,True,True,,stratum,distance_matched,hidden
-1,binding,0.5,,,,,16024,4006,421,0.1746879680479281,True,True,,stratum,context_matched,hidden
-1,binding,0.7986121819583655,,,,,16024,4006,421,0.1746879680479281,True,True,,distance,dist_10_50,hidden
-1,binding,0.8579291365669075,,,,,16024,4006,421,0.1746879680479281,True,True,,distance,dist_0_10,hidden
-1,binding,0.9438202247191011,,,,,16024,4006,421,0.1746879680479281,True,True,,distance,dist_50_200,hidden
-1,defuse_edge,0.8656600220005448,0.8276833271909456,0.9500582128720485,0.5014943673305126,0.36416565467003226,16016,4004,601,0.1981918985065681,True,True,,,,hidden
-1,defuse_edge,0.9984607491021037,,,,,16016,4004,601,0.1981918985065681,True,True,,stratum,positive,hidden
-1,defuse_edge,0.003157894736842105,,,,,16016,4004,601,0.1981918985065681,True,True,,stratum,same_name_diff_binding,hidden
-1,defuse_edge,0.9997208003722662,,,,,16016,4004,601,0.1981918985065681,True,True,,stratum,diff_name,hidden
-1,defuse_edge,0.7852007189934093,,,,,16016,4004,601,0.1981918985065681,True,True,,stratum,distance_matched,hidden
-1,defuse_edge,0.5,,,,,16016,4004,601,0.1981918985065681,True,True,,stratum,context_matched,hidden
-1,defuse_edge,0.8614876607577338,,,,,16016,4004,601,0.1981918985065681,True,True,,distance,dist_0_10,hidden
-1,defuse_edge,0.8523593319280038,,,,,16016,4004,601,0.1981918985065681,True,True,,distance,dist_10_50,hidden
-1,defuse_edge,0.9627521986549405,,,,,16016,4004,601,0.1981918985065681,True,True,,distance,dist_50_200,hidden
-1,control_dep,0.8058823793592967,0.7275503116321571,0.7428473459027222,0.6556220085485555,0.15026037081074128,2450,612,289,0.27685275873326803,True,True,,,,hidden
-1,control_dep,0.48702830188679247,,,,,2450,612,289,0.27685275873326803,True,True,,stratum,positive,hidden
-1,control_dep,0.9031269160024524,,,,,2450,612,289,0.27685275873326803,True,True,,stratum,non_dependent,hidden
-1,control_dep,1.0,,,,,2450,612,289,0.27685275873326803,True,True,,stratum,indent_matched,hidden
-1,control_dep,0.6348600508905853,,,,,2450,612,289,0.27685275873326803,True,True,,distance,dist_0_10,hidden
-1,control_dep,0.842953718148726,,,,,2450,612,289,0.27685275873326803,True,True,,distance,dist_10_50,hidden
-1,control_dep,0.9887005649717514,,,,,2450,612,289,0.27685275873326803,True,True,,distance,dist_50_200,hidden
-1,taint_state,0.75,0.7333333333333334,0.875,0.505,0.245,320,80,200,0.5,True,True,,,,hidden
0,lexical_token_type,1.0,1.0,0.0,0.1756801116059143,0.8243198883940857,16021,4005,371,0.0,True,False,,,,hidden
