layer,task,accuracy,f1,auc,control_accuracy,selectivity,n_train,n_test,n_groups,pos_frac,converged,control_converged,notes,tag,tag_value,features
-1,binding,0.6869612226189896,0.582495374824642,0.6718403386903304,0.618875324779964,0.06808589783902563,16142,4035,182,0.21255823173753594,True,True,,,,surface
-1,binding,0.4401958498484495,,,,,16142,4035,182,0.21255823173753594,True,True,,stratum,positive,surface
-1,binding,0.7472788804536724,,,,,16142,4035,182,0.21255823173753594,True,True,,stratum,diff_name,surface
-1,binding,0.7580402010050251,,,,,16142,4035,182,0.21255823173753594,True,True,,stratum,distance_matched,surface
-1,binding,0.8227459016393442,,,,,16142,4035,182,0.21255823173753594,True,True,,stratum,same_name_diff_binding,surface
-1,binding,0.646432076265246,,,,,16142,4035,182,0.21255823173753594,True,True,,distance,dist_10_50,surface
-1,binding,0.6908947487040793,,,,,16142,4035,182,0.21255823173753594,True,True,,distance,dist_50_200,surface
-1,binding,0.7797333333333333,,,,,16142,4035,182,0.21255823173753594,True,True,,distance,dist_0_10,surface
-1,binding,0.7290940766550522,,,,,16142,4035,182,0.21255823173753594,True,True,,distance,dist_200_100000,surface
-1,defuse_edge,0.5856751314996375,0.5187045045296251,0.5813677290609535,0.637085564574387,-0.05141043307474957,8111,2027,199,0.2114606963211362,True,True,,,,surface
-1,defuse_edge,0.5041977611940298,,,,,8111,2027,199,0.2114606963211362,True,True,,stratum,positive,surface
-1,defuse_edge,0.627914951989026,,,,,8111,2027,199,0.2114606963211362,True,True,,stratum,diff_name,surface
-1,defuse_edge,0.711864406779661,,,,,8111,2027,199,0.2114606963211362,True,True,,stratum,same_name_diff_binding,surface
-1,defuse_edge,0.524541691306919,,,,,8111,2027,199,0.2114606963211362,True,True,,stratum,distance_matched,surface
-1,defuse_edge,0.6071990558615263,,,,,8111,2027,199,0.2114606963211362,True,True,,distance,dist_50_200,surface
-1,defuse_edge,0.4064930672979371,,,,,8111,2027,199,0.2114606963211362,True,True,,distance,dist_10_50,surface
-1,defuse_edge,0.7772215269086358,,,,,8111,2027,199,0.2114606963211362,True,True,,distance,dist_200_100000,surface
-1,defuse_edge,0.87,,,,,8111,2027,199,0.2114606963211362,True,True,,distance,dist_0_10,surface
-1,control_dep,0.7273903814822271,0.6702889267253405,0.7436519850362108,0.5955363186722451,0.13185406280998202,2058,514,122,0.2938204430625729,True,True,,,,surface
-1,control_dep,0.5251322751322751,,,,,2058,514,122,0.2938204430625729,True,True,,stratum,positive,surface
-1,control_dep,0.8401453224341507,,,,,2058,514,122,0.2938204430625729,True,True,,stratum,non_dependent,surface
-1,control_dep,0.7751396648044693,,,,,2058,514,122,0.2938204430625729,True,True,,stratum,indent_matched,surface
-1,control_dep,0.7280701754385965,,,,,2058,514,122,0.2938204430625729,True,True,,distance,dist_0_10,surface
-1,control_dep,0.6325431034482759,,,,,2058,514,122,0.2938204430625729,True,True,,distance,dist_10_50,surface
-1,control_dep,0.7525298988040479,,,,,2058,514,122,0.2938204430625729,True,True,,distance,dist_50_200,surface
-1,control_dep,0.9272727272727272,,,,,2058,514,122,0.2938204430625729,True,True,,distance,dist_200_100000,surface
-1,lexical_token_type,0.9974980480233515,0.9972693296392702,0.0,0.15941580053603688,0.8380822474873146,16346,4086,108,0.0,True,False,,,,hidden
-1,binding,0.9118870599560264,0.8823946147852567,0.9694006007114148,0.5912515129635985,0.3206355469924279,16142,4035,182,0.21255823173753594,True,True,,,,hidden
-1,binding,0.9594311028211704,,,,,16142,4035,182,0.21255823173753594,True,True,,stratum,positive,hidden
-1,binding,0.9657001737857861,,,,,16142,4035,182,0.21255823173753594,True,True,,stratum,diff_name,hidden
-1,binding,0.9329145728643216,,,,,16142,4035,182,0.21255823173753594,True,True,,stratum,distance_matched,hidden
-1,binding,0.022540983606557378,,,,,16142,4035,182,0.21255823173753594,True,True,,stratum,same_name_diff_binding,hidden
-1,binding,0.9179868218141035,,,,,16142,4035,182,0.21255823173753594,True,True,,distance,dist_10_50,hidden
-1,binding,0.9055668244309218,,,,,16142,4035,182,0.21255823173753594,True,True,,distance,dist_50_200,hidden
-1,binding,0.9210666666666667,,,,,16142,4035,182,0.21255823173753594,True,True,,distance,dist_0_10,hidden
-1,binding,0.9133275261324042,,,,,16142,4035,182,0.21255823173753594,True,True,,distance,dist_200_100000,hidden
-1,defuse_edge,0.9184195649936557,0.8906876118892528,0.9630856364761838,0.5935161356470046,0.3249034293466512,8111,2027,199,0.2114606963211362,True,True,,,,hidden
-1,defuse_edge,0.9762126865671642,,,,,8111,2027,199,0.2114606963211362,True,True,,stratum,positive,hidden
-1,defuse_edge,0.9619341563786008,,,,,8111,2027,199,0.2114606963211362,True,True,,stratum,diff_name,hidden
-1,defuse_edge,0.01059322033898305,,,,,8111,2027,199,0.2114606963211362,True,True,,stratum,same_name_diff_binding,hidden
-1,defuse_edge,0.9503252513305737,,,,,8111,2027,199,0.2114606963211362,True,True,,stratum,distance_matched,hidden
-1,defuse_edge,0.9217151848937845,,,,,8111,2027,199,0.2114606963211362,True,True,,distance,dist_50_200,hidden
-1,defuse_edge,0.9296584376056815,,,,,8111,2027,199,0.2114606963211362,True,True,,distance,dist_10_50,hidden
-1,defuse_edge,0.9224030037546934,,,,,8111,2027,199,0.2114606963211362,True,True,,distance,dist_200_100000,hidden
-1,defuse_edge,0.812,,,,,8111,2027,199,0.2114606963211362,True,True,,distance,dist_0_10,hidden
-1,control_dep,0.5815638371354991,0.5494828958477528,0.6076134944902185,0.5438621675746227,0.037701669560876394,2058,514,122,0.2938204430625729,True,True,,,,hidden
-1,control_dep,0.5357142857142857,,,,,2058,514,122,0.2938204430625729,True,True,,stratum,positive,hidden
-1,control_dep,0.6575840145322435,,,,,2058,514,122,0.2938204430625729,True,True,,stratum,non_dependent,hidden
-1,control_dep,0.5181564245810056,,,,,2058,514,122,0.2938204430625729,True,True,,stratum,indent_matched,hidden
-1,control_dep,0.6403508771929824,,,,,2058,514,122,0.2938204430625729,True,True,,distance,dist_0_10,hidden
-1,control_dep,0.5872844827586207,,,,,2058,514,122,0.2938204430625729,True,True,,distance,dist_10_50,hidden
-1,control_dep,0.5519779208831647,,,,,2058,514,122,0.2938204430625729,True,True,,distance,dist_50_200,hidden
-1,control_dep,0.6333333333333333,,,,,2058,514,122,0.2938204430625729,True,True,,distance,dist_200_100000,hidden
0,lexical_token_type,0.9983522334557364,0.9978577052567674,0.0,0.19172287859918138,0.8066293548565551,16346,4086,108,0.0,True,True,,,,hidden
0,binding,0.911356274898357,0.8822619638892212,0.9743813471533314,0.583687246736977,0.32766902816138,16142,4035,182,0.21255823173753594,True,True,,,,hidden
0,binding,0.9696899044066216,,,,,16142,4035,182,0.21255823173753594,True,True,,stratum,positive,hidden
