model,lens,layer,site,condition,condition_kind,condition_order,cosine_to_clean
deepseek-coder-6.7b,jlens,-1,last_token,clean_heldout,clean,-1,
deepseek-coder-6.7b,jlens,-1,last_token,normalize,baseline,0,
deepseek-coder-6.7b,jlens,-1,last_token,rename_only,atomic,11,
deepseek-coder-6.7b,jlens,-1,last_token,opaque_only,atomic,12,
deepseek-coder-6.7b,jlens,-1,last_token,encode_only,atomic,13,
deepseek-coder-6.7b,jlens,-1,last_token,flatten_only,atomic,14,
deepseek-coder-6.7b,jlens,-1,last_token,rename_cumulative,cumulative,21,
deepseek-coder-6.7b,jlens,-1,last_token,rename_opaque,cumulative,22,
deepseek-coder-6.7b,jlens,-1,last_token,rename_opaque_encode,cumulative,23,
deepseek-coder-6.7b,jlens,-1,last_token,rename_opaque_encode_flatten,cumulative,24,
deepseek-coder-6.7b,jlens,0,last_token,clean_heldout,clean,-1,0.9999999999999994
deepseek-coder-6.7b,jlens,0,last_token,normalize,baseline,0,-0.03046259159230574
deepseek-coder-6.7b,jlens,0,last_token,rename_only,atomic,11,-0.2115582621129741
deepseek-coder-6.7b,jlens,0,last_token,opaque_only,atomic,12,-0.08667354450197699
deepseek-coder-6.7b,jlens,0,last_token,encode_only,atomic,13,0.021148142681906137
deepseek-coder-6.7b,jlens,0,last_token,flatten_only,atomic,14,-0.06804384743511756
deepseek-coder-6.7b,jlens,0,last_token,rename_cumulative,cumulative,21,-0.008784999081891244
deepseek-coder-6.7b,jlens,0,last_token,rename_opaque,cumulative,22,-0.14264724434295825
deepseek-coder-6.7b,jlens,0,last_token,rename_opaque_encode,cumulative,23,0.09847417799352912
deepseek-coder-6.7b,jlens,0,last_token,rename_opaque_encode_flatten,cumulative,24,-0.39599993731245464
deepseek-coder-6.7b,jlens,3,last_token,clean_heldout,clean,-1,1.0000000000000002
deepseek-coder-6.7b,jlens,3,last_token,normalize,baseline,0,0.07887721905099389
deepseek-coder-6.7b,jlens,3,last_token,rename_only,atomic,11,0.06814039568052606
deepseek-coder-6.7b,jlens,3,last_token,opaque_only,atomic,12,0.03654980453361869
deepseek-coder-6.7b,jlens,3,last_token,encode_only,atomic,13,0.055875652570354276
deepseek-coder-6.7b,jlens,3,last_token,flatten_only,atomic,14,-0.0852066341632815
deepseek-coder-6.7b,jlens,3,last_token,rename_cumulative,cumulative,21,-0.15047690309620296
deepseek-coder-6.7b,jlens,3,last_token,rename_opaque,cumulative,22,-0.1321699487918625
deepseek-coder-6.7b,jlens,3,last_token,rename_opaque_encode,cumulative,23,-0.24005470791710984
deepseek-coder-6.7b,jlens,3,last_token,rename_opaque_encode_flatten,cumulative,24,0.08005201774170638
deepseek-coder-6.7b,jlens,7,last_token,clean_heldout,clean,-1,1.0000000000000002
deepseek-coder-6.7b,jlens,7,last_token,normalize,baseline,0,0.30091738618702235
deepseek-coder-6.7b,jlens,7,last_token,rename_only,atomic,11,0.3036138849860245
deepseek-coder-6.7b,jlens,7,last_token,opaque_only,atomic,12,0.30134165323193024
deepseek-coder-6.7b,jlens,7,last_token,encode_only,atomic,13,0.28719116683579493
deepseek-coder-6.7b,jlens,7,last_token,flatten_only,atomic,14,0.18528115471068382
deepseek-coder-6.7b,jlens,7,last_token,rename_cumulative,cumulative,21,0.2044089934532521
deepseek-coder-6.7b,jlens,7,last_token,rename_opaque,cumulative,22,0.18326820678623396
deepseek-coder-6.7b,jlens,7,last_token,rename_opaque_encode,cumulative,23,0.21476897873955364
deepseek-coder-6.7b,jlens,7,last_token,rename_opaque_encode_flatten,cumulative,24,-0.09408298765258258
deepseek-coder-6.7b,jlens,11,last_token,clean_heldout,clean,-1,1.0
deepseek-coder-6.7b,jlens,11,last_token,normalize,baseline,0,0.5147828411833979
deepseek-coder-6.7b,jlens,11,last_token,rename_only,atomic,11,0.4525032517337603
deepseek-coder-6.7b,jlens,11,last_token,opaque_only,atomic,12,0.47294362346459573
deepseek-coder-6.7b,jlens,11,last_token,encode_only,atomic,13,0.5136383882871914
deepseek-coder-6.7b,jlens,11,last_token,flatten_only,atomic,14,0.09760894635034303
deepseek-coder-6.7b,jlens,11,last_token,rename_cumulative,cumulative,21,0.42533449729009004
deepseek-coder-6.7b,jlens,11,last_token,rename_opaque,cumulative,22,0.3564238575144358
deepseek-coder-6.7b,jlens,11,last_token,rename_opaque_encode,cumulative,23,0.32555984598098536
deepseek-coder-6.7b,jlens,11,last_token,rename_opaque_encode_flatten,cumulative,24,0.017775123562386797
deepseek-coder-6.7b,jlens,15,last_token,clean_heldout,clean,-1,1.0000000000000002
deepseek-coder-6.7b,jlens,15,last_token,normalize,baseline,0,0.6081298206895193
deepseek-coder-6.7b,jlens,15,last_token,rename_only,atomic,11,0.5554244864867661
deepseek-coder-6.7b,jlens,15,last_token,opaque_only,atomic,12,0.5265904175504202
deepseek-coder-6.7b,jlens,15,last_token,encode_only,atomic,13,0.5723670509006634
deepseek-coder-6.7b,jlens,15,last_token,flatten_only,atomic,14,-0.03723169696966
deepseek-coder-6.7b,jlens,15,last_token,rename_cumulative,cumulative,21,0.5418412361931167
deepseek-coder-6.7b,jlens,15,last_token,rename_opaque,cumulative,22,0.4985634109232085
deepseek-coder-6.7b,jlens,15,last_token,rename_opaque_encode,cumulative,23,0.4574385017420265
deepseek-coder-6.7b,jlens,15,last_token,rename_opaque_encode_flatten,cumulative,24,-0.023417568226232584
deepseek-coder-6.7b,jlens,19,last_token,clean_heldout,clean,-1,1.0000000000000002
deepseek-coder-6.7b,jlens,19,last_token,normalize,baseline,0,0.5172993719964057
deepseek-coder-6.7b,jlens,19,last_token,rename_only,atomic,11,0.4727654530900336
deepseek-coder-6.7b,jlens,19,last_token,opaque_only,atomic,12,0.4141790153452749
deepseek-coder-6.7b,jlens,19,last_token,encode_only,atomic,13,0.48447333630722567
deepseek-coder-6.7b,jlens,19,last_token,flatten_only,atomic,14,0.19359433064986822
