model,arm,lens,layer,site,condition,condition_kind,condition_order,relative_depth,n_pairs,mean_delta_contrast_z,mean_delta_contrast_prob,sign_consistency_z,sign_consistency_prob,mean_contrast_prob_unsafe,mean_contrast_prob_safe,permutation_effect_size,permutation_p,permutation_null_sd,anchor_token_same_frac,corr_contrast_entropy,corr_contrast_norm,mean_delta_entropy,topk_enrichment_positive,topk_enrichment_negative,topk_enrichment_random,concept_rank_best
deepseek-coder-1.3b,mismatched_pairs,jlens,-1,last_token,clean_heldout,clean,-1,,72,0.0,0.0,0.0,0.0,-0.010132651423046535,-0.010132651423046535,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-1.3b,mismatched_pairs,jlens,-1,last_token,normalize,baseline,0,,72,0.0,0.0,0.0,0.0,-0.011022392828490442,-0.011022392828490442,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-1.3b,mismatched_pairs,jlens,-1,last_token,rename_only,atomic,11,,72,0.0,0.0,0.0,0.0,-0.011022392828490442,-0.011022392828490442,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-1.3b,mismatched_pairs,jlens,-1,last_token,opaque_only,atomic,12,,72,0.02591414205551233,0.00010701248560648392,0.2222222222222222,0.2222222222222222,-0.011272088628238901,-0.011379101113845387,1.1962377924641978,0.312,0.022038528362743483,0.6388888888888888,0.9999999999999993,-0.9999999999999992,0.00047275001932275035,0.0,0.0,0.0625,96.0
deepseek-coder-1.3b,mismatched_pairs,jlens,-1,last_token,encode_only,atomic,13,,72,0.0,0.0,0.0,0.0,-0.011022392828490442,-0.011022392828490442,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-1.3b,mismatched_pairs,jlens,-1,last_token,flatten_only,atomic,14,,72,-0.009691173456015048,-7.4221787681949894e-06,0.4444444444444444,0.5277777777777778,-0.012391233833085016,-0.012383811654316821,-0.27693523983775303,0.806,0.03629673759915312,0.041666666666666664,-0.28741339115084413,0.15952534976254606,-3.623269051867951e-05,0.0,0.0,0.03125,147.0
deepseek-coder-1.3b,mismatched_pairs,jlens,-1,last_token,rename_cumulative,cumulative,21,,72,0.0,0.0,0.0,0.0,-0.011022392828490442,-0.011022392828490442,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-1.3b,mismatched_pairs,jlens,-1,last_token,rename_opaque,cumulative,22,,72,-0.021226410352709193,-0.00011310107985701563,0.2222222222222222,0.2222222222222222,-0.011544117529312111,-0.011431016449455095,-0.842785130702656,0.402,0.025535997054528147,0.5,0.7065816280319455,-0.5324624891890242,-0.00039978916092858134,0.0,0.0,0.03125,71.0
deepseek-coder-1.3b,mismatched_pairs,jlens,-1,last_token,rename_opaque_encode,cumulative,23,,72,0.0048944075638475935,-3.896465483543622e-05,0.2222222222222222,0.20833333333333334,-0.011403277335949306,-0.011364312681113872,0.25151842700123017,0.852,0.024403372385338414,0.5694444444444444,0.6514271833248205,-0.4359922294113869,-0.00014964829821032902,0.0,0.0,0.03125,23.0
deepseek-coder-1.3b,mismatched_pairs,jlens,-1,last_token,rename_opaque_encode_flatten,cumulative,24,,72,-0.0065700412994842755,-5.491441521532901e-05,0.4166666666666667,0.375,-0.012464603906533386,-0.012409689491318055,-0.25754805892427146,0.84,0.0337307626866477,0.125,-0.0707201807693597,-0.05624868821468904,-0.00016788235004932476,0.0,0.0,0.0625,71.0
