model,layer,site,condition,lens_a,lens_b,cosine,spearman,n_tokens
starcoder2-3b,-1,last_token,clean_heldout,jlens,logit,,,196
starcoder2-3b,-1,last_token,clean_heldout,jlens,rlens,,,196
starcoder2-3b,-1,last_token,clean_heldout,logit,rlens,,,196
starcoder2-3b,-1,last_token,encode_only,jlens,logit,,,196
starcoder2-3b,-1,last_token,encode_only,jlens,rlens,,,196
starcoder2-3b,-1,last_token,encode_only,logit,rlens,,,196
starcoder2-3b,-1,last_token,flatten_only,jlens,logit,,,196
starcoder2-3b,-1,last_token,flatten_only,jlens,rlens,,,196
starcoder2-3b,-1,last_token,flatten_only,logit,rlens,,,196
starcoder2-3b,-1,last_token,normalize,jlens,logit,,,196
starcoder2-3b,-1,last_token,normalize,jlens,rlens,,,196
starcoder2-3b,-1,last_token,normalize,logit,rlens,,,196
starcoder2-3b,-1,last_token,opaque_only,jlens,logit,,,196
starcoder2-3b,-1,last_token,opaque_only,jlens,rlens,,,196
starcoder2-3b,-1,last_token,opaque_only,logit,rlens,,,196
starcoder2-3b,-1,last_token,rename_cumulative,jlens,logit,,,196
starcoder2-3b,-1,last_token,rename_cumulative,jlens,rlens,,,196
starcoder2-3b,-1,last_token,rename_cumulative,logit,rlens,,,196
starcoder2-3b,-1,last_token,rename_only,jlens,logit,,,196
starcoder2-3b,-1,last_token,rename_only,jlens,rlens,,,196
starcoder2-3b,-1,last_token,rename_only,logit,rlens,,,196
starcoder2-3b,-1,last_token,rename_opaque,jlens,logit,,,196
starcoder2-3b,-1,last_token,rename_opaque,jlens,rlens,,,196
starcoder2-3b,-1,last_token,rename_opaque,logit,rlens,,,196
starcoder2-3b,-1,last_token,rename_opaque_encode,jlens,logit,,,196
starcoder2-3b,-1,last_token,rename_opaque_encode,jlens,rlens,,,196
starcoder2-3b,-1,last_token,rename_opaque_encode,logit,rlens,,,196
starcoder2-3b,-1,last_token,rename_opaque_encode_flatten,jlens,logit,,,196
starcoder2-3b,-1,last_token,rename_opaque_encode_flatten,jlens,rlens,,,196
starcoder2-3b,-1,last_token,rename_opaque_encode_flatten,logit,rlens,,,196
starcoder2-3b,0,last_token,clean_heldout,jlens,logit,0.15890378156550397,0.1616046027938704,196
starcoder2-3b,0,last_token,clean_heldout,jlens,rlens,0.6459873118499299,0.6136059734319342,196
starcoder2-3b,0,last_token,clean_heldout,logit,rlens,0.14171702837427147,0.1139924614906486,196
starcoder2-3b,0,last_token,encode_only,jlens,logit,0.12134213207764062,0.10133159081672498,196
starcoder2-3b,0,last_token,encode_only,jlens,rlens,0.6982101748493249,0.6598203826630223,196
starcoder2-3b,0,last_token,encode_only,logit,rlens,0.10212809428057,0.02523249049717505,196
starcoder2-3b,0,last_token,flatten_only,jlens,logit,0.16996114772367557,0.1772059702444039,196
starcoder2-3b,0,last_token,flatten_only,jlens,rlens,0.668938149147985,0.6268597247567517,196
starcoder2-3b,0,last_token,flatten_only,logit,rlens,0.1431533498655823,0.13480384734917006,196
starcoder2-3b,0,last_token,normalize,jlens,logit,0.14898420810034077,0.11293738893448829,196
starcoder2-3b,0,last_token,normalize,jlens,rlens,0.7016338564902583,0.6740925499446168,196
starcoder2-3b,0,last_token,normalize,logit,rlens,0.10799335992493553,0.03539752488265904,196
