model,lens,layer,is_control,next_token_top1,next_token_mrr,n_eval,final_layer_rank_agreement,relevance_conservation,n_candidates,n_lens_samples,weak_fidelity,warnings
deepseek-coder-6.7b,gram_random,-1,1,,,0,0.06926985632206809,,196,0,1,final-layer rank agreement 0.069 < 0.3
deepseek-coder-6.7b,gram_random,0,1,,,0,-0.11568699248539713,,196,0,1,final-layer rank agreement -0.116 < 0.3
deepseek-coder-6.7b,gram_random,3,1,,,0,-0.11074133987839571,,196,0,1,final-layer rank agreement -0.111 < 0.3
deepseek-coder-6.7b,gram_random,7,1,,,0,-0.026277920773932373,,196,0,1,final-layer rank agreement -0.026 < 0.3
deepseek-coder-6.7b,gram_random,11,1,,,0,-0.05068181274852775,,196,0,1,final-layer rank agreement -0.051 < 0.3
deepseek-coder-6.7b,gram_random,15,1,,,0,-0.0148525368757421,,196,0,1,final-layer rank agreement -0.015 < 0.3
deepseek-coder-6.7b,gram_random,19,1,,,0,0.017718166532524764,,196,0,1,final-layer rank agreement 0.018 < 0.3
deepseek-coder-6.7b,gram_random,23,1,,,0,-0.04072647801799362,,196,0,1,final-layer rank agreement -0.041 < 0.3
deepseek-coder-6.7b,gram_random,27,1,,,0,0.008080827801639988,,196,0,1,final-layer rank agreement 0.008 < 0.3
deepseek-coder-6.7b,gram_random,31,1,,,0,0.03803054450987736,,196,0,1,final-layer rank agreement 0.038 < 0.3
deepseek-coder-6.7b,clens,-1,0,,,0,-0.002158476041724777,,196,120,1,final-layer rank agreement -0.002 < 0.3
deepseek-coder-6.7b,clens,0,0,,,0,0.07278594139725396,,196,120,1,final-layer rank agreement 0.073 < 0.3
deepseek-coder-6.7b,clens,3,0,,,0,0.056784259974977894,,196,120,1,final-layer rank agreement 0.057 < 0.3
deepseek-coder-6.7b,clens,7,0,,,0,0.1334912621823427,,196,120,1,final-layer rank agreement 0.133 < 0.3
deepseek-coder-6.7b,clens,11,0,,,0,0.21033488991066948,,196,120,1,final-layer rank agreement 0.210 < 0.3
deepseek-coder-6.7b,clens,15,0,,,0,0.2531580058809936,,196,120,1,final-layer rank agreement 0.253 < 0.3
deepseek-coder-6.7b,clens,19,0,,,0,0.31210647945238235,,196,120,0,
deepseek-coder-6.7b,clens,23,0,,,0,0.41264943540868126,,196,120,0,
deepseek-coder-6.7b,clens,27,0,,,0,0.5640318274908559,,196,120,0,
deepseek-coder-6.7b,clens,31,0,,,0,0.9999943819777034,,196,120,0,
deepseek-coder-6.7b,logit,-1,0,,,0,0.04717405509646264,,196,0,1,final-layer rank agreement 0.047 < 0.3
deepseek-coder-6.7b,logit,0,0,,,0,0.033887472208719495,,196,0,1,final-layer rank agreement 0.034 < 0.3
deepseek-coder-6.7b,logit,3,0,,,0,0.07811106949613114,,196,0,1,final-layer rank agreement 0.078 < 0.3
deepseek-coder-6.7b,logit,7,0,,,0,0.12227187243503415,,196,0,1,final-layer rank agreement 0.122 < 0.3
deepseek-coder-6.7b,logit,11,0,,,0,0.16466758042537594,,196,0,1,final-layer rank agreement 0.165 < 0.3
deepseek-coder-6.7b,logit,15,0,,,0,0.23557184295037814,,196,0,1,final-layer rank agreement 0.236 < 0.3
deepseek-coder-6.7b,logit,19,0,,,0,0.3467751356692619,,196,0,0,
deepseek-coder-6.7b,logit,23,0,,,0,0.42088398186295206,,196,0,0,
deepseek-coder-6.7b,logit,27,0,,,0,0.5183934049996415,,196,0,0,
deepseek-coder-6.7b,logit,31,0,,,0,0.9999958960546345,,196,0,0,
