model,lens,layer,is_control,next_token_top1,next_token_mrr,n_eval,final_layer_rank_agreement,relevance_conservation,n_candidates,n_lens_samples,weak_fidelity,warnings
starcoder2-3b,gram_random,-1,1,,,0,-0.11077138235223805,,196,0,1,final-layer rank agreement -0.111 < 0.3
starcoder2-3b,gram_random,0,1,,,0,0.10911334858035367,,196,0,1,final-layer rank agreement 0.109 < 0.3
starcoder2-3b,gram_random,3,1,,,0,-0.040279626102686296,,196,0,1,final-layer rank agreement -0.040 < 0.3
starcoder2-3b,gram_random,7,1,,,0,-0.06147487030735762,,196,0,1,final-layer rank agreement -0.061 < 0.3
starcoder2-3b,gram_random,11,1,,,0,-0.11109806437217604,,196,0,1,final-layer rank agreement -0.111 < 0.3
starcoder2-3b,gram_random,15,1,,,0,-0.09989592713305549,,196,0,1,final-layer rank agreement -0.100 < 0.3
starcoder2-3b,gram_random,19,1,,,0,-0.053895401190542605,,196,0,1,final-layer rank agreement -0.054 < 0.3
starcoder2-3b,gram_random,23,1,,,0,-0.0634385882427942,,196,0,1,final-layer rank agreement -0.063 < 0.3
starcoder2-3b,gram_random,27,1,,,0,-0.11639430547697409,,196,0,1,final-layer rank agreement -0.116 < 0.3
starcoder2-3b,gram_random,29,1,,,0,-0.013368861015706552,,196,0,1,final-layer rank agreement -0.013 < 0.3
starcoder2-3b,clens,-1,0,,,0,-0.05022966156396179,,196,120,1,final-layer rank agreement -0.050 < 0.3
starcoder2-3b,clens,0,0,,,0,0.01536624724079402,,196,120,1,final-layer rank agreement 0.015 < 0.3
starcoder2-3b,clens,3,0,,,0,0.06052980739347673,,196,120,1,final-layer rank agreement 0.061 < 0.3
starcoder2-3b,clens,7,0,,,0,0.22712086318322725,,196,120,1,final-layer rank agreement 0.227 < 0.3
starcoder2-3b,clens,11,0,,,0,0.2752842878658687,,196,120,1,final-layer rank agreement 0.275 < 0.3
starcoder2-3b,clens,15,0,,,0,0.32776741387691355,,196,120,0,
starcoder2-3b,clens,19,0,,,0,0.4475660814892143,,196,120,0,
starcoder2-3b,clens,23,0,,,0,0.5922729880706676,,196,120,0,
starcoder2-3b,clens,27,0,,,0,0.805660814892142,,196,120,0,
