model,arm,lens,layer,site,condition,condition_kind,condition_order,relative_depth,n_pairs,mean_delta_contrast_z,mean_delta_contrast_prob,sign_consistency_z,sign_consistency_prob,mean_contrast_prob_unsafe,mean_contrast_prob_safe,permutation_effect_size,permutation_p,permutation_null_sd,anchor_token_same_frac,corr_contrast_entropy,corr_contrast_norm,mean_delta_entropy,topk_enrichment_positive,topk_enrichment_negative,topk_enrichment_random,concept_rank_best
deepseek-coder-1.3b,main,jlens,-1,last_token,clean_heldout,clean,-1,,72,0.0,0.0,0.0,0.0,-0.010132651423046535,-0.010132651423046535,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-1.3b,main,jlens,-1,last_token,normalize,baseline,0,,72,0.0,0.0,0.0,0.0,-0.011022392828490442,-0.011022392828490442,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-1.3b,main,jlens,-1,last_token,rename_only,atomic,11,,72,0.0,0.0,0.0,0.0,-0.011022392828490442,-0.011022392828490442,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-1.3b,main,jlens,-1,last_token,opaque_only,atomic,12,,72,0.0,0.0,0.0,0.0,-0.011272088628238901,-0.011272088628238901,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-1.3b,main,jlens,-1,last_token,encode_only,atomic,13,,72,0.0,0.0,0.0,0.0,-0.011022392828490442,-0.011022392828490442,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-1.3b,main,jlens,-1,last_token,flatten_only,atomic,14,,72,0.0,0.0,0.0,0.0,-0.012391233833085016,-0.012391233833085016,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-1.3b,main,jlens,-1,last_token,rename_cumulative,cumulative,21,,72,0.0,0.0,0.0,0.0,-0.011022392828490442,-0.011022392828490442,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-1.3b,main,jlens,-1,last_token,rename_opaque,cumulative,22,,72,0.0,0.0,0.0,0.0,-0.011544117529312111,-0.011544117529312111,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-1.3b,main,jlens,-1,last_token,rename_opaque_encode,cumulative,23,,72,0.0,0.0,0.0,0.0,-0.011403277335949306,-0.011403277335949306,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-1.3b,main,jlens,-1,last_token,rename_opaque_encode_flatten,cumulative,24,,72,0.0,0.0,0.0,0.0,-0.012464603906533386,-0.012464603906533386,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
deepseek-coder-1.3b,main,jlens,0,last_token,clean_heldout,clean,-1,0.0,72,-0.0002399857335525887,3.065863371930866e-07,0.4305555555555556,0.5138888888888888,-0.010558374304609729,-0.010558680890946921,-0.3017067237899863,0.77,0.0008049735059869141,1.0,-0.6584526860014878,0.3030066212277224,3.7884799741760844e-08,0.0,0.125,0.03125,161.0
deepseek-coder-1.3b,main,jlens,0,last_token,normalize,baseline,0,0.0,72,-0.0005937709506381388,-9.120177850792301e-07,0.4583333333333333,0.4305555555555556,-0.010199445150251,-0.010198533132465921,-0.23992658895623653,0.802,0.002238603879895378,1.0,0.011392566639911653,-0.2720448835544316,8.556583898706233e-07,0.25,0.0,0.0,84.0
deepseek-coder-1.3b,main,jlens,0,last_token,rename_only,atomic,11,0.0,72,-0.002170551356301096,-9.95652963490683e-07,0.4722222222222222,0.4722222222222222,-0.010169241839992479,-0.010168246187028988,-1.3459402469353277,0.208,0.0016909420387914553,1.0,-0.44187712051126365,0.3882365373207515,7.619848690218787e-06,0.0,0.125,0.0625,130.0
deepseek-coder-1.3b,main,jlens,0,last_token,opaque_only,atomic,12,0.0,72,-0.0002592145767434399,6.284467329053316e-07,0.4861111111111111,0.5,-0.010302197356357231,-0.010302825803090138,-0.13259204869379515,0.89,0.0020017223633674672,1.0,0.057016925876425165,-0.3493800570113427,1.0581879516092919e-06,0.25,0.0,0.03125,150.0
deepseek-coder-1.3b,main,jlens,0,last_token,encode_only,atomic,13,0.0,72,-0.00023808797585664652,-1.1592989199497957e-06,0.4583333333333333,0.4305555555555556,-0.010183599042016132,-0.01018243974309618,-0.07356135713181236,0.918,0.002142301768081396,1.0,0.10437366850739,-0.3402504989078534,1.484097810286775e-06,0.125,0.0,0.0,64.0
deepseek-coder-1.3b,main,jlens,0,last_token,flatten_only,atomic,14,0.0,72,0.00013018659960704817,7.574745810764581e-08,0.5416666666666666,0.5694444444444444,-0.010594462612414543,-0.010594538359872653,0.7582184792450362,0.478,0.0001813773970983644,1.0,-0.16024797177308042,-0.2438597922492371,5.5313333407407896e-08,0.0,0.125,0.03125,24.0
deepseek-coder-1.3b,main,jlens,0,last_token,rename_cumulative,cumulative,21,0.0,72,0.0016936189960533542,2.9364261853096683e-07,0.5833333333333334,0.6111111111111112,-0.01016973223273753,-0.01017002587535606,1.0859083377528846,0.29,0.0016167255851549155,1.0,-0.4767631737036152,0.4155264327901336,-2.837277623710419e-07,0.0,0.25,0.03125,17.0
deepseek-coder-1.3b,main,jlens,0,last_token,rename_opaque,cumulative,22,0.0,72,0.00021446521246884433,1.0204134647841498e-06,0.4861111111111111,0.5,-0.010364604559498435,-0.010365624972963219,0.20746204987026187,0.87,0.001213274595304993,1.0,-0.32316249571016803,0.3622248059775767,1.0868018021081838e-06,0.125,0.375,0.03125,142.0
