model,arm,lens,layer,site,condition,condition_kind,condition_order,relative_depth,n_pairs,mean_delta_contrast_z,mean_delta_contrast_prob,sign_consistency_z,sign_consistency_prob,mean_contrast_prob_unsafe,mean_contrast_prob_safe,permutation_effect_size,permutation_p,permutation_null_sd,anchor_token_same_frac,corr_contrast_entropy,corr_contrast_norm,mean_delta_entropy,topk_enrichment_positive,topk_enrichment_negative,topk_enrichment_random,concept_rank_best
starcoder2-3b,main,jlens,-1,last_token,clean_heldout,clean,-1,,72,0.0,0.0,0.0,0.0,-0.010624441160622236,-0.010624441160622236,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
starcoder2-3b,main,jlens,-1,last_token,normalize,baseline,0,,72,0.0,0.0,0.0,0.0,-0.010337246297739945,-0.010337246297739945,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
starcoder2-3b,main,jlens,-1,last_token,rename_only,atomic,11,,72,0.0,0.0,0.0,0.0,-0.010337246297739945,-0.010337246297739945,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
starcoder2-3b,main,jlens,-1,last_token,opaque_only,atomic,12,,72,0.0,0.0,0.0,0.0,-0.010348737787845202,-0.010348737787845202,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
starcoder2-3b,main,jlens,-1,last_token,encode_only,atomic,13,,72,0.0,0.0,0.0,0.0,-0.010337246297739945,-0.010337246297739945,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
starcoder2-3b,main,jlens,-1,last_token,flatten_only,atomic,14,,72,0.0,0.0,0.0,0.0,-0.010161281440355961,-0.010161281440355961,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
starcoder2-3b,main,jlens,-1,last_token,rename_cumulative,cumulative,21,,72,0.0,0.0,0.0,0.0,-0.010337246297739945,-0.010337246297739945,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
starcoder2-3b,main,jlens,-1,last_token,rename_opaque,cumulative,22,,72,0.0,0.0,0.0,0.0,-0.0102843109884117,-0.0102843109884117,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
starcoder2-3b,main,jlens,-1,last_token,rename_opaque_encode,cumulative,23,,72,0.0,0.0,0.0,0.0,-0.010293354195276981,-0.010293354195276981,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
starcoder2-3b,main,jlens,-1,last_token,rename_opaque_encode_flatten,cumulative,24,,72,0.0,0.0,0.0,0.0,-0.010179783177648673,-0.010179783177648673,,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0
starcoder2-3b,main,jlens,0,last_token,clean_heldout,clean,-1,0.0,72,0.002066099267256779,1.414565990546605e-07,0.4861111111111111,0.5277777777777778,-0.010273359497834283,-0.010273500954433338,0.5879314824318608,0.642,0.003884328623915387,1.0,0.035715919760055066,-0.10087105388476192,4.4125200318292616e-07,0.0,0.0,0.03125,63.0
starcoder2-3b,main,jlens,0,last_token,normalize,baseline,0,0.0,72,0.0018075670539471854,7.867933254856392e-07,0.4861111111111111,0.5416666666666666,-0.010419101347190006,-0.010419888140515492,0.37432503272844425,0.764,0.005202755881998801,1.0,-0.029584661172164413,0.43110415923691886,1.0291252738880985e-07,0.0,0.125,0.0625,130.0
starcoder2-3b,main,jlens,0,last_token,rename_only,atomic,11,0.0,72,-0.004555779167964163,-1.6452587661994046e-06,0.4861111111111111,0.4444444444444444,-0.0104303748374589,-0.010428729578692699,-0.5406677880260392,0.49,0.0063843580221984,1.0,-0.6242335077108291,0.22945289603092223,5.139095660503893e-07,0.0,0.375,0.03125,69.0
starcoder2-3b,main,jlens,0,last_token,opaque_only,atomic,12,0.0,72,-0.0023496650369823147,3.511301659312715e-08,0.4722222222222222,0.5138888888888888,-0.010393408106189907,-0.0103934432192065,-0.5782215685118636,0.566,0.004051815390452377,1.0,-0.12940673471934855,0.1976161487475176,1.669816641871849e-07,0.0,0.25,0.03125,170.0
starcoder2-3b,main,jlens,0,last_token,encode_only,atomic,13,0.0,72,0.001250312420397094,7.006240055558848e-07,0.5138888888888888,0.5277777777777778,-0.010424169097075584,-0.010424869721081139,0.27151326372604273,0.822,0.005121278491530169,1.0,-0.05098341030057304,0.33263272904619445,1.7253043113927032e-07,0.0,0.125,0.0625,131.0
starcoder2-3b,main,jlens,0,last_token,flatten_only,atomic,14,0.0,72,0.0003252310693175566,2.633933765979907e-08,0.5138888888888888,0.5277777777777778,-0.01027814459799823,-0.01027817093733589,0.5234825581021911,0.582,0.0006167105222527219,1.0,0.29410519889067194,0.4697759338257339,-2.0091607439493625e-08,0.25,0.0,0.03125,80.0
starcoder2-3b,main,jlens,0,last_token,rename_cumulative,cumulative,21,0.0,72,0.0003481223013870975,-1.1804597012304273e-06,0.5416666666666666,0.4305555555555556,-0.010428750301619404,-0.010427569841918175,0.1744932422014166,0.964,0.006228909931479743,1.0,-0.4074292053036529,0.12619197027935605,-2.0901755671943869e-07,0.0,0.125,0.0,19.0
starcoder2-3b,main,jlens,0,last_token,rename_opaque,cumulative,22,0.0,72,-0.013802239165618322,-2.319329043285264e-06,0.3888888888888889,0.4305555555555556,-0.010373117026320284,-0.010370797697276998,-2.920218225415089,0.0,0.0046309287616987755,1.0,-0.31484217491829203,0.15042408563792412,1.3836715839765645e-06,0.125,0.0,0.0,147.0
starcoder2-3b,main,jlens,0,last_token,rename_opaque_encode,cumulative,23,0.0,72,0.018826003651736086,1.6940589778150856e-06,0.6111111111111112,0.5416666666666666,-0.010397039880488408,-0.010398733939466222,2.870339708658414,0.0,0.00672593296137039,1.0,0.13425707707023224,0.20193097087780568,-4.347910621044843e-07,0.0,0.0,0.0625,2.0
starcoder2-3b,main,jlens,0,last_token,rename_opaque_encode_flatten,cumulative,24,0.0,72,-0.00046134189273045335,-7.29816205049822e-08,0.5,0.4583333333333333,-0.010272443728575383,-0.010272370746954881,-0.748490359988306,0.464,0.0006204883006589298,1.0,-0.3154717853279688,0.5009570138806406,-3.2535864817144024e-08,0.0,0.0,0.0625,122.0
starcoder2-3b,main,jlens,3,last_token,clean_heldout,clean,-1,0.1034,72,0.002000565756521834,9.479190636633145e-07,0.4861111111111111,0.5138888888888888,-0.010064975619244002,-0.010065923538307665,0.4517959276769879,0.686,0.004800522670816146,1.0,-0.1712208423704618,0.4513006567686247,-2.1309925568591126e-07,0.0,0.0,0.03125,130.0
starcoder2-3b,main,jlens,3,last_token,normalize,baseline,0,0.1034,72,0.03238733090782456,3.1843977393944623e-06,0.625,0.5972222222222222,-0.010212017451947976,-0.010215201849687371,2.2339433224753162,0.03,0.014655166645755387,1.0,-0.11601248195565296,-0.0471109674313326,1.6429055495666607e-06,0.125,0.25,0.0,14.0
starcoder2-3b,main,jlens,3,last_token,rename_only,atomic,11,0.1034,72,0.023441382059057745,2.197018220980696e-06,0.5833333333333334,0.5416666666666666,-0.010218148133292807,-0.010220345151513786,1.5572177822343896,0.108,0.014527578482260732,1.0,-0.03388575561499905,0.20757718763465682,-5.60497266463875e-07,0.25,0.25,0.0,27.0
starcoder2-3b,main,jlens,3,last_token,opaque_only,atomic,12,0.1034,72,0.032167873508865,2.410904284808371e-06,0.6111111111111112,0.6111111111111112,-0.01022009497931203,-0.01022250588359684,2.205211940308204,0.028,0.014559484931960475,1.0,0.10194315349316295,0.08852266381949946,1.9122293645695224e-06,0.125,0.25,0.0,6.0
starcoder2-3b,main,jlens,3,last_token,encode_only,atomic,13,0.1034,72,0.03718552520519675,4.093401293111403e-06,0.6111111111111112,0.625,-0.010201936560330534,-0.010206029961623645,2.3487645906804895,0.02,0.0160219893777535,1.0,-0.18200775917726464,-0.14898699318824127,1.2503921956853582e-06,0.125,0.25,0.0,9.0
starcoder2-3b,main,jlens,3,last_token,flatten_only,atomic,14,0.1034,72,0.0007897024828898524,-1.2245986485478802e-07,0.4583333333333333,0.4861111111111111,-0.010316794458212332,-0.010316671998347479,0.689151255475316,0.494,0.00105105480830565,1.0,0.13259531895897997,-0.0953310536340876,-2.3247502453946666e-08,0.0,0.0,0.0,15.0
starcoder2-3b,main,jlens,3,last_token,rename_cumulative,cumulative,21,0.1034,72,0.015028674630551785,-1.4881155016064085e-06,0.5138888888888888,0.4861111111111111,-0.010219150465618162,-0.010217662350116556,0.9595568836833925,0.368,0.015601324754463627,1.0,-0.3929498609564565,-0.034265093838451006,-8.402338024854967e-07,0.125,0.125,0.0,17.0
starcoder2-3b,main,jlens,3,last_token,rename_opaque,cumulative,22,0.1034,72,0.019621106505969616,1.665847526525778e-06,0.5277777777777778,0.5138888888888888,-0.01024487938765235,-0.010246545235178876,1.6300268903565798,0.102,0.011878337691948666,1.0,-0.21453095213441778,-0.1643753355608403,1.9122296329967782e-06,0.375,0.375,0.0,25.0
starcoder2-3b,main,jlens,3,last_token,rename_opaque_encode,cumulative,23,0.1034,72,0.014767799954679469,-1.6338178613390715e-06,0.5277777777777778,0.4166666666666667,-0.010232544783971478,-0.010230910966110139,0.9078602281392171,0.358,0.015538494220306598,1.0,-0.29496313639848826,0.2848806914321714,-3.835923470098103e-07,0.125,0.125,0.03125,9.0
starcoder2-3b,main,jlens,3,last_token,rename_opaque_encode_flatten,cumulative,24,0.1034,72,-0.001320460073605299,1.0264318854480619e-07,0.4305555555555556,0.5138888888888888,-0.010315927700081313,-0.010316030343269857,-0.2210582461401656,0.774,0.0055253522327392435,1.0,-0.14801812780829138,0.04424146656516345,1.9454421549023078e-07,0.0,0.125,0.03125,128.0
starcoder2-3b,main,jlens,7,last_token,clean_heldout,clean,-1,0.2414,72,0.011245002485614662,1.2320210608298288e-06,0.6388888888888888,0.5972222222222222,-0.010280118370790577,-0.010281350391851407,1.6266881310838666,0.096,0.0068883328221077764,1.0,-0.6068129675507777,0.24049113912873774,-8.322076041129062e-07,0.625,0.5,0.0,16.0
starcoder2-3b,main,jlens,7,last_token,normalize,baseline,0,0.2414,72,0.016945392697192495,-8.635544998368761e-08,0.5,0.4444444444444444,-0.010626684823442735,-0.010626598467992751,1.2638412470107934,0.208,0.012867554340194341,1.0,0.03786881279607572,0.057864207730453567,7.914188160373925e-07,0.125,0.0,0.0625,40.0
starcoder2-3b,main,jlens,7,last_token,rename_only,atomic,11,0.2414,72,-0.04917170176080299,-6.084176069857526e-06,0.4027777777777778,0.4444444444444444,-0.010615506085058806,-0.010609421908988947,-2.82579961714225,0.01,0.017525839791323487,1.0,-0.07252903974159783,0.025135918412494466,1.8327841793613292e-06,0.0,0.0,0.0625,153.0
starcoder2-3b,main,jlens,7,last_token,opaque_only,atomic,12,0.2414,72,0.0021853104433847653,-4.088931558038259e-06,0.5555555555555556,0.4861111111111111,-0.01057620568417681,-0.010572116752618772,0.10339331279478384,0.866,0.012431779882347501,1.0,-0.04033134119655686,0.18534140094036208,3.94036837640203e-07,0.125,0.0,0.03125,49.0
starcoder2-3b,main,jlens,7,last_token,encode_only,atomic,13,0.2414,72,0.013155930724652213,-2.5743850321752242e-06,0.5277777777777778,0.4444444444444444,-0.01063480829458681,-0.010632233909554636,0.9776433124415962,0.3,0.012742911168850011,1.0,0.01497466412317722,0.05347386172400389,6.763301287164106e-07,0.125,0.0,0.0,36.0
starcoder2-3b,main,jlens,7,last_token,flatten_only,atomic,14,0.2414,72,0.0036254071996207208,2.1087600684757892e-07,0.5416666666666666,0.5,-0.010397577027545398,-0.010397787903552247,1.1303492319852604,0.3,0.0033702237162549055,1.0,0.008052287826803877,0.324097895642259,-1.2477168293618175e-07,0.125,0.125,0.03125,27.0
starcoder2-3b,main,jlens,7,last_token,rename_cumulative,cumulative,21,0.2414,72,-0.01339585022450384,-3.973488500888392e-06,0.5138888888888888,0.5277777777777778,-0.010613364585209383,-0.010609391096708495,-0.6974066295476944,0.484,0.01920608210610805,1.0,0.11946917777203937,-0.00900338448731629,4.935635809684887e-07,0.125,0.0,0.03125,92.0
starcoder2-3b,main,jlens,7,last_token,rename_opaque,cumulative,22,0.2414,72,-0.023872592393239828,-8.150040210127186e-06,0.5,0.3472222222222222,-0.010522057854397523,-0.010513907814187396,-1.782318699519421,0.078,0.013138089744263276,1.0,-0.3405852214930461,0.35003139881496953,1.3453374930503002e-06,0.0,0.0,0.03125,65.0
