model,item_id,family,pair_id,arm,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,28,jlens,erase,1.8125,1.3125,-0.5,0.047677333154971066
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,28,rlens,erase,1.8125,1.4375,-0.375,0.045939785186744526
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,28,logit,erase,1.8125,1.5625,-0.25,0.043068733584502875
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,28,offtarget,erase,1.8125,2.5625,0.75,0.025054162827664934
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,28,random,erase,1.8125,1.9375,0.125,0.014058639200595364
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,29,jlens,erase,1.8125,1.25,-0.5625,0.06922733770948711
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,29,rlens,erase,1.8125,1.3125,-0.5,0.06792566143708477
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,29,logit,erase,1.8125,1.5625,-0.25,0.05278112457948721
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,29,offtarget,erase,1.8125,3.3125,1.5,0.04992444368619165
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,29,random,erase,1.8125,1.9375,0.125,0.01621940486820505
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,30,jlens,erase,1.8125,0.9375,-0.875,0.08076448083000949
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,30,rlens,erase,1.8125,0.9375,-0.875,0.08076448083000949
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,30,logit,erase,1.8125,0.9375,-0.875,0.08076448083000949
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,30,offtarget,erase,1.8125,3.4375,1.625,0.06109432387966075
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,30,random,erase,1.8125,1.9375,0.125,0.016779203585378592
