model,item_id,family,pair_id,arm,read,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,12,jlens,erase,3.25,3.25,0.0,0.019204824344311297
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,12,rlens,erase,3.25,3.5,0.25,0.05428081594378452
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,12,logit,erase,3.25,3.5,0.25,0.00984521311115442
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,12,offtarget_j,erase,3.25,3.25,0.0,0.0017510311736387615
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,12,offtarget_r,erase,3.25,3.5,0.25,0.048017969242068505
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,12,random,erase,3.25,3.5,0.25,0.017892249528543392
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,12,random_matched,erase,3.25,3.5,0.25,0.019204824344311297
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,16,jlens,erase,3.25,3.25,0.0,0.03206744114876549
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,16,rlens,erase,3.25,3.5,0.25,0.02501375575472208
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,16,logit,erase,3.25,3.5,0.25,0.013791273631947269
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,16,offtarget_j,erase,3.25,3.25,0.0,0.008214426590009993
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,16,offtarget_r,erase,3.25,3.25,0.0,0.002451781637413777
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,16,random,erase,3.25,3.5,0.25,0.012866608652699901
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,16,random_matched,erase,3.25,3.5,0.25,0.03206744114876549
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,20,jlens,erase,3.25,3.5,0.25,0.014804849043486194
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,20,rlens,erase,3.25,3.5,0.25,0.025858499723763598
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,20,logit,erase,3.25,3.5,0.25,0.006731402385247436
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,20,offtarget_j,erase,3.25,3.5,0.25,0.03411858518265773
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,20,offtarget_r,erase,3.25,3.25,0.0,0.029677950787051075
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,20,random,erase,3.25,3.25,0.0,0.01290943451990263
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,20,random_matched,erase,3.25,3.25,0.0,0.014804849043486194
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,12,jlens,erase,3.25,3.25,0.0,0.028621069796578545
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,12,rlens,erase,3.25,3.5,0.25,0.0611723828481859
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,12,logit,erase,3.25,3.5,0.25,0.012485131521218037
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,12,offtarget_j,erase,3.25,3.25,0.0,0.03240691833964488
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,12,offtarget_r,erase,3.25,3.5,0.25,0.055396371301675774
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,12,random,erase,3.25,3.5,0.25,0.005853268762154817
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,12,random_matched,erase,3.25,3.5,0.25,0.028621067804899872
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,16,jlens,erase,3.25,3.25,0.0,0.02829427174729614
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,16,rlens,erase,3.25,3.25,0.0,0.008357267315951336
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,16,logit,erase,3.25,3.5,0.25,0.0178054715316222
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,16,offtarget_j,erase,3.25,3.25,0.0,0.033707682887029765
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,16,offtarget_r,erase,3.25,3.25,0.0,0.026334048946472243
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,16,random,erase,3.25,3.5,0.25,0.007359138404636781
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,16,random_matched,erase,3.25,3.25,0.0,0.02829427174729614
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,20,jlens,erase,3.25,3.5,0.25,0.037327782409340524
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,20,rlens,erase,3.25,3.25,0.0,0.0361107371401452
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,20,logit,erase,3.25,3.5,0.25,0.01807862251712655
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,20,offtarget_j,erase,3.25,3.5,0.25,0.039331161872405096
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,20,offtarget_r,erase,3.25,3.25,0.0,0.04124812037505519
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,20,random,erase,3.25,3.5,0.25,0.040515312219744574
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,20,random_matched,erase,3.25,3.25,0.0,0.03732777993380457
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,12,jlens,erase,3.25,3.25,0.0,0.017640895162194498
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,12,rlens,erase,3.25,3.25,0.0,0.03705022341072406
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,12,logit,erase,3.25,3.25,0.0,0.00545472745543671
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,12,offtarget_j,erase,3.25,3.25,0.0,0.013387534450139552
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,12,offtarget_r,erase,3.25,3.25,0.0,0.032848392758919105
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,12,random,erase,3.25,3.25,0.0,0.01951283514601373
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,12,random_matched,erase,3.25,3.5,0.25,0.017640894093350037
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,16,jlens,erase,3.25,3.25,0.0,0.005725941557231137
starcoder2-3b,binding-0-outer-call,binding,binding-0,outer,call,16,rlens,erase,3.25,3.5,0.25,0.007464155534514213
