model,item_id,family,pair_id,arm,read,lens,layer,position,target_in_prompt,rank,distractor_rank,margin,n_target_ids
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,0,27,False,2947,2457,-0.21875,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,1,27,False,2696,6002,0.890625,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,2,27,False,2455,6090,1.0625,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,3,27,False,2457,6314,1.12890625,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,4,27,False,4582,9154,0.9248046875,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,5,27,False,3875,11446,1.46875,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,6,27,False,6835,8863,0.349609375,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,7,27,False,6044,5807,-0.046875,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,8,27,False,5012,4577,-0.109375,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,9,27,False,3556,6416,0.6875,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,10,27,False,1460,907,-0.40625,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,11,27,False,202,2452,2.140625,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,12,27,False,1505,2375,0.421875,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,13,27,False,174,1217,1.65625,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,14,27,False,106,2129,2.5625,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,15,27,False,129,382,0.90625,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,16,27,False,68,280,1.25,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,17,27,False,51,70,0.3125,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,18,27,False,73,114,0.28125,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,19,27,False,177,171,-0.03125,6
starcoder2-3b,scopeword-0-outer,scopeword,scopeword-0,outer,use,j-lens,20,27,False,294,245,-0.1875,6
