model,item_id,family,pair_id,arm,read,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,12,jlens,erase,4.75,4.75,0.0,0.0414584236746414
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,12,rlens,erase,4.75,4.75,0.0,0.02894525223274614
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,12,logit,erase,4.75,4.625,-0.125,0.045319691619131235
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,12,offtarget_j,erase,4.75,4.625,-0.125,0.05344675128936528
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,12,offtarget_r,erase,4.75,4.75,0.0,0.05104828720133247
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,12,random,erase,4.75,4.625,-0.125,0.024181862046786066
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,12,random_matched,erase,4.75,4.625,-0.125,0.0414584236746414
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,16,jlens,erase,4.75,4.625,-0.125,0.05953321728552195
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,16,rlens,erase,4.75,4.625,-0.125,0.042785638512950856
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,16,logit,erase,4.75,4.625,-0.125,0.03243181528324557
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,16,offtarget_j,erase,4.75,4.625,-0.125,0.08776627347976311
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,16,offtarget_r,erase,4.75,4.625,-0.125,0.07490418426360873
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,16,random,erase,4.75,4.625,-0.125,0.021581097659807633
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,16,random_matched,erase,4.75,4.625,-0.125,0.05953322178387109
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,20,jlens,erase,4.75,4.75,0.0,0.033613586809791464
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,20,rlens,erase,4.75,4.625,-0.125,0.03179571927539689
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,20,logit,erase,4.75,4.625,-0.125,0.009684413342646825
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,20,offtarget_j,erase,4.75,4.625,-0.125,0.049998195383584035
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,20,offtarget_r,erase,4.75,4.625,-0.125,0.049632550656836756
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,20,random,erase,4.75,4.625,-0.125,0.002285944176671838
deepseek-coder-1.3b,binding-0-outer-use,binding,binding-0,outer,use,20,random_matched,erase,4.75,4.625,-0.125,0.033613586809791464
deepseek-coder-1.3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,12,jlens,erase,4.75,4.625,-0.125,0.03998057983795077
deepseek-coder-1.3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,12,rlens,erase,4.75,4.625,-0.125,0.018123537014458957
deepseek-coder-1.3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,12,logit,erase,4.75,4.625,-0.125,0.028649901086641297
deepseek-coder-1.3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,12,offtarget_j,erase,4.75,4.75,0.0,0.0647192177484745
deepseek-coder-1.3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,12,offtarget_r,erase,4.75,4.75,0.0,0.05337323405993099
deepseek-coder-1.3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,12,random,erase,4.75,4.625,-0.125,0.022570852149312565
deepseek-coder-1.3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,12,random_matched,erase,4.75,4.75,0.0,0.03998057983795077
deepseek-coder-1.3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,16,jlens,erase,4.75,4.625,-0.125,0.022974063361164105
deepseek-coder-1.3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,16,rlens,erase,4.75,4.625,-0.125,0.0040943423560158305
deepseek-coder-1.3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,16,logit,erase,4.75,4.75,0.0,0.04664436140039767
deepseek-coder-1.3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,16,offtarget_j,erase,4.75,4.625,-0.125,0.05863516102415419
deepseek-coder-1.3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,16,offtarget_r,erase,4.75,4.625,-0.125,0.04858591013008208
deepseek-coder-1.3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,16,random,erase,4.75,4.625,-0.125,0.02340222836125148
deepseek-coder-1.3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,16,random_matched,erase,4.75,4.625,-0.125,0.022974063361164105
deepseek-coder-1.3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,20,jlens,erase,4.75,4.625,-0.125,0.016956621714523036
deepseek-coder-1.3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,20,rlens,erase,4.75,4.75,0.0,0.01930842882845278
