layer,contrast,n,mean,lo,hi,excludes_zero
12,jlens_vs_offtarget,200,0.00410888671875,-0.008147597292636302,0.01684283088235294,False
12,rlens_vs_offtarget,200,0.004266357421875,-0.011653768311907746,0.02039999009327022,False
12,jlens_vs_random_matched,200,0.00402099609375,-0.008436576566547928,0.017030109862964046,False
12,rlens_vs_random_matched,200,-0.00708740234375,-0.021636152246215096,0.00680344307855003,False
12,jlens_vs_logit,200,0.04507080078125,0.030409362792968752,0.060015006803458636,True
12,rlens_vs_jlens,200,-0.0111083984375,-0.02535220355125746,0.0035817499427156065,False
16,jlens_vs_offtarget,200,0.018359375,-0.0007551776399074559,0.040340853777258566,False
16,rlens_vs_offtarget,200,-0.0059375,-0.028095002248497206,0.019563081688390792,False
16,jlens_vs_random_matched,200,-0.00103515625,-0.01732584871301328,0.015770301495534933,False
16,rlens_vs_random_matched,200,-0.025546875,-0.045564516129032256,-0.005687931199972096,True
16,jlens_vs_logit,200,0.091572265625,0.06761102684507979,0.12341092841569767,True
16,rlens_vs_jlens,200,-0.02451171875,-0.03616536458333333,-0.014106331228095815,True
20,jlens_vs_offtarget,200,-0.28451904296875,-0.34695137895748324,-0.2173238025640806,True
20,rlens_vs_offtarget,200,-0.374893798828125,-0.4526577725647801,-0.2925950428200834,True
20,jlens_vs_random_matched,200,-0.14858642578125,-0.19622563515940022,-0.1054106036549211,True
20,rlens_vs_random_matched,200,-0.239244384765625,-0.31349625363140643,-0.17559027348168835,True
20,jlens_vs_logit,200,0.20440185546875,0.1489451173772466,0.26955382249084975,True
20,rlens_vs_jlens,200,-0.090657958984375,-0.12148014247410267,-0.06345061698011173,True
