edit,direction,layer,n,mean_delta,median_delta,mean_edit_norm
erase,jlens,12,200,0.00431396484375,0.0,0.05061152636560072
erase,jlens,16,200,-0.00201171875,0.0,0.05940912818908787
erase,jlens,20,200,-0.15085205078125,0.0,0.07206942061608525
erase,logit,12,200,-0.0407568359375,0.0,0.0432999932179651
erase,logit,16,200,-0.093583984375,0.0,0.046009266760399695
erase,logit,20,200,-0.35525390625,0.0,0.0789363545094134
erase,offtarget_j,12,200,0.000205078125,0.0,0.04594046027165373
erase,offtarget_j,16,200,-0.02037109375,0.0,0.050270298584150525
erase,offtarget_j,20,200,0.1336669921875,0.0,0.0457010714438804
erase,offtarget_r,12,200,-0.011060791015625,0.0,0.04106908805682589
erase,offtarget_r,16,200,-0.0205859375,0.0,0.04485799269724186
erase,offtarget_r,20,200,0.1333837890625,0.0,0.048018220810916425
erase,random,12,200,-0.007890625,0.0,0.017935793955380606
erase,random,16,200,-0.003984375,0.0,0.018682916917743916
erase,random,20,200,-0.00904296875,0.0,0.018058547642394774
erase,random_matched,12,200,0.00029296875,0.0,0.05061152607770667
erase,random_matched,16,200,-0.0009765625,0.0,0.059409128440645755
erase,random_matched,20,200,-0.002265625,0.0,0.07206942068128717
erase,rlens,12,200,-0.00679443359375,0.0,0.04078047798088108
erase,rlens,16,200,-0.0265234375,0.0,0.05174242056920736
erase,rlens,20,200,-0.241510009765625,0.0,0.07499368770012621
