lens,layer,read,family,concept,n_bases,binding_delta_ab,binding_delta_ab_lo,binding_delta_ab_hi,binding_delta_ba,binding_delta_ba_lo,binding_delta_ba_hi,value_delta,value_delta_lo,value_delta_hi,crossed_agreement
j-lens,0,answer,binding_concept,active,56,0.001708984375,-0.010464913504464286,0.014267403738839272,-0.0038016183035714285,-0.01674281529017857,0.0105006626674107,0.005510602678571429,-0.0009774344308035713,0.011510358537946425,False
j-lens,0,answer,binding_concept,binding,56,0.0016741071428571428,-0.013950892857142858,0.016741071428571428,-0.006696428571428571,-0.018973214285714284,0.005580357142857143,0.008370535714285714,-0.0005719866071428563,0.017857142857142856,False
j-lens,0,answer,binding_concept,bound,56,-0.010602678571428572,-0.025676618303571427,0.003913225446428533,-0.019252232142857144,-0.030970982142857144,-0.006975446428571429,0.008649553571428572,0.00027901785714285713,0.016462053571428572,True
j-lens,0,answer,binding_concept,definition,56,-0.0013950892857142857,-0.013113839285714286,0.010323660714285714,-0.00027901785714285713,-0.010330636160714285,0.010044642857142858,-0.0011160714285714285,-0.007261439732142857,0.005022321428571429,True
j-lens,0,answer,binding_concept,global,56,0.004464285714285714,-0.010602678571428572,0.01953125,0.0011160714285714285,-0.012276785714285714,0.015066964285714286,0.0033482142857142855,-0.005022321428571429,0.011174665178571352,True
j-lens,0,answer,binding_concept,inner,56,-0.004464285714285714,-0.015625,0.007254464285714286,-0.008928571428571428,-0.01953125,0.0016741071428571428,0.004464285714285714,-0.0033482142857142855,0.01171875,True
j-lens,0,answer,binding_concept,local,56,-0.008510044642857142,-0.017020089285714284,0.0,-0.011021205357142858,-0.018415178571428572,-0.0033482142857142855,0.0025111607142857145,-0.005165318080357142,0.009908621651785694,True
j-lens,0,answer,binding_concept,outer,56,-0.001953125,-0.014229910714285714,0.010881696428571428,-0.009207589285714286,-0.02149135044642857,0.0033482142857142855,0.007254464285714286,-0.0011230468749999995,0.015345982142857142,True
j-lens,0,answer,binding_concept,scope,56,-0.030691964285714284,-0.04017857142857143,-0.021205357142857144,-0.03627232142857143,-0.045200892857142856,-0.026785714285714284,0.005580357142857143,-0.002232142857142857,0.012834821428571428,True
j-lens,0,answer,binding_concept,shadow,56,-0.015625,-0.029017857142857144,-0.002232142857142857,-0.017857142857142856,-0.029017857142857144,-0.006696428571428571,0.002232142857142857,-0.0078125,0.013392857142857142,True
