model,item_id,family,pair_id,arm,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,12,jlens,erase,1.8125,1.8125,0.0,0.027797110151028183
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,12,rlens,erase,1.8125,1.8125,0.0,0.043166498199129204
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,12,logit,erase,1.8125,1.8125,0.0,0.019230983107329323
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,12,offtarget,erase,1.8125,1.9375,0.125,0.014152641420911362
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,12,random,erase,1.8125,1.875,0.0625,0.022335155161119315
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,16,jlens,erase,1.8125,1.8125,0.0,0.03225333797704692
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,16,rlens,erase,1.8125,1.8125,0.0,0.048285266072438694
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,16,logit,erase,1.8125,1.8125,0.0,0.02645844034086653
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,16,offtarget,erase,1.8125,2.0,0.1875,0.01412264555167196
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,16,random,erase,1.8125,1.9375,0.125,0.027416127183358594
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,20,jlens,erase,1.8125,1.6875,-0.125,0.041285307799124815
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,20,rlens,erase,1.8125,1.75,-0.0625,0.05341441450908969
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,20,logit,erase,1.8125,1.8125,0.0,0.032683119942606045
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,20,offtarget,erase,1.8125,2.0625,0.25,0.013238411273771847
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,20,random,erase,1.8125,1.9375,0.125,0.020815576963269335
deepseek-coder-6.7b,binding-0-inner,binding,binding-0,inner,12,jlens,erase,-1.5,-1.6875,-0.1875,0.028718535126572898
deepseek-coder-6.7b,binding-0-inner,binding,binding-0,inner,12,rlens,erase,-1.5,-1.5625,-0.0625,0.04685729625133732
deepseek-coder-6.7b,binding-0-inner,binding,binding-0,inner,12,logit,erase,-1.5,-1.625,-0.125,0.014383691331679875
deepseek-coder-6.7b,binding-0-inner,binding,binding-0,inner,12,offtarget,erase,-1.5,-1.5625,-0.0625,0.049347716454489564
deepseek-coder-6.7b,binding-0-inner,binding,binding-0,inner,12,random,erase,-1.5,-1.5,0.0,0.00602627058481115
deepseek-coder-6.7b,binding-0-inner,binding,binding-0,inner,16,jlens,erase,-1.5,-1.75,-0.25,0.02043356209288249
deepseek-coder-6.7b,binding-0-inner,binding,binding-0,inner,16,rlens,erase,-1.5,-1.9375,-0.4375,0.04097210563349616
deepseek-coder-6.7b,binding-0-inner,binding,binding-0,inner,16,logit,erase,-1.5,-1.75,-0.25,0.022573857008844702
