model,item_id,family,pair_id,arm,read,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
deepseek-coder-6.7b,binding-0-outer-use,binding,binding-0,outer,use,5,jlens,erase,3.5,3.5,0.0,0.08349427142153631
deepseek-coder-6.7b,binding-0-outer-use,binding,binding-0,outer,use,5,rlens,erase,3.5,3.5,0.0,0.11092881251660627
deepseek-coder-6.7b,binding-0-outer-use,binding,binding-0,outer,use,5,logit,erase,3.5,3.5,0.0,0.00932278575234854
deepseek-coder-6.7b,binding-0-outer-use,binding,binding-0,outer,use,5,offtarget_j,erase,3.5,3.5,0.0,0.07244539463403597
deepseek-coder-6.7b,binding-0-outer-use,binding,binding-0,outer,use,5,offtarget_r,erase,3.5,3.5,0.0,0.10079789593912258
deepseek-coder-6.7b,binding-0-outer-use,binding,binding-0,outer,use,5,random,erase,3.5,3.5,0.0,0.02555325998064676
deepseek-coder-6.7b,binding-0-outer-use,binding,binding-0,outer,use,5,random_matched,erase,3.5,3.5,0.0,0.08349427758341832
deepseek-coder-6.7b,binding-0-outer-use,binding,binding-0,outer,use,29,jlens,erase,3.5,3.5,0.0,0.06922733770948711
deepseek-coder-6.7b,binding-0-outer-use,binding,binding-0,outer,use,29,rlens,erase,3.5,3.5,0.0,0.06792566143708477
deepseek-coder-6.7b,binding-0-outer-use,binding,binding-0,outer,use,29,logit,erase,3.5,3.5,0.0,0.05278112457948721
deepseek-coder-6.7b,binding-0-outer-use,binding,binding-0,outer,use,29,offtarget_j,erase,3.5,3.5,0.0,0.04992444368619165
deepseek-coder-6.7b,binding-0-outer-use,binding,binding-0,outer,use,29,offtarget_r,erase,3.5,3.5,0.0,0.04756754811837846
deepseek-coder-6.7b,binding-0-outer-use,binding,binding-0,outer,use,29,random,erase,3.5,3.5,0.0,0.009019711477508876
deepseek-coder-6.7b,binding-0-outer-use,binding,binding-0,outer,use,29,random_matched,erase,3.5,3.5,0.0,0.06922733770948711
deepseek-coder-6.7b,binding-0-outer-use,binding,binding-0,outer,use,30,jlens,erase,3.5,3.5,0.0,0.08076448083000949
deepseek-coder-6.7b,binding-0-outer-use,binding,binding-0,outer,use,30,rlens,erase,3.5,3.5,0.0,0.08076448083000949
deepseek-coder-6.7b,binding-0-outer-use,binding,binding-0,outer,use,30,logit,erase,3.5,3.5,0.0,0.08076448083000949
deepseek-coder-6.7b,binding-0-outer-use,binding,binding-0,outer,use,30,offtarget_j,erase,3.5,3.5,0.0,0.06109432387966075
deepseek-coder-6.7b,binding-0-outer-use,binding,binding-0,outer,use,30,offtarget_r,erase,3.5,3.5,0.0,0.06109432387966075
deepseek-coder-6.7b,binding-0-outer-use,binding,binding-0,outer,use,30,random,erase,3.5,3.5,0.0,0.00930208984648015
deepseek-coder-6.7b,binding-0-outer-use,binding,binding-0,outer,use,30,random_matched,erase,3.5,3.5,0.0,0.08076447447158434
deepseek-coder-6.7b,binding-0-outer-post_use,binding,binding-0,outer,post_use,5,jlens,erase,3.5,3.5,0.0,0.09411375006013831
deepseek-coder-6.7b,binding-0-outer-post_use,binding,binding-0,outer,post_use,5,rlens,erase,3.5,3.5,0.0,0.10317772234266886
deepseek-coder-6.7b,binding-0-outer-post_use,binding,binding-0,outer,post_use,5,logit,erase,3.5,3.5,0.0,0.003047866123789546
deepseek-coder-6.7b,binding-0-outer-post_use,binding,binding-0,outer,post_use,5,offtarget_j,erase,3.5,3.5,0.0,0.08180794656791773
deepseek-coder-6.7b,binding-0-outer-post_use,binding,binding-0,outer,post_use,5,offtarget_r,erase,3.5,3.625,0.125,0.08055223366813431
