edit,direction,layer,n,mean_delta,median_delta,mean_edit_norm
erase,jlens,28,100,-1.11,-0.5625,0.1086069179747751
erase,jlens,29,100,-2.454375,-0.96875,0.12749968374370474
erase,jlens,30,100,-5.0421875,-1.125,0.13225995157780257
erase,logit,28,100,-1.0871875,-0.375,0.10255706473036094
erase,logit,29,100,-2.0334375,-0.75,0.11541712455046835
erase,logit,30,100,-5.0421875,-1.125,0.13225995157780257
erase,offtarget,28,100,1.0859375,0.78125,0.055274338306996025
erase,offtarget,29,100,1.51375,1.3125,0.07280599562424156
erase,offtarget,30,100,1.9778125,1.90625,0.08362922132176377
erase,random,28,100,0.001875,0.0,0.012408887383198564
erase,random,29,100,0.0071875,0.0,0.011709257499125388
erase,random,30,100,0.004375,0.0,0.011492131677110806
erase,rlens,28,100,-1.2134375,-0.5,0.1093839619781042
erase,rlens,29,100,-2.183125,-0.8125,0.12424370234454671
erase,rlens,30,100,-5.0421875,-1.125,0.13225995157780257
