lens,layer,read,family,concept,n,median_rank,mean_rank,pass@1,pass@5,pass@10,pass@50,pass@100
j-lens,0,answer,binding_concept,active,224,12190.5,12196.13392857143,0.0,0.0,0.0,0.0,0.0
j-lens,1,answer,binding_concept,active,224,6447.5,6208.107142857143,0.0,0.0,0.0,0.0,0.0
j-lens,2,answer,binding_concept,active,224,5999.5,6002.299107142857,0.0,0.0,0.0,0.0,0.0
j-lens,3,answer,binding_concept,active,224,2955.0,2959.46875,0.0,0.0,0.0,0.0,0.0
j-lens,4,answer,binding_concept,active,224,10418.5,9764.875,0.0,0.0,0.0,0.0,0.0
j-lens,5,answer,binding_concept,active,224,2832.5,2831.6071428571427,0.0,0.0,0.0,0.0,0.0
j-lens,6,answer,binding_concept,active,224,4967.5,4845.008928571428,0.0,0.0,0.0,0.0,0.0
j-lens,7,answer,binding_concept,active,224,4503.0,4455.924107142857,0.0,0.0,0.0,0.0,0.0
j-lens,8,answer,binding_concept,active,224,3134.5,3197.1875,0.0,0.0,0.0,0.0,0.0
j-lens,9,answer,binding_concept,active,224,5192.5,5114.330357142857,0.0,0.0,0.0,0.0,0.0
j-lens,10,answer,binding_concept,active,224,3273.5,3351.8839285714284,0.0,0.0,0.0,0.0,0.0
j-lens,11,answer,binding_concept,active,224,1528.5,1607.9732142857142,0.0,0.0,0.0,0.0,0.0
j-lens,12,answer,binding_concept,active,224,4715.0,5013.794642857143,0.0,0.0,0.0,0.0,0.0
j-lens,13,answer,binding_concept,active,224,2462.0,2441.4151785714284,0.0,0.0,0.0,0.0,0.0
j-lens,14,answer,binding_concept,active,224,7452.5,7271.044642857143,0.0,0.0,0.0,0.0,0.0
j-lens,15,answer,binding_concept,active,224,3433.0,3736.9508928571427,0.0,0.0,0.0,0.0,0.0
j-lens,16,answer,binding_concept,active,224,6535.0,6787.03125,0.0,0.0,0.0,0.0,0.0
j-lens,17,answer,binding_concept,active,224,10722.0,10969.964285714286,0.0,0.0,0.0,0.0,0.0
j-lens,18,answer,binding_concept,active,224,9132.0,9712.870535714286,0.0,0.0,0.0,0.0,0.0
j-lens,19,answer,binding_concept,active,224,10055.0,10330.857142857143,0.0,0.0,0.0,0.0,0.0
j-lens,20,answer,binding_concept,active,224,10049.0,10646.549107142857,0.0,0.0,0.0,0.0,0.0
j-lens,21,answer,binding_concept,active,224,7489.5,8092.821428571428,0.0,0.0,0.0,0.0,0.0
j-lens,22,answer,binding_concept,active,224,9036.0,9441.857142857143,0.0,0.0,0.0,0.0,0.0
j-lens,23,answer,binding_concept,active,224,9746.0,9893.25892857143,0.0,0.0,0.0,0.0,0.0
j-lens,24,answer,binding_concept,active,224,7164.0,7983.772321428572,0.0,0.0,0.0,0.0,0.0
j-lens,25,answer,binding_concept,active,224,7216.0,7910.241071428572,0.0,0.0,0.0,0.0,0.0
j-lens,26,answer,binding_concept,active,224,5335.0,6086.058035714285,0.0,0.0,0.0,0.0,0.0
j-lens,27,answer,binding_concept,active,224,6595.5,7676.294642857143,0.0,0.0,0.0,0.0,0.0
j-lens,28,answer,binding_concept,active,224,2491.5,3175.558035714286,0.0,0.0,0.0,0.0,0.0
j-lens,29,answer,binding_concept,active,224,1648.0,1988.5401785714287,0.0,0.0,0.0,0.0,0.0
j-lens,30,answer,binding_concept,active,224,1144.5,1261.2589285714287,0.0,0.0,0.0,0.0,0.0
j-lens,0,answer,binding_concept,binding,224,21043.0,21163.308035714286,0.0,0.0,0.0,0.0,0.0
j-lens,1,answer,binding_concept,binding,224,20420.0,20497.51785714286,0.0,0.0,0.0,0.0,0.0
j-lens,2,answer,binding_concept,binding,224,21654.5,21730.785714285714,0.0,0.0,0.0,0.0,0.0
j-lens,3,answer,binding_concept,binding,224,3395.5,3338.8348214285716,0.0,0.0,0.0,0.0,0.0
j-lens,4,answer,binding_concept,binding,224,6471.5,6688.575892857143,0.0,0.0,0.0,0.0,0.0
j-lens,5,answer,binding_concept,binding,224,9852.5,9848.464285714286,0.0,0.0,0.0,0.0,0.0
j-lens,6,answer,binding_concept,binding,224,5779.5,5608.629464285715,0.0,0.0,0.0,0.0,0.0
j-lens,7,answer,binding_concept,binding,224,15929.5,15843.723214285714,0.0,0.0,0.0,0.0,0.0
j-lens,8,answer,binding_concept,binding,224,13047.0,13023.888392857143,0.0,0.0,0.0,0.0,0.0
j-lens,9,answer,binding_concept,binding,224,17862.5,17715.745535714286,0.0,0.0,0.0,0.0,0.0
j-lens,10,answer,binding_concept,binding,224,8524.0,8488.625,0.0,0.0,0.0,0.0,0.0
j-lens,11,answer,binding_concept,binding,224,11746.0,11912.29017857143,0.0,0.0,0.0,0.0,0.0
