model,item_id,family,pair_id,arm,read,lens,layer,position,target_in_prompt,rank,distractor_rank,margin,n_target_ids
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,use,j-lens,0,30,True,19595,18732,-0.21484375,1
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,use,j-lens,1,30,True,4196,6123,0.78125,1
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,use,j-lens,2,30,True,1088,3536,2.0859375,1
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,use,j-lens,3,30,True,230,988,2.515625,1
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,use,j-lens,4,30,True,1120,1831,0.8125,1
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,use,j-lens,5,30,True,23,98,2.8125,1
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,use,j-lens,6,30,True,99,165,0.59375,1
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,use,j-lens,7,30,True,93,82,-0.1875,1
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,use,j-lens,8,30,True,937,836,-0.203125,1
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,use,j-lens,9,30,True,241,669,1.625,1
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,use,j-lens,10,30,True,244,725,1.5546875,1
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,use,j-lens,11,30,True,562,1567,1.4453125,1
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,use,j-lens,12,30,True,400,1539,1.6171875,1
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,use,j-lens,13,30,True,580,2187,1.53125,1
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,use,j-lens,14,30,True,1520,5888,1.75,1
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,use,j-lens,15,30,True,1300,4948,1.6484375,1
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,use,j-lens,16,30,True,1444,5403,1.625,1
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,use,j-lens,17,30,True,1729,5843,1.546875,1
deepseek-coder-6.7b,binding-0-outer,binding,binding-0,outer,use,j-lens,18,30,True,1087,5924,2.140625,1
