layer,contrast,n,mean,lo,hi,excludes_zero
24,jlens_vs_offtarget,200,-0.165,-0.215625,-0.11708653775390052,True
24,rlens_vs_offtarget,200,-0.1275,-0.1700458317704426,-0.0858838140793702,True
24,jlens_vs_random_matched,200,-0.073125,-0.09662957452837827,-0.04958503014333055,True
24,rlens_vs_random_matched,200,-0.0575,-0.08000757575757576,-0.0350673446948873,True
24,jlens_vs_logit,200,0.026875,0.007771418554361324,0.04937854770531399,True
24,rlens_vs_jlens,200,0.015625,0.000624471618357488,0.03000483091787437,True
25,jlens_vs_offtarget,200,-0.2603125,-0.33547643207668315,-0.18958640617657813,True
25,rlens_vs_offtarget,200,-0.249375,-0.31871437888821996,-0.1829608938547486,True
25,jlens_vs_random_matched,200,-0.0921875,-0.11760851518026566,-0.06419489103931729,True
25,rlens_vs_random_matched,200,-0.098125,-0.1279230298207594,-0.06831395348837209,True
25,jlens_vs_logit,200,0.0265625,0.005019578313253012,0.05190197065592631,True
25,rlens_vs_jlens,200,-0.0059375,-0.024063241969273744,0.01096541068580542,False
26,jlens_vs_offtarget,200,-0.36388671875,-0.46712419066522953,-0.2660146484375,True
26,rlens_vs_offtarget,200,-0.326875,-0.4198934367509435,-0.23372087838852598,True
26,jlens_vs_random_matched,200,-0.11076171875,-0.14109227990591397,-0.07806034340445626,True
26,rlens_vs_random_matched,200,-0.1053125,-0.1328172176932367,-0.07611999162452922,True
26,jlens_vs_logit,200,0.06861328125,0.040920395656948175,0.10307109604275688,True
26,rlens_vs_jlens,200,0.00544921875,-0.010508232472474094,0.019064106082128093,False
