edit,direction,layer,n,mean_delta,median_delta,mean_edit_norm
erase,jlens,24,200,-0.058125,0.0,0.04192604706527264
erase,jlens,25,200,-0.0846875,0.0,0.041550138413885496
erase,jlens,26,200,-0.09513671875,0.0,0.04730386474776101
erase,logit,24,200,-0.085,0.0,0.041213765090058294
erase,logit,25,200,-0.11125,0.0,0.038488352095914606
erase,logit,26,200,-0.16375,0.0,0.04456364149058738
erase,offtarget_j,24,200,0.106875,0.0,0.028856665581911415
erase,offtarget_j,25,200,0.175625,0.0,0.030164723077773455
erase,offtarget_j,26,200,0.26875,0.0,0.03546356612914714
erase,offtarget_r,24,200,0.085,0.0,0.03002065927734203
erase,offtarget_r,25,200,0.15875,0.0,0.02868919991821682
erase,offtarget_r,26,200,0.2371875,0.0,0.03261184247907803
erase,random,24,200,-0.005,0.0,0.014385850922310438
erase,random,25,200,-0.0025,0.0,0.013775912198568933
erase,random,26,200,0.004375,0.0,0.014728458798594898
erase,random_matched,24,200,0.015,0.0,0.04192604688863637
erase,random_matched,25,200,0.0075,0.0,0.04155013800994027
erase,random_matched,26,200,0.015625,0.0,0.04730386480419775
erase,rlens,24,200,-0.0425,0.0,0.04373762358746303
erase,rlens,25,200,-0.090625,0.0,0.04011290468844182
erase,rlens,26,200,-0.0896875,0.0,0.04430504292273303
