model,item_id,family,pair_id,arm,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
starcoder2-3b,binding-0-outer,binding,binding-0,outer,12,jlens,erase,3.0625,3.0625,0.0,0.019204824344311297
starcoder2-3b,binding-0-outer,binding,binding-0,outer,12,rlens,erase,3.0625,3.0,-0.0625,0.05428081594378452
starcoder2-3b,binding-0-outer,binding,binding-0,outer,12,logit,erase,3.0625,3.0,-0.0625,0.00984521311115442
starcoder2-3b,binding-0-outer,binding,binding-0,outer,12,offtarget,erase,3.0625,3.0625,0.0,0.0017510311736387615
starcoder2-3b,binding-0-outer,binding,binding-0,outer,12,random,erase,3.0625,3.0625,0.0,0.006249999157015986
starcoder2-3b,binding-0-outer,binding,binding-0,outer,16,jlens,erase,3.0625,2.9375,-0.125,0.03206744114876549
starcoder2-3b,binding-0-outer,binding,binding-0,outer,16,rlens,erase,3.0625,3.0,-0.0625,0.02501375575472208
starcoder2-3b,binding-0-outer,binding,binding-0,outer,16,logit,erase,3.0625,2.9375,-0.125,0.013791273631947269
starcoder2-3b,binding-0-outer,binding,binding-0,outer,16,offtarget,erase,3.0625,3.0625,0.0,0.008214426590009993
starcoder2-3b,binding-0-outer,binding,binding-0,outer,16,random,erase,3.0625,3.0625,0.0,1.1511475311931397e-05
starcoder2-3b,binding-0-outer,binding,binding-0,outer,20,jlens,erase,3.0625,3.125,0.0625,0.014804849043486194
starcoder2-3b,binding-0-outer,binding,binding-0,outer,20,rlens,erase,3.0625,3.1875,0.125,0.025858499723763598
starcoder2-3b,binding-0-outer,binding,binding-0,outer,20,logit,erase,3.0625,3.125,0.0625,0.006731402385247436
starcoder2-3b,binding-0-outer,binding,binding-0,outer,20,offtarget,erase,3.0625,2.625,-0.4375,0.03411858518265773
starcoder2-3b,binding-0-outer,binding,binding-0,outer,20,random,erase,3.0625,3.0,-0.0625,0.009816877443809803
starcoder2-3b,binding-0-inner,binding,binding-0,inner,12,jlens,erase,-1.625,-1.625,0.0,0.012420010821131698
starcoder2-3b,binding-0-inner,binding,binding-0,inner,12,rlens,erase,-1.625,-1.5,0.125,0.030948682725200058
starcoder2-3b,binding-0-inner,binding,binding-0,inner,12,logit,erase,-1.625,-1.625,0.0,0.01378982750505968
starcoder2-3b,binding-0-inner,binding,binding-0,inner,12,offtarget,erase,-1.625,-1.625,0.0,0.023609448511489543
starcoder2-3b,binding-0-inner,binding,binding-0,inner,12,random,erase,-1.625,-1.5,0.125,0.0027601028473356365
starcoder2-3b,binding-0-inner,binding,binding-0,inner,16,jlens,erase,-1.625,-1.625,0.0,0.0062911443061072995
starcoder2-3b,binding-0-inner,binding,binding-0,inner,16,rlens,erase,-1.625,-1.625,0.0,0.008748559001260758
starcoder2-3b,binding-0-inner,binding,binding-0,inner,16,logit,erase,-1.625,-1.625,0.0,0.012059161027532156
starcoder2-3b,binding-0-inner,binding,binding-0,inner,16,offtarget,erase,-1.625,-1.5,0.125,0.023791975185909132
starcoder2-3b,binding-0-inner,binding,binding-0,inner,16,random,erase,-1.625,-1.5,0.125,0.009139543405289031
starcoder2-3b,binding-0-inner,binding,binding-0,inner,20,jlens,erase,-1.625,-1.5,0.125,0.010175447603920758
starcoder2-3b,binding-0-inner,binding,binding-0,inner,20,rlens,erase,-1.625,-1.375,0.25,0.012233322358219879
starcoder2-3b,binding-0-inner,binding,binding-0,inner,20,logit,erase,-1.625,-1.625,0.0,0.00026713314570986796
starcoder2-3b,binding-0-inner,binding,binding-0,inner,20,offtarget,erase,-1.625,-1.375,0.25,0.02127016051953622
starcoder2-3b,binding-0-inner,binding,binding-0,inner,20,random,erase,-1.625,-1.625,0.0,0.01585643510251599
starcoder2-3b,defuse-0,defuse,,,12,jlens,erase,3.0625,3.0625,0.0,0.027077098457578216
starcoder2-3b,defuse-0,defuse,,,12,rlens,erase,3.0625,3.125,0.0625,0.06274875425793175
starcoder2-3b,defuse-0,defuse,,,12,logit,erase,3.0625,3.0625,0.0,0.01035582762782163
starcoder2-3b,defuse-0,defuse,,,12,offtarget,erase,3.0625,3.0625,0.0,0.0031346391972062503
starcoder2-3b,defuse-0,defuse,,,12,random,erase,3.0625,3.0625,0.0,0.002903962440966297
starcoder2-3b,defuse-0,defuse,,,16,jlens,erase,3.0625,3.0625,0.0,0.00481242467467872
starcoder2-3b,defuse-0,defuse,,,16,rlens,erase,3.0625,3.0625,0.0,0.006466455846110591
starcoder2-3b,defuse-0,defuse,,,16,logit,erase,3.0625,3.0625,0.0,0.00022892907967053447
starcoder2-3b,defuse-0,defuse,,,16,offtarget,erase,3.0625,3.0625,0.0,0.005251341792234584
starcoder2-3b,defuse-0,defuse,,,16,random,erase,3.0625,3.125,0.0625,0.00818331685895588
starcoder2-3b,defuse-0,defuse,,,20,jlens,erase,3.0625,3.25,0.1875,0.023630099167547502
starcoder2-3b,defuse-0,defuse,,,20,rlens,erase,3.0625,3.1875,0.125,0.01692038455197344
starcoder2-3b,defuse-0,defuse,,,20,logit,erase,3.0625,3.1875,0.125,0.015922388102789727
starcoder2-3b,defuse-0,defuse,,,20,offtarget,erase,3.0625,2.6875,-0.375,0.025302011738915536
starcoder2-3b,defuse-0,defuse,,,20,random,erase,3.0625,3.0625,0.0,0.014894605739401968
starcoder2-3b,alias-0,alias,,,12,jlens,erase,-3.90625,-3.875,0.03125,0.0048215524971285005
starcoder2-3b,alias-0,alias,,,12,rlens,erase,-3.90625,-3.625,0.28125,0.0446880789424928
starcoder2-3b,alias-0,alias,,,12,logit,erase,-3.90625,-3.8125,0.09375,0.009408406304456194
starcoder2-3b,alias-0,alias,,,12,offtarget,erase,-3.90625,-3.34375,0.5625,0.0514653461771942
starcoder2-3b,alias-0,alias,,,12,random,erase,-3.90625,-3.9375,-0.03125,0.003964355792556531
starcoder2-3b,alias-0,alias,,,16,jlens,erase,-3.90625,-3.8125,0.09375,0.007607121918454696
starcoder2-3b,alias-0,alias,,,16,rlens,erase,-3.90625,-3.6875,0.21875,0.016913496442515115
starcoder2-3b,alias-0,alias,,,16,logit,erase,-3.90625,-4.0,-0.09375,0.010789276672124502
starcoder2-3b,alias-0,alias,,,16,offtarget,erase,-3.90625,-3.78125,0.125,0.008442848790736493
starcoder2-3b,alias-0,alias,,,16,random,erase,-3.90625,-3.8125,0.09375,0.005595664473970539
starcoder2-3b,alias-0,alias,,,20,jlens,erase,-3.90625,-2.75,1.15625,0.029393094520923053
starcoder2-3b,alias-0,alias,,,20,rlens,erase,-3.90625,-2.875,1.03125,0.02819988269609958
starcoder2-3b,alias-0,alias,,,20,logit,erase,-3.90625,-3.78125,0.125,0.003971043561778284
starcoder2-3b,alias-0,alias,,,20,offtarget,erase,-3.90625,-4.15625,-0.25,0.00820637109216406
starcoder2-3b,alias-0,alias,,,20,random,erase,-3.90625,-3.9375,-0.03125,0.004762007670668803
starcoder2-3b,call-0,call,,,12,jlens,erase,-3.125,-3.0625,0.0625,0.0015286703774744991
starcoder2-3b,call-0,call,,,12,rlens,erase,-3.125,-3.1875,-0.0625,0.04662161707462446
starcoder2-3b,call-0,call,,,12,logit,erase,-3.125,-3.25,-0.125,0.009575154251943854
starcoder2-3b,call-0,call,,,12,offtarget,erase,-3.125,-3.25,-0.125,0.007968472804493584
starcoder2-3b,call-0,call,,,12,random,erase,-3.125,-3.125,0.0,0.02262225697245768
starcoder2-3b,call-0,call,,,16,jlens,erase,-3.125,-2.75,0.375,0.022817492389954012
starcoder2-3b,call-0,call,,,16,rlens,erase,-3.125,-2.8125,0.3125,0.023918126900415834
starcoder2-3b,call-0,call,,,16,logit,erase,-3.125,-3.125,0.0,0.004816569181143963
starcoder2-3b,call-0,call,,,16,offtarget,erase,-3.125,-3.5625,-0.4375,0.030867094675287008
starcoder2-3b,call-0,call,,,16,random,erase,-3.125,-3.125,0.0,0.019211333715395736
starcoder2-3b,call-0,call,,,20,jlens,erase,-3.125,-3.0,0.125,0.005722152583929715
starcoder2-3b,call-0,call,,,20,rlens,erase,-3.125,-2.4375,0.6875,0.02112352514730145
starcoder2-3b,call-0,call,,,20,logit,erase,-3.125,-3.3125,-0.1875,0.006624207926013538
starcoder2-3b,call-0,call,,,20,offtarget,erase,-3.125,-3.875,-0.75,0.017987066746636523
starcoder2-3b,call-0,call,,,20,random,erase,-3.125,-3.0625,0.0625,0.014706723412418635
starcoder2-3b,arith-0,arith,,,12,jlens,erase,-1.78125,-1.8125,-0.03125,0.003827931769671937
starcoder2-3b,arith-0,arith,,,12,rlens,erase,-1.78125,-1.78125,0.0,0.044421691660514274
starcoder2-3b,arith-0,arith,,,12,logit,erase,-1.78125,-1.78125,0.0,0.0032755919374782036
starcoder2-3b,arith-0,arith,,,12,offtarget,erase,-1.78125,-1.78125,0.0,0.006253235207102073
starcoder2-3b,arith-0,arith,,,12,random,erase,-1.78125,-1.8125,-0.03125,0.006966717583479101
starcoder2-3b,arith-0,arith,,,16,jlens,erase,-1.78125,-1.78125,0.0,0.005405175619831086
starcoder2-3b,arith-0,arith,,,16,rlens,erase,-1.78125,-1.78125,0.0,0.015221424387473292
starcoder2-3b,arith-0,arith,,,16,logit,erase,-1.78125,-1.8125,-0.03125,0.0074145742779134815
starcoder2-3b,arith-0,arith,,,16,offtarget,erase,-1.78125,-1.8125,-0.03125,0.0015472034904600975
starcoder2-3b,arith-0,arith,,,16,random,erase,-1.78125,-1.8125,-0.03125,0.009792596990315882
starcoder2-3b,arith-0,arith,,,20,jlens,erase,-1.78125,-1.6875,0.09375,0.02563127667662202
starcoder2-3b,arith-0,arith,,,20,rlens,erase,-1.78125,-1.75,0.03125,0.03887054073714929
starcoder2-3b,arith-0,arith,,,20,logit,erase,-1.78125,-1.78125,0.0,0.002997590480506224
starcoder2-3b,arith-0,arith,,,20,offtarget,erase,-1.78125,-1.96875,-0.1875,0.020928576157805814
starcoder2-3b,arith-0,arith,,,20,random,erase,-1.78125,-1.78125,0.0,0.025310217352922156
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,12,jlens,erase,3.25,3.5,0.25,0.06161163564327189
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,12,rlens,erase,3.25,3.25,0.0,0.03489415307966444
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,12,logit,erase,3.25,3.5,0.25,0.04517707275571974
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,12,offtarget,erase,3.25,3.5,0.25,0.0452091810442116
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,12,random,erase,3.25,3.25,0.0,0.014255724666550368
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,16,jlens,erase,3.25,3.5,0.25,0.012973334806675783
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,16,rlens,erase,3.25,3.25,0.0,0.03555815301798768
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,16,logit,erase,3.25,3.25,0.0,0.02624814260822698
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,16,offtarget,erase,3.25,3.25,0.0,0.009917017834270266
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,16,random,erase,3.25,3.25,0.0,0.031899872487924065
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,20,jlens,erase,3.25,3.5,0.25,0.11146217543913543
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,20,rlens,erase,3.25,3.5,0.25,0.11044392355659897
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,20,logit,erase,3.25,3.25,0.0,0.12448457259906756
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,20,offtarget,erase,3.25,3.25,0.0,0.019538917211816772
starcoder2-3b,binding-0-outer-answer,binding,binding-0,outer,20,random,erase,3.25,3.25,0.0,0.012603057019003923
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,12,jlens,erase,1.75,1.75,0.0,0.048955746393057144
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,12,rlens,erase,1.75,1.75,0.0,0.035036272420428664
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,12,logit,erase,1.75,1.75,0.0,0.020931838378058225
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,12,offtarget,erase,1.75,1.75,0.0,0.06578551638064528
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,12,random,erase,1.75,1.75,0.0,0.014034196870721286
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,16,jlens,erase,1.75,1.75,0.0,0.017521653219769704
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,16,rlens,erase,1.75,1.5,-0.25,0.008618055713764979
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,16,logit,erase,1.75,1.75,0.0,6.134760441169351e-05
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,16,offtarget,erase,1.75,1.75,0.0,0.006552241926979932
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,16,random,erase,1.75,1.5,-0.25,0.0001265145017328678
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,20,jlens,erase,1.75,1.75,0.0,0.03942472781809284
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,20,rlens,erase,1.75,1.75,0.0,0.05487420731949646
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,20,logit,erase,1.75,1.75,0.0,0.058419661176127714
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,20,offtarget,erase,1.75,1.75,0.0,0.018974983997859556
starcoder2-3b,binding-0-inner-answer,binding,binding-0,inner,20,random,erase,1.75,1.5,-0.25,0.038672679905406224
starcoder2-3b,defuse-0-answer,defuse,,,12,jlens,erase,1.625,1.625,0.0,0.03192372638519897
starcoder2-3b,defuse-0-answer,defuse,,,12,rlens,erase,1.625,1.625,0.0,0.047015152818407915
starcoder2-3b,defuse-0-answer,defuse,,,12,logit,erase,1.625,1.625,0.0,0.023496692228336138
starcoder2-3b,defuse-0-answer,defuse,,,12,offtarget,erase,1.625,1.75,0.125,0.027147237180306958
starcoder2-3b,defuse-0-answer,defuse,,,12,random,erase,1.625,1.75,0.125,0.032716232948639366
starcoder2-3b,defuse-0-answer,defuse,,,16,jlens,erase,1.625,1.625,0.0,0.037599904960065524
starcoder2-3b,defuse-0-answer,defuse,,,16,rlens,erase,1.625,1.5,-0.125,0.04950274923283899
starcoder2-3b,defuse-0-answer,defuse,,,16,logit,erase,1.625,1.625,0.0,0.04943755579679012
starcoder2-3b,defuse-0-answer,defuse,,,16,offtarget,erase,1.625,1.75,0.125,0.02668208446701088
starcoder2-3b,defuse-0-answer,defuse,,,16,random,erase,1.625,1.5,-0.125,0.005146377391906129
starcoder2-3b,defuse-0-answer,defuse,,,20,jlens,erase,1.625,1.625,0.0,0.07263902833090077
starcoder2-3b,defuse-0-answer,defuse,,,20,rlens,erase,1.625,1.5,-0.125,0.0577505011760951
starcoder2-3b,defuse-0-answer,defuse,,,20,logit,erase,1.625,1.625,0.0,0.07969778818289232
starcoder2-3b,defuse-0-answer,defuse,,,20,offtarget,erase,1.625,1.75,0.125,0.023267516231453875
starcoder2-3b,defuse-0-answer,defuse,,,20,random,erase,1.625,1.625,0.0,0.023737467802830398
starcoder2-3b,alias-0-answer,alias,,,12,jlens,erase,11.0,11.0,0.0,0.025124371851755763
starcoder2-3b,alias-0-answer,alias,,,12,rlens,erase,11.0,11.0,0.0,0.051223823022884696
starcoder2-3b,alias-0-answer,alias,,,12,logit,erase,11.0,11.0,0.0,0.017839940818302154
starcoder2-3b,alias-0-answer,alias,,,12,offtarget,erase,11.0,11.0,0.0,0.03875931436782347
starcoder2-3b,alias-0-answer,alias,,,12,random,erase,11.0,11.0,0.0,0.022170330652867346
starcoder2-3b,alias-0-answer,alias,,,16,jlens,erase,11.0,11.0,0.0,0.00019895630066321738
starcoder2-3b,alias-0-answer,alias,,,16,rlens,erase,11.0,10.875,-0.125,0.004810791810563171
starcoder2-3b,alias-0-answer,alias,,,16,logit,erase,11.0,11.0,0.0,0.0190096612595105
starcoder2-3b,alias-0-answer,alias,,,16,offtarget,erase,11.0,11.125,0.125,0.0293339694509139
starcoder2-3b,alias-0-answer,alias,,,16,random,erase,11.0,11.0,0.0,0.02215263347431957
starcoder2-3b,alias-0-answer,alias,,,20,jlens,erase,11.0,11.125,0.125,0.0862712914078989
starcoder2-3b,alias-0-answer,alias,,,20,rlens,erase,11.0,11.0,0.0,0.10348579066914014
starcoder2-3b,alias-0-answer,alias,,,20,logit,erase,11.0,10.875,-0.125,0.10335116040706845
starcoder2-3b,alias-0-answer,alias,,,20,offtarget,erase,11.0,11.0,0.0,0.002089315958668571
starcoder2-3b,alias-0-answer,alias,,,20,random,erase,11.0,11.0,0.0,0.008551835942982956
starcoder2-3b,call-0-answer,call,,,12,jlens,erase,11.625,11.625,0.0,0.0497331375187322
starcoder2-3b,call-0-answer,call,,,12,rlens,erase,11.625,11.5,-0.125,0.06609692005866269
starcoder2-3b,call-0-answer,call,,,12,logit,erase,11.625,11.625,0.0,0.03587943127297607
starcoder2-3b,call-0-answer,call,,,12,offtarget,erase,11.625,11.625,0.0,0.02728767283262878
starcoder2-3b,call-0-answer,call,,,12,random,erase,11.625,11.625,0.0,0.03273251174362463
starcoder2-3b,call-0-answer,call,,,16,jlens,erase,11.625,11.625,0.0,0.06054954321490157
starcoder2-3b,call-0-answer,call,,,16,rlens,erase,11.625,11.75,0.125,0.0657555583115321
starcoder2-3b,call-0-answer,call,,,16,logit,erase,11.625,11.375,-0.25,0.049724065693152235
starcoder2-3b,call-0-answer,call,,,16,offtarget,erase,11.625,11.625,0.0,0.007869727904806447
starcoder2-3b,call-0-answer,call,,,16,random,erase,11.625,11.625,0.0,0.02667306420095016
starcoder2-3b,call-0-answer,call,,,20,jlens,erase,11.625,11.75,0.125,0.12875655807580533
starcoder2-3b,call-0-answer,call,,,20,rlens,erase,11.625,11.5,-0.125,0.1126946816061924
starcoder2-3b,call-0-answer,call,,,20,logit,erase,11.625,11.375,-0.25,0.12600411330461292
starcoder2-3b,call-0-answer,call,,,20,offtarget,erase,11.625,11.25,-0.375,0.022205645733556056
starcoder2-3b,call-0-answer,call,,,20,random,erase,11.625,11.625,0.0,0.0013600020556483912
starcoder2-3b,arith-0-answer,arith,,,12,jlens,erase,4.375,4.5,0.125,0.054947664670594976
starcoder2-3b,arith-0-answer,arith,,,12,rlens,erase,4.375,4.375,0.0,0.010857206618724673
starcoder2-3b,arith-0-answer,arith,,,12,logit,erase,4.375,4.375,0.0,0.02146582882924096
starcoder2-3b,arith-0-answer,arith,,,12,offtarget,erase,4.375,4.375,0.0,0.06547806400753098
starcoder2-3b,arith-0-answer,arith,,,12,random,erase,4.375,4.375,0.0,0.013861952842635373
starcoder2-3b,arith-0-answer,arith,,,16,jlens,erase,4.375,4.5,0.125,0.019247990489041834
starcoder2-3b,arith-0-answer,arith,,,16,rlens,erase,4.375,4.375,0.0,0.0032595830647289986
starcoder2-3b,arith-0-answer,arith,,,16,logit,erase,4.375,4.375,0.0,0.03380225933107255
starcoder2-3b,arith-0-answer,arith,,,16,offtarget,erase,4.375,4.25,-0.125,0.030400349266313728
starcoder2-3b,arith-0-answer,arith,,,16,random,erase,4.375,4.375,0.0,0.021155691571449142
starcoder2-3b,arith-0-answer,arith,,,20,jlens,erase,4.375,4.25,-0.125,0.03877845968341959
starcoder2-3b,arith-0-answer,arith,,,20,rlens,erase,4.375,4.375,0.0,0.021678265744687713
starcoder2-3b,arith-0-answer,arith,,,20,logit,erase,4.375,4.5,0.125,0.0525149945441945
starcoder2-3b,arith-0-answer,arith,,,20,offtarget,erase,4.375,4.5,0.125,0.04051515445491474
starcoder2-3b,arith-0-answer,arith,,,20,random,erase,4.375,4.375,0.0,0.022000947831423173
starcoder2-3b,binding-1-outer,binding,binding-1,outer,12,jlens,erase,0.375,0.375,0.0,0.0029282184808858795
starcoder2-3b,binding-1-outer,binding,binding-1,outer,12,rlens,erase,0.375,0.5,0.125,0.06155457711448575
starcoder2-3b,binding-1-outer,binding,binding-1,outer,12,logit,erase,0.375,0.375,0.0,0.003603588428260088
starcoder2-3b,binding-1-outer,binding,binding-1,outer,12,offtarget,erase,0.375,0.375,0.0,6.74940380300141e-05
starcoder2-3b,binding-1-outer,binding,binding-1,outer,12,random,erase,0.375,0.375,0.0,0.00021079938515913986
starcoder2-3b,binding-1-outer,binding,binding-1,outer,16,jlens,erase,0.375,0.375,0.0,0.004071627331429357
starcoder2-3b,binding-1-outer,binding,binding-1,outer,16,rlens,erase,0.375,0.375,0.0,0.0005376243499613882
starcoder2-3b,binding-1-outer,binding,binding-1,outer,16,logit,erase,0.375,0.3125,-0.0625,0.0003066223313198452
starcoder2-3b,binding-1-outer,binding,binding-1,outer,16,offtarget,erase,0.375,0.375,0.0,0.0054213546125063275
starcoder2-3b,binding-1-outer,binding,binding-1,outer,16,random,erase,0.375,0.375,0.0,0.024377878406977475
starcoder2-3b,binding-1-outer,binding,binding-1,outer,20,jlens,erase,0.375,0.375,0.0,0.028855580817658488
