layer,contrast,n,mean,lo,hi,excludes_zero
12,jlens_vs_offtarget,200,0.0,-0.01583710407239819,0.01687583031400966,False
12,rlens_vs_offtarget,200,-0.0175,-0.039871265484576146,0.005625,False
12,jlens_vs_random_matched,200,0.000625,-0.01683937823834197,0.017523628790121367,False
12,rlens_vs_random_matched,200,0.005625,-0.014602803738317757,0.024376658519553063,False
12,jlens_vs_logit,200,-0.01125,-0.027616279069767442,0.004678281470265725,False
12,rlens_vs_jlens,200,0.005,-0.012077781673679289,0.021932097082083435,False
16,jlens_vs_offtarget,200,-0.025625,-0.04318181818181818,-0.009067122850491853,True
16,rlens_vs_offtarget,200,-0.010625,-0.02884963768115942,0.007502336448598118,False
16,jlens_vs_random_matched,200,-0.015,-0.031428617018081334,0.0010674272792681478,False
16,rlens_vs_random_matched,200,-0.00875,-0.025259067357512953,0.006038647342995169,False
16,jlens_vs_logit,200,-0.0275,-0.04331346298063812,-0.0114247311827957,True
16,rlens_vs_jlens,200,0.00625,-0.008064516129032258,0.02125276898734176,False
20,jlens_vs_offtarget,200,-0.0175,-0.036372098646034814,0.0012953367875647669,False
20,rlens_vs_offtarget,200,-0.025,-0.04710487234580384,-0.0040887850467289715,True
20,jlens_vs_random_matched,200,-0.01,-0.030730950021024807,0.006877706005586577,False
20,rlens_vs_random_matched,200,-0.01875,-0.043877178215990235,0.0024175724637681044,False
20,jlens_vs_logit,200,0.0175,0.0,0.0342767137096774,False
20,rlens_vs_jlens,200,-0.00875,-0.0293307437150838,0.01165863638564718,False
