edit,direction,layer,n,mean_delta,median_delta,mean_edit_norm
erase,jlens,12,100,-0.020615234375,0.0,0.02768782831625606
erase,jlens,16,100,0.02466796875,0.0,0.01886057383367773
erase,jlens,20,100,0.1676171875,0.0625,0.04708121261023604
erase,logit,12,100,-0.0008984375,0.0,0.013863040308689241
erase,logit,16,100,-0.01912109375,0.0,0.01900704722578652
erase,logit,20,100,-0.04634765625,0.0,0.04396501681614931
erase,offtarget,12,100,0.03130859375,0.0,0.027180494402602725
erase,offtarget,16,100,0.007197265625,0.0,0.013828731115759869
erase,offtarget,20,100,-0.0443359375,-0.046875,0.023179268447370626
erase,random,12,100,0.0037890625,0.0,0.014514799653164242
erase,random,16,100,0.0046875,0.0,0.013427048981341706
erase,random,20,100,0.000859375,0.0,0.013584815220250214
erase,rlens,12,100,0.0098046875,0.0,0.03686827942398266
erase,rlens,16,100,0.0176953125,0.0,0.02066590897698428
erase,rlens,20,100,0.1876953125,0.09375,0.05040655901305005
