model,item_id,family,pair_id,arm,read,layer,direction,edit,clean_logit_diff,ablated_logit_diff,delta_logit_diff,edit_norm_ratio
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,24,jlens,erase,3.25,3.25,0.0,0.015498493525563968
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,24,rlens,erase,3.25,3.25,0.0,0.03302870121100603
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,24,logit,erase,3.25,3.25,0.0,0.01322700304650008
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,24,offtarget_j,erase,3.25,3.5,0.25,0.028766433463159356
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,24,offtarget_r,erase,3.25,3.5,0.25,0.033221790299970515
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,24,random,erase,3.25,3.25,0.0,0.011290573879978338
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,24,random_matched,erase,3.25,3.25,0.0,0.015498493525563968
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,25,jlens,erase,3.25,3.25,0.0,0.023700201544462608
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,25,rlens,erase,3.25,3.25,0.0,0.023474369494360218
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,25,logit,erase,3.25,3.25,0.0,0.018724905275447803
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,25,offtarget_j,erase,3.25,3.25,0.0,0.02622093480449854
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,25,offtarget_r,erase,3.25,3.5,0.25,0.02078853686113055
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,25,random,erase,3.25,3.5,0.25,0.019719215514835298
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,25,random_matched,erase,3.25,3.25,0.0,0.02370020519997464
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,26,jlens,erase,3.25,3.25,0.0,0.009603571012329983
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,26,rlens,erase,3.25,3.25,0.0,0.013102073587467095
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,26,logit,erase,3.25,3.25,0.0,0.011031682123260915
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,26,offtarget_j,erase,3.25,3.25,0.0,0.012844202857801669
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,26,offtarget_r,erase,3.25,3.25,0.0,0.008343148292912378
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,26,random,erase,3.25,3.25,0.0,0.013233763422590944
starcoder2-3b,binding-0-outer-use,binding,binding-0,outer,use,26,random_matched,erase,3.25,3.5,0.25,0.009603570194979748
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,24,jlens,erase,3.25,3.25,0.0,0.007040704365309366
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,24,rlens,erase,3.25,3.25,0.0,0.01654590323984987
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,24,logit,erase,3.25,3.25,0.0,0.0018944392280208244
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,24,offtarget_j,erase,3.25,3.25,0.0,0.007455945370520638
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,24,offtarget_r,erase,3.25,3.25,0.0,0.015996468932011326
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,24,random,erase,3.25,3.25,0.0,0.005792783287222725
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,24,random_matched,erase,3.25,3.25,0.0,0.007040704365309366
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,25,jlens,erase,3.25,3.25,0.0,0.0031145488424712863
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,25,rlens,erase,3.25,3.25,0.0,0.0033189103304845295
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,25,logit,erase,3.25,3.25,0.0,0.0031634394679974885
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,25,offtarget_j,erase,3.25,3.25,0.0,0.0058290440075136835
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,25,offtarget_r,erase,3.25,3.25,0.0,0.0002456892796870413
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,25,random,erase,3.25,3.25,0.0,0.018482324496040477
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,25,random_matched,erase,3.25,3.5,0.25,0.003114548656138943
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,26,jlens,erase,3.25,3.5,0.25,0.009993663705562136
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,26,rlens,erase,3.25,3.5,0.25,0.014145064165252285
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,26,logit,erase,3.25,3.25,0.0,0.003208870007144546
starcoder2-3b,binding-0-outer-post_use,binding,binding-0,outer,post_use,26,offtarget_j,erase,3.25,3.25,0.0,0.019363541605352263
