edit,direction,layer,n,mean_delta,median_delta,mean_edit_norm
erase,jlens,22,100,0.104453125,0.0,0.0659767640773659
erase,jlens,24,100,0.0171875,0.0,0.07394940818306779
erase,jlens,28,100,-4.45578125,-3.25,0.12461123966303374
erase,logit,22,100,-0.178658447265625,-0.125,0.059754317731698856
erase,logit,24,100,-0.24921875,-0.25,0.06999641228248273
erase,logit,28,100,-4.45578125,-3.25,0.12461123966303374
erase,offtarget,22,100,0.0648828125,0.0,0.037495843835640044
erase,offtarget,24,100,0.2194921875,0.125,0.04094629663253566
erase,offtarget,28,100,3.721796875,3.125,0.09815290078679582
erase,random,22,100,0.0038671875,0.0,0.01410482976308176
erase,random,24,100,-0.00615234375,0.0,0.014282168057092887
erase,random,28,100,0.00068359375,0.0,0.012886706256471621
erase,rlens,22,100,0.242578125,0.125,0.06577612494064203
erase,rlens,24,100,0.2496533203125,0.125,0.07394846189374683
erase,rlens,28,100,-4.45578125,-3.25,0.12461123966303374
