lens,layer,read,family,concept,n_bases,binding_delta_ab,binding_delta_ab_lo,binding_delta_ab_hi,binding_delta_ba,binding_delta_ba_lo,binding_delta_ba_hi,value_delta,value_delta_lo,value_delta_hi,crossed_agreement
j-lens,0,answer,binding_concept,active,56,0.015066964285714286,0.009486607142857142,0.021205357142857144,0.017857142857142856,0.012555803571428572,0.0234375,-0.0027901785714285715,-0.006696428571428571,0.0008370535714285714,True
j-lens,0,answer,binding_concept,binding,56,0.006975446428571429,0.0025076729910714288,0.01171875,0.005022321428571429,0.0005545479910714288,0.009626116071428572,0.001953125,-0.002096121651785714,0.005998883928571429,True
j-lens,0,answer,binding_concept,bound,56,0.008928571428571428,0.0013950892857142857,0.016462053571428572,0.0087890625,0.0013950892857142857,0.016322544642857144,0.00013950892857142856,-0.0030691964285714285,0.0034877232142857145,True
j-lens,0,answer,binding_concept,definition,56,0.009486607142857142,0.0005580357142857143,0.017306082589285676,0.008928571428571428,0.0008370535714285714,0.016741071428571428,0.0005580357142857143,-0.00390625,0.005022321428571429,True
j-lens,0,answer,binding_concept,global,56,-0.019112723214285716,-0.027905273437500003,-0.011160714285714286,-0.019949776785714284,-0.0283203125,-0.011858258928571428,0.0008370535714285714,-0.004045758928571429,0.005440848214285714,True
j-lens,0,answer,binding_concept,inactive,56,-0.005375453404017857,-0.009626552036830358,-0.001316070556640628,-0.006251743861607143,-0.009775216238839285,-0.0024239676339285715,0.0008762904575892857,-0.002808380126953125,0.004377092633928571,True
j-lens,0,answer,binding_concept,inner,56,-0.0037667410714285715,-0.010044642857142858,0.0027901785714285715,-0.003208705357142857,-0.009486607142857142,0.003208705357142857,-0.0005580357142857143,-0.003909737723214285,0.0027901785714285715,True
j-lens,0,answer,binding_concept,local,56,0.009347098214285714,0.0019507271902901788,0.01643611363002232,0.008566720145089286,0.0009195600237165178,0.015739440917968743,0.0007803780691964286,-0.0026945931570870538,0.004442814418247766,True
j-lens,0,answer,binding_concept,outer,56,0.0013950892857142857,-0.005301339285714286,0.008091517857142858,-0.00027901785714285713,-0.006699916294642856,0.006277901785714286,0.0016741071428571428,-0.0018136160714285715,0.005022321428571429,False
j-lens,0,answer,binding_concept,scope,56,-0.006487165178571429,-0.015774100167410716,0.002781677246093749,-0.00897216796875,-0.01703839983258929,-0.00035705566406250236,0.0024850027901785715,-0.0011337280273437502,0.005851309640066961,True
j-lens,0,answer,binding_concept,scoped,56,-0.005232674734933036,-0.017572784423828123,0.006573895045689171,-0.007657596043178012,-0.019799818311418808,0.004520957810538149,0.002424921308244977,-0.0008641890117100326,0.005571831975664408,True
j-lens,0,answer,binding_concept,shadow,56,-0.004743303571428571,-0.013396344866071427,0.004049246651785696,-0.00390625,-0.0122802734375,0.0048828125,-0.0008370535714285714,-0.004603794642857143,0.0029296875,True
j-lens,0,answer,binding_concept,value,56,-0.0010463169642857143,-0.006208147321428571,0.003976004464285714,-0.0028599330357142855,-0.008510044642857142,0.0024431501116071335,0.0018136160714285715,-0.0009765625,0.004813058035714286,True
j-lens,0,answer,binding_concept,variable,56,0.016322544642857144,0.0092041015625,0.023577008928571428,0.014787946428571428,0.007111467633928572,0.02288295200892855,0.0015345982142857143,-0.0020926339285714285,0.005165318080357124,True
j-lens,0,answer,generic_code,buffer,56,0.007184709821428571,0.002509416852678572,0.011788504464285714,0.006626674107142857,0.0018118722098214286,0.011439732142857142,0.0005580357142857143,-0.002650669642857143,0.0037667410714285715,True
j-lens,0,answer,generic_code,class,56,-0.020926339285714284,-0.027622767857142856,-0.014780970982142894,-0.018415178571428572,-0.025676618303571427,-0.010874720982142894,-0.0025111607142857145,-0.006696428571428571,0.0016741071428571428,True
j-lens,0,answer,generic_code,count,56,-0.004185267857142857,-0.012834821428571428,0.004471261160714247,-0.004743303571428571,-0.013950892857142858,0.004464285714285714,0.0005580357142857143,-0.003627232142857143,0.005022321428571429,True
j-lens,0,answer,generic_code,error,56,0.008928571428571428,0.004185267857142857,0.013671875,0.008091517857142858,0.0016741071428571428,0.014229910714285714,0.0008370535714285714,-0.003627232142857143,0.005580357142857143,True
j-lens,0,answer,generic_code,file,56,-0.007393973214285714,-0.010463169642857142,-0.004464285714285714,-0.008231026785714286,-0.011160714285714286,-0.005440848214285714,0.0008370535714285714,-0.0030691964285714285,0.004603794642857143,True
j-lens,0,answer,generic_code,import,56,-0.00299072265625,-0.009925624302455357,0.0038805280412946403,-0.004132952008928571,-0.011257716587611606,0.0026423863002232118,0.0011422293526785715,-0.002485220772879464,0.004717145647321429,True
j-lens,0,answer,generic_code,index,56,0.0004185267857142857,-0.005998883928571429,0.006978934151785696,0.001953125,-0.004603794642857143,0.008510044642857142,-0.0015345982142857143,-0.004743303571428571,0.0018136160714285715,True
j-lens,0,answer,generic_code,number,56,-0.0018136160714285715,-0.008928571428571428,0.004603794642857143,-0.002232142857142857,-0.009071568080357143,0.004185267857142857,0.0004185267857142857,-0.0033482142857142855,0.004324776785714286,True
j-lens,0,answer,generic_code,path,56,-0.012276785714285714,-0.021484375,-0.0030691964285714285,-0.008370535714285714,-0.018136160714285716,0.0016741071428571428,-0.00390625,-0.007254464285714286,-0.0005580357142857143,True
j-lens,0,answer,generic_code,print,56,0.0037667410714285715,-0.0034912109375,0.010881696428571428,0.00390625,-0.004886300223214285,0.01228027343749998,-0.00013950892857142856,-0.0037667410714285715,0.003491210937499981,True
j-lens,0,answer,generic_code,range,56,-0.010323660714285714,-0.018833705357142856,-0.001953125,-0.010184151785714286,-0.018833705357142856,-0.0018136160714285715,-0.00013950892857142856,-0.0029296875,0.002650669642857143,True
j-lens,0,answer,generic_code,result,56,-0.013113839285714286,-0.019391741071428572,-0.006696428571428571,-0.015485491071428572,-0.021763392857142856,-0.008649553571428572,0.0023716517857142855,-0.0006975446428571429,0.005301339285714286,True
j-lens,0,answer,generic_code,return,56,0.003627232142857143,-0.00390625,0.010881696428571428,0.0025111607142857145,-0.005859375,0.010602678571428572,0.0011160714285714285,-0.0027901785714285715,0.004743303571428571,True
j-lens,0,answer,generic_code,string,56,0.008231026785714286,0.0016706194196428573,0.014369419642857142,0.009068080357142858,0.0023716517857142855,0.016183035714285716,-0.0008370535714285714,-0.004743303571428571,0.003208705357142857,True
j-lens,0,answer,generic_code,total,56,0.003627232142857143,-0.006417410714285714,0.013117327008928552,0.005161830357142857,-0.005440848214285714,0.014651925223214266,-0.0015345982142857143,-0.005022321428571429,0.0023716517857142855,True
j-lens,0,answer,positional,earlier,56,0.015625,0.007533482142857143,0.02372349330357139,0.017020089285714284,0.008091517857142858,0.025397600446428532,-0.0013950892857142857,-0.005301339285714286,0.0025111607142857145,True
j-lens,0,answer,positional,kept,56,0.0011160714285714285,-0.0033482142857142855,0.005580357142857143,0.0016741071428571428,-0.0027971540178571425,0.006424386160714247,-0.0005580357142857143,-0.004743303571428571,0.0033551897321428188,True
j-lens,0,answer,positional,later,56,-0.002232142857142857,-0.009207589285714286,0.004185267857142857,0.0,-0.007254464285714286,0.007254464285714286,-0.002232142857142857,-0.005866350446428571,0.001123046874999962,False
