lens,read,family,concept,n_items,earliest@1,earliest@5,earliest@10,earliest@50,earliest@100
j-lens,answer,binding_concept,active,224,,,,,
j-lens,answer,binding_concept,binding,224,,,,,
j-lens,answer,binding_concept,bound,224,,,,,
j-lens,answer,binding_concept,definition,224,,,,,
j-lens,answer,binding_concept,global,224,,,,,
j-lens,answer,binding_concept,inactive,224,,,,,
j-lens,answer,binding_concept,inner,224,,,,,
j-lens,answer,binding_concept,local,224,,,,,
j-lens,answer,binding_concept,outer,224,,,,,
j-lens,answer,binding_concept,scope,224,,,,,
j-lens,answer,binding_concept,scoped,224,,,,,
j-lens,answer,binding_concept,shadow,224,,,,,
j-lens,answer,binding_concept,value,224,,,,,18.0
j-lens,answer,binding_concept,variable,224,,,,17.0,15.0
j-lens,answer,generic_code,buffer,224,,,,,
j-lens,answer,generic_code,class,224,,,,,
j-lens,answer,generic_code,count,224,,,,,
j-lens,answer,generic_code,error,224,,,,14.0,13.0
j-lens,answer,generic_code,file,224,,,,,
j-lens,answer,generic_code,import,224,,,,,
j-lens,answer,generic_code,index,224,,,,,
j-lens,answer,generic_code,number,224,,,,,
j-lens,answer,generic_code,path,224,,,,,
j-lens,answer,generic_code,print,224,,,,,19.0
j-lens,answer,generic_code,range,224,,,,,
j-lens,answer,generic_code,result,224,,,,,
j-lens,answer,generic_code,return,224,,,,,
j-lens,answer,generic_code,string,224,,,,,
j-lens,answer,generic_code,total,224,,,,,17.0
j-lens,answer,positional,earlier,224,,,,,
j-lens,answer,positional,kept,224,,,,,
j-lens,answer,positional,later,224,,,,,
j-lens,answer,positional,replaced,224,,,,,
j-lens,answer,random_concepts,random_0,224,,,,,
j-lens,answer,random_concepts,random_1,224,,,,,
j-lens,answer,random_concepts,random_2,224,,,,,
j-lens,call,binding_concept,active,224,,,,,
j-lens,call,binding_concept,binding,224,,,,,
j-lens,call,binding_concept,bound,224,,,,,
j-lens,call,binding_concept,definition,224,,,,,
j-lens,call,binding_concept,global,224,,,,,
j-lens,call,binding_concept,inactive,224,,,,,
j-lens,call,binding_concept,inner,224,,,,,
j-lens,call,binding_concept,local,224,,,,,
j-lens,call,binding_concept,outer,224,,,,,
j-lens,call,binding_concept,scope,224,,,,,
j-lens,call,binding_concept,scoped,224,,,,,
j-lens,call,binding_concept,shadow,224,,,,,
j-lens,call,binding_concept,value,224,,16.0,16.0,10.0,10.0
j-lens,call,binding_concept,variable,224,,,,16.0,15.0
j-lens,call,generic_code,buffer,224,,,,,
j-lens,call,generic_code,class,224,,,,,
j-lens,call,generic_code,count,224,,,,,
j-lens,call,generic_code,error,224,,,,,17.0
j-lens,call,generic_code,file,224,,,,,
j-lens,call,generic_code,import,224,,,,,
j-lens,call,generic_code,index,224,,,,,
j-lens,call,generic_code,number,224,,,,,
j-lens,call,generic_code,path,224,,,,,
j-lens,call,generic_code,print,224,,,,24.0,23.0
j-lens,call,generic_code,range,224,,,,,
j-lens,call,generic_code,result,224,,16.0,15.0,14.0,12.0
j-lens,call,generic_code,return,224,,,,10.0,10.0
