lens,layer,read,family,concept,n,median_rank,mean_rank,pass@1,pass@5,pass@10,pass@50,pass@100
j-lens,0,answer,binding_concept,active,224,4224.5,4112.933035714285,0.0,0.0,0.0,0.0,0.0
j-lens,1,answer,binding_concept,active,224,19449.0,18698.29464285714,0.0,0.0,0.0,0.0,0.0
j-lens,2,answer,binding_concept,active,224,11740.0,11604.816964285714,0.0,0.0,0.0,0.0,0.0
j-lens,3,answer,binding_concept,active,224,12554.0,12692.357142857143,0.0,0.0,0.0,0.0,0.0
j-lens,4,answer,binding_concept,active,224,13752.0,13300.888392857143,0.0,0.0,0.0,0.0,0.0
j-lens,5,answer,binding_concept,active,224,8998.0,9241.90625,0.0,0.0,0.0,0.0,0.0
j-lens,6,answer,binding_concept,active,224,14581.5,14711.535714285714,0.0,0.0,0.0,0.0,0.0
j-lens,7,answer,binding_concept,active,224,16732.5,17213.214285714286,0.0,0.0,0.0,0.0,0.0
j-lens,8,answer,binding_concept,active,224,14995.5,14534.52232142857,0.0,0.0,0.0,0.0,0.0
j-lens,9,answer,binding_concept,active,224,18496.0,18806.977678571428,0.0,0.0,0.0,0.0,0.0
j-lens,10,answer,binding_concept,active,224,5124.0,6058.535714285715,0.0,0.0,0.0,0.0,0.0
j-lens,11,answer,binding_concept,active,224,4123.0,4553.785714285715,0.0,0.0,0.0,0.0,0.0
j-lens,12,answer,binding_concept,active,224,3981.5,4109.879464285715,0.0,0.0,0.0,0.0,0.0
j-lens,13,answer,binding_concept,active,224,14689.5,15456.638392857143,0.0,0.0,0.0,0.0,0.0
j-lens,14,answer,binding_concept,active,224,13360.5,12967.08482142857,0.0,0.0,0.0,0.0,0.0
j-lens,15,answer,binding_concept,active,224,13527.0,13918.214285714286,0.0,0.0,0.0,0.0,0.0
j-lens,16,answer,binding_concept,active,224,10505.5,11792.17857142857,0.0,0.0,0.0,0.0,0.0
j-lens,17,answer,binding_concept,active,224,17696.0,17903.102678571428,0.0,0.0,0.0,0.0,0.0
j-lens,18,answer,binding_concept,active,224,28233.0,27397.5,0.0,0.0,0.0,0.0,0.0
j-lens,19,answer,binding_concept,active,224,31091.0,30489.441964285714,0.0,0.0,0.0,0.0,0.0
j-lens,20,answer,binding_concept,active,224,40918.0,39840.6875,0.0,0.0,0.0,0.0,0.0
j-lens,21,answer,binding_concept,active,224,40972.5,39109.32142857143,0.0,0.0,0.0,0.0,0.0
j-lens,22,answer,binding_concept,active,224,38427.5,37646.53571428572,0.0,0.0,0.0,0.0,0.0
j-lens,23,answer,binding_concept,active,224,33211.0,32283.07589285714,0.0,0.0,0.0,0.0,0.0
j-lens,24,answer,binding_concept,active,224,31176.0,30188.86160714286,0.0,0.0,0.0,0.0,0.0
